ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20314,2025/26,25,Espanyol,Dmitrovic,Portero,16.0,34,RS,95%,Sano,24,0,0,0,0,0,1.4,136,5.7,3,-3,6
20314,2025/26,25,Espanyol,Dolan,Delantero,10.0,24,EN,70%,Sano,23,1,3,0,4,1,1.3,99,4.3,8,1,2
20316,2025/26,25,Celta,Domínguez,Defensa,6.0,25,ES,20%,Sano,6,0,0,0,1,0,-1,21,3.5,0,0,0
20322,2025/26,25,Valencia,Duro,Delantero,11.0,26,ES,60%,Sano,23,7,0,0,5,0,0.8,89,3.9,3,1,3
20316,2025/26,25,Celta,Durán,Delantero,9.0,24,ES,70%,Sano,19,2,2,0,0,0,1.3,71,3.7,8,0,2
20314,2025/26,25,Espanyol,Edu Expósito,Mediocampista,17.0,29,ES,50%,Sano,23,0,5,0,4,0,1,135,5.9,2,-3,7
20321,2025/26,25,Real Oviedo,Ejaria,Delantero,4.0,28,EN,0%,Lesionado/Duda,7,0,0,0,1,0,-1,15,2.1,0,0,0
20318,2025/26,25,Sevilla,Ejuke,Delantero,7.0,28,NG,20%,Sano,17,1,1,0,0,0,1.3,69,4.1,2,6,3
20314,2025/26,25,Espanyol,El Hilali,Defensa,10.0,22,MA,80%,Sano,22,0,2,0,5,0,1.3,70,3.2,1,-2,0
20316,2025/26,25,Celta,El-Abdellaoui,Delantero,6.0,20,MA,50%,Sano,14,2,0,0,0,0,1,43,3.1,0,3,3
20315,2025/26,25,Levante,Elgezabal,Defensa,8.0,32,ES,20%,Lesionado/Duda,12,1,0,0,2,0,2,33,2.8,0,0,8
