Equipo,FutFantasy,SofaScore
Las Palmas,inaki gonzalez,inaki gonzalez
Las Palmas,herzog,juanma herzog
Celta Vigo,jailson,jailson
Real Sociedad,dadie,alberto dadie
Real Betis,busto,pablo busto
Granada,hongla,martin hongla
Granada,piatkowski,kamil piatkowski
Barcelona,cubarsi,pau cubarsi
Osasuna,brasanac,darko brasanac
Atlético Madrid,vermeeren,arthur vermeeren
Rayo Vallecano,crespo,miguel crespo
Getafe,yellu,yellu santiago
Cádiz,etta eyong,etta eyong
Villarreal,guedes,goncalo guedes
Real Sociedad,aramburu,jon aramburu
Real Betis,cardoso,johnny cardoso
Girona FC,yaakobishvili,antal yaakobishvili
Sevilla,agoume,lucien agoume
Sevilla,mejbri,hannibal mejbri
Almería,romero,luka romero
Real Sociedad,galan,javi galan
Real Sociedad,becker,sheraldo becker
Real Madrid,guler,arda guler
Barcelona,fort,hector fort
Villarreal,mosquera,yerson mosquera
Granada,maouassa,faitout maouassa
Mallorca,nacho vidal,nacho vidal
Almería,lozano,anthony lozano
Granada,pellistri,facundo pellistri
Granada,corbeanu,theo corbeanu
Las Palmas,fabio,fabio gonzalez
Deportivo Alavés,panichelli,joaquin panichelli
Cádiz,juanmi,juanmi
Celta Vigo,allende,tadeo allende
Celta Vigo,manquillo,javier manquillo
Real Betis,fornals,pablo fornals
Sevilla,hormigo,diego hormigo
Real Betis,chimy,chimy avila
Valencia,peter,peter gonzalez
Getafe,moriba,ilaix moriba
Mallorca,radonjic,nemanja radonjic
Atlético Madrid,gabriel,gabriel paulista
Granada,jozwiak,kamil jozwiak
Almería,langa,bruno langa
Almería,radovanovic,aleksandar radovanovic
Villarreal,traore,bertrand traore
Cádiz,samassekou,diadie samassekou
Sevilla,veliz,alejo veliz
Almería,viera,jonathan viera
Real Betis,bakambu,cedric bakambu
Las Palmas,campana,jose campana
Osasuna,arguibide,inigo arguibide
Real Madrid,alvaro r.,alvaro rodriguez
Villarreal,lekovic,stefan lekovic
