Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
Colombatto,10.0,Real Oviedo,Mediocampista,85
Comesaña,13.0,Villarreal,Mediocampista,134
Copete,10.0,Valencia,Defensa,76
Costa,4.9,Villarreal,Defensa,0
Courtois,20.0,Real Madrid,Portero,179
cucho,18.0,Betis,Delantero,137
Cuéllar,1.0,Mallorca,Portero,0
Cmert,9.0,Valencia,Defensa,56
D. Ceballos,6.0,Real Madrid,Mediocampista,45
D. Cárdenas,1.0,Rayo,Portero,0
D. Jiménez,5.0,Real Madrid,Defensa,8
D. Martínez,0.25,Atlético,Defensa,0
D. Pérez,3.0,Betis,Mediocampista,2
Daley Blind,12.0,Girona,Defensa,127
Dani Calvo,9.0,Real Oviedo,Defensa,56
Dani Olmo,28.0,Barcelona,Mediocampista,178
Danjuma,10.0,Valencia,Delantero,113
Darder,14.0,Mallorca,Mediocampista,145
David Carmo,10.0,Real Oviedo,Defensa,95
David Costas,14.0,Real Oviedo,Defensa,96
David Delgado,1.0,Elche,Defensa,0
David López,3.0,Girona,Defensa,4
David López,6.0,Mallorca,Defensa,18
David Soria,19.0,Getafe,Portero,171
Davinchi,5.0,Getafe,Defensa,19
De Galarreta,10.0,Athletic,Mediocampista,106
De Las Sias,1.0,Rayo,Defensa,0
Dela,10.0,Levante,Defensa,98
Dendoncker,9.0,Real Oviedo,Mediocampista,61
Denis Suárez,8.0,Alavés,Mediocampista,72
Diabate,1.0,Alavés,Delantero,0
Diakhaby,7.0,Valencia,Defensa,38
Diego Aguado,3.0,Real Madrid,Defensa,2
Diego Conde,1.0,Villarreal,Portero,0
Diego López,9.0,Valencia,Delantero,84
Dieguito,0.25,Real Oviedo,Mediocampista,0
Dimitrievski,10.0,Valencia,Portero,56
Djene,10.0,Getafe,Defensa,107
Dmitrovic,16.0,Espanyol,Portero,159
Dolan,10.0,Espanyol,Delantero,112
Domingos Duar,10.0,Getafe,Defensa,114
E. Bailly,8.0,Real Oviedo,Defensa,41
E. Milito,13.0,Real Madrid,Defensa,86
Echeverri,6.0,Girona,Mediocampista,33
Eder Aller,1.0,Barcelona,Portero,0
Eder García,2.0,Athletic,Mediocampista,2
Edu Altozano,1.0,Sevilla,Mediocampista,0
Edu Expósito,17.0,Espanyol,Mediocampista,152
Egiluz,0.4,Athletic,Defensa,0
Egoitz MI.,1.0,Alavés,Defensa,0
Ejaria,4.0,Real Oviedo,Delantero,15
Ejuke DE,7.0,Sevilla,Delantero,83
El Hilali,9.0,Espanyol,Defensa,71
El-Abdellaoui,6.0,Celta,Delantero,49
Elgezabal,7.0,Levante,Defensa,33
Eric,17.0,Barcelona,Defensa,155
Esquivel,1.0,Atlético,Portero,0
Etta Eyong DE,10.0,Levante,Delantero,115
Ez Abde,25.0,Betis,Delantero,137
F.Calero,10.0,Espanyol,Defensa,96
F.De Jong,20.0,Barcelona,Mediocampista,119
F.Garcés,8.0,Alavés,Defensa,43
F.Mastantuono,7.0,Real Madrid,Delantero,58
F Mendy,4.0,Real Madrid,Defensa,6
F. Viñas,11.0,Real Oviedo,Delantero,114
Febas,13.0,Elche,Mediocampista,137
Fer López,8.0,Celta,Mediocampista,24
Fermín,23.0,Barcelona,Mediocampista,162
Ferran,19.0,Barcelona,Delantero,152
Ferran Jutgl,9.0,Celta,Delantero,86
Ferrer,1.0,Getafe,Portero,0
Ferri,1.0,Espanyol,Mediocampista,0
Fidalgo,9.0,Betis,Mediocampista,30
Folgado,1.0,Real Sociedad,Portero,0
Fonseca,5.0,Real Oviedo,Mediocampista,21
Fontanet,1.0,Valencia,Defensa,0
Fornals,24.0,Betis,Mediocampista,198
Fortea,0.55,Real Madrid,Defensa,0
Foulquier,8.0,Valencia,Defensa,44
Foyth,9.0,Villarreal,Defensa,63
Fraga,1.0,Real Sociedad,Portero,0
Fran Beltrán,9.0,Girona,Mediocampista,70
Fran García,7.0,Real Madrid,Defensa,35
Fran González,1.0,Real Madrid,Portero,0
Fran Pérez,8.0,Rayo,Mediocampista,89
Franco Cervi DE,1.0,Celta,Delantero,0
Francés,6.0,Girona,Defensa,49
Freeman,3.0,Villarreal,Defensa,6
Félix,0.35,Betis,Defensa,0
G. Rodríguez,7.0,Valencia,Mediocampista,20
G. Villar,2.0,Elche,Mediocampista,2
Gattoni,1.0,Sevilla,Defensa,0
Gavi,4.0,Barcelona,Mediocampista,9
Gayá,10.0,Valencia,Defensa,91
Gazzaniga,16.0,Girona,Portero,139
Gerard D,10.0,Villarreal,Delantero,97
Gerard Martín,10.0,Barcelona,Defensa,97
German V.,16.0,Elche,Mediocampista,153
Germán,1.0,Betis,Portero,0
Gibi,1.0,Girona,Defensa,0
Giuliano,17.0,Atlético,Delantero,143
Gonzalo,6.0,Real Madrid,Delantero,68
Gorka Carrera D,0.45,Real Sociedad,Delantero,0
Gorosabel Clp,7.0,Athletic,Defensa,40
