Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Jonny,Jonny Otto,20384,2025/26,32,Alavés,Defensa,9.0,32,ES,80%,Sano,31,0,0,0,5,0,1,92,3,1,1,2
Jordan,Jordán,20387,2025/26,32,Sevilla,Mediocampista,2.0,31,ES,0%,Sano,3,0,0,0,1,1,-1,3,1,0,0,0
Josan,Josan,20390,2025/26,32,Elche,Mediocampista,6.0,36,ES,30%,Sano,16,0,2,0,2,0,1.5,57,3.6,2,0,0
Joseph,Mateo Joseph,20384,2025/26,32,Mallorca,Delantero,9.0,22,ES,0%,Lesionado/Duda,29,2,3,0,2,0,1.5,112,3.9,0,0,6
Juan Carlos,Juan Carlos,20391,2025/26,32,Girona,Portero,1.0,38,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
Juan Cruz,Juan Cruz,20387,2025/26,32,Osasuna,Defensa,6.0,33,ES,20%,Sano,15,0,0,0,1,0,1,41,2.7,0,2,0
Juanlu,Juanlu,20387,2025/26,32,Sevilla,Mediocampista,9.0,22,ES,50%,Sano,27,0,3,0,6,1,1.3,105,3.9,5,3,6
Juanmi,Juanmi,20386,2025/26,32,Getafe,Delantero,4.0,32,ES,0%,Lesionado/Duda,8,1,0,0,0,0,-1,18,2.3,0,0,0
Juanpe,Juanpe Gil,20388,2025/26,32,Rayo,Portero,1.0,2026,N/A,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Julio Díaz,Julio Díaz,20383,2025/26,32,Atlético,Defensa,6.0,21,ES,30%,Sano,3,0,1,0,2,0,1.6,13,4.3,-2,8,0
Junior,Junior,20389,2025/26,32,Betis,Defensa,6.0,29,DO,0%,Lesionado/Duda,10,0,1,0,2,0,-1,31,3.1,0,0,0
Jutglà,Ferran Jutglà,20392,2025/26,32,Celta,Delantero,10.0,27,ES,50%,Sano,24,7,2,0,4,0,1.3,112,4.7,3,2,2
Kalumba,Kalumba Jr,20384,2025/26,32,Mallorca,Delantero,3.0,21,FR,10%,Sano,2,0,0,0,0,0,-1,3,1.5,0,0,0
Kamara,Kamara,20386,2025/26,32,Getafe,Delantero,4.0,22,EN,0%,Sano,10,0,0,0,1,0,-1,18,1.8,0,2,0
Kambwala,Kambwala,20392,2025/26,32,Villarreal,Defensa,1.0,21,FR,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Karrikaburu,Karrikaburu,20388,2025/26,32,Real Sociedad,Delantero,3.0,23,ES,0%,Lesionado/Duda,7,0,0,0,0,0,1,11,1.6,2,0,0
Kike Barja,Kike Barja,20387,2025/26,32,Osasuna,Delantero,5.0,29,ES,30%,Sano,22,1,2,0,3,0,1.2,54,2.5,2,3,2
Kike García,Kike García,20385,2025/26,32,Espanyol,Delantero,9.0,36,ES,60%,Sano,31,6,1,0,3,0,0.6,113,3.6,0,1,2
