ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20389,2025/26,32,Betis,1,Manuel Pellegrini,40%,40%,88.0%
20389,2025/26,32,Real Madrid,0,Arbeloa,40%,60%,87.4%
20384,2025/26,32,Alavés,1,Quique,20%,60%,90.8%
20384,2025/26,32,Mallorca,0,Demichelis,20%,60%,89.1%
20386,2025/26,32,Getafe,1,Pepe Bordalás,20%,80%,92.6%
20386,2025/26,32,Barcelona,0,Flick,60%,60%,87.4%
20391,2025/26,32,Valencia,1,Corberán,20%,60%,94.9%
20391,2025/26,32,Girona,0,Míchel,20%,80%,92.4%
20383,2025/26,32,Atlético,1,Simeone,60%,40%,86.7%
20383,2025/26,32,Athletic,0,Valverde,40%,60%,86.8%
20388,2025/26,32,Rayo,1,Íñigo Pérez,100%,40%,87.6%
20388,2025/26,32,Real Sociedad,0,Matarazzo,100%,60%,84.4%
20390,2025/26,32,Real Oviedo,1,Almada,20%,40%,95.2%
20390,2025/26,32,Elche,0,Éder Sarabia,60%,40%,82.4%
20387,2025/26,32,Osasuna,1,Alessio Lisci,20%,80%,92.3%
20387,2025/26,32,Sevilla,0,Luis García,20%,40%,85.8%
20392,2025/26,32,Villarreal,1,Marcelino,20%,40%,84.3%
20392,2025/26,32,Celta,0,Giráldez,60%,40%,76.7%
20385,2025/26,32,Espanyol,1,Manolo González,20%,60%,87.2%
20385,2025/26,32,Levante,0,Luis Castro,20%,60%,89.7%
