Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,82,32,27,1,4,85,30,+55
Real Madrid,VVDEV,73,32,23,4,5,67,30,+37
Villarreal,EVDVE,62,32,19,5,8,57,37,+20
Atlético de Madrid,VDDDD,57,32,17,6,9,53,35,+18
Real Betis,EDEEV,49,32,12,13,7,48,40,+8
Getafe,DVVDV,44,32,13,5,14,28,32,-4
Celta,EDVDD,44,32,11,11,10,44,41,+3
Real Sociedad,VDVED,42,32,11,9,12,49,49,0
Athletic,DVDDV,41,32,12,5,15,34,45,-11
Osasuna,DVEED,39,32,10,9,13,37,39,-2
Rayo Vallecano,EDVDV,38,32,9,11,12,30,38,-8
Espanyol,DDEDD,38,32,10,8,14,37,49,-12
Girona FC,VDVED,38,32,9,11,12,35,48,-13
Valencia,DVDDE,36,32,9,9,14,35,47,-12
Mallorca,VDVVE,35,32,9,8,15,40,49,-9
Elche,DVDVV,35,32,8,11,13,42,49,-7
Sevilla,DDDVD,34,32,9,7,16,39,53,-14
Deportivo Alavés,EVEED,33,32,8,9,15,36,48,-12
Levante,EVDVV,32,32,8,8,16,37,50,-13
Real Oviedo,VDVVE,28,32,6,10,16,25,49,-24
