Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,27,Celta Vigo,Real Madrid,1,Radu,Ionuț Radu,G,2,1,6.4,90,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,3
25/26,27,Celta Vigo,Real Madrid,1,M. Alonso,Marcos Alonso,D,3,1,6.6,90,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,5
25/26,27,Celta Vigo,Real Madrid,1,Carreira,Sergio Carreira,M,1,1,7.0,90,0,0,2,1,0,0,5,2,0,0,0,0,0,0,0,0,0,12
25/26,27,Celta Vigo,Real Madrid,1,Mingueza,Óscar Mingueza,M,3,1,6.8,83,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
25/26,27,Celta Vigo,Real Madrid,1,Starfelt,Carl Starfelt,D,3,1,7.2,90,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1
25/26,27,Celta Vigo,Real Madrid,1,Javi Rodríguez,Javi Rodríguez,D,3,1,6.9,90,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,7
25/26,27,Celta Vigo,Real Madrid,1,Moriba,Ilaix Moriba,M,3,1,6.6,89,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
25/26,27,Celta Vigo,Real Madrid,1,Swedberg,Williot Swedberg,F,9,3,7.1,69,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8
25/26,27,Celta Vigo,Real Madrid,1,Román,Miguel Román,M,2,1,6.7,90,0,0,2,2,0,0,4,1,0,0,0,0,0,0,0,0,0,11
25/26,27,Celta Vigo,Real Madrid,1,Iglesias,Borja Iglesias,F,8,2,6.6,70,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,22
25/26,27,Celta Vigo,Real Madrid,1,Jutglà,Ferran Jutglà,F,4,2,7.2,70,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,7
25/26,27,Celta Vigo,Real Madrid,1,Vecino,Matías Vecino,M,1,0,0.0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25/26,27,Celta Vigo,Real Madrid,1,Hugo Álvarez,Hugo Álvarez,M,1,0,6.4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,27,Celta Vigo,Real Madrid,1,Fer López,Fer López,M,2,1,6.4,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
25/26,27,Celta Vigo,Real Madrid,1,El-Abdellaoui,Jones El-Abdellaoui,F,2,1,6.5,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,27,Celta Vigo,Real Madrid,1,Aspas,Iago Aspas,F,2,1,6.7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,27,Real Madrid,Celta Vigo,0,Courtois,Thibaut Courtois,G,5,2,7.6,90,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,4
25/26,27,Real Madrid,Celta Vigo,0,Rüdiger,Antonio Rüdiger,D,6,2,7.0,90,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,10
25/26,27,Real Madrid,Celta Vigo,0,Alexander-Arnold,Trent Alexander-Arnold,D,3,3,6.7,90,0,0,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,24
25/26,27,Real Madrid,Celta Vigo,0,Mendy,Ferland Mendy,D,5,2,6.8,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
25/26,27,Real Madrid,Celta Vigo,0,Asencio,Raúl Asencio,D,2,0,6.5,90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
25/26,27,Real Madrid,Celta Vigo,0,Valverde,Federico Valverde,M,12,4,7.9,90,1,0,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,7
25/26,27,Real Madrid,Celta Vigo,0,Brahim,Brahim Díaz,F,4,1,6.1,77,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
25/26,27,Real Madrid,Celta Vigo,0,Tchouaméni,Aurélien Tchouaméni,M,13,4,8.0,90,1,0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,8
25/26,27,Real Madrid,Celta Vigo,0,Güler,Arda Güler,M,8,4,6.8,65,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12
25/26,27,Real Madrid,Celta Vigo,0,Thiago,Thiago Pitarch,M,2,1,5.6,89,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11
25/26,27,Real Madrid,Celta Vigo,0,Vinicius,Vinicius Júnior,F,7,3,7.2,90,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,8
25/26,27,Real Madrid,Celta Vigo,0,Manuel Ángel,Manuel Ángel Morán,M,2,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25/26,27,Real Madrid,Celta Vigo,0,Palacios,César Palacios,M,2,1,6.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
25/26,27,Real Madrid,Celta Vigo,0,Gonzalo,Gonzalo García,F,2,1,6.3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
25/26,27,Osasuna,Mallorca,1,Herrera,Sergio Herrera,G,3,1,5.5,90,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,4
