Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,17,Valencia,Mallorca,1,Agirrezabala,Julen Agirrezabala,G,5,2,6.5,90,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,2
25/26,17,Valencia,Mallorca,1,Gayà,José Luis Gayà,D,3,1,6.7,90,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2
25/26,17,Valencia,Mallorca,1,Thierry,Thierry Correia,D,9,3,6.3,76,0,1,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,22
25/26,17,Valencia,Mallorca,1,Copete,José Copete,D,3,1,7.1,90,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,7
25/26,17,Valencia,Mallorca,1,Tárrega,César Tárrega,D,4,1,6.5,90,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,9
25/26,17,Valencia,Mallorca,1,Pepelu,Pepelu,M,5,3,8.6,90,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,17
25/26,17,Valencia,Mallorca,1,Rioja,Luis Rioja,M,5,3,7.1,72,0,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,16
25/26,17,Valencia,Mallorca,1,Almeida,André Almeida,M,5,2,6.9,76,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,19
25/26,17,Valencia,Mallorca,1,Ugrinic,Filip Ugrinić,M,3,1,6.7,72,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
25/26,17,Valencia,Mallorca,1,Duro,Hugo Duro,F,8,3,7.6,90,1,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,7
25/26,17,Valencia,Mallorca,1,Beltrán,Lucas Beltrán,F,3,2,6.5,87,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,11
25/26,17,Valencia,Mallorca,1,Foulquier,Dimitri Foulquier,D,2,1,6.8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,17,Valencia,Mallorca,1,Javi Guerra,Javier Guerra,M,2,1,6.6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25/26,17,Valencia,Mallorca,1,Danjuma,Arnaut Danjuma,F,4,2,7.0,14,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,6
25/26,17,Valencia,Mallorca,1,Ramazani,Largie Ramazani,F,2,1,6.5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
25/26,17,Valencia,Mallorca,1,Diego López,Diego López,F,2,1,6.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25/26,17,Mallorca,Valencia,0,Leo Román,Leo Román,G,1,1,6.7,90,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,14
25/26,17,Mallorca,Valencia,0,Mojica,Johan Mojica,D,4,2,7.2,90,0,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,10
25/26,17,Mallorca,Valencia,0,Raíllo,Antonio Raíllo,D,8,2,7.1,90,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4
25/26,17,Mallorca,Valencia,0,Maffeo,Pablo Maffeo,D,4,1,6.5,90,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,8
