Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,5,Real Betis,Real Sociedad,1,Pau López,Pau López,G,6,2,7.4,90,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,9
25/26,5,Real Betis,Real Sociedad,1,D. Llorente,Diego Llorente,D,2,1,6.3,45,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,9
25/26,5,Real Betis,Real Sociedad,1,Bellerín,Héctor Bellerín,D,10,3,6.9,90,0,1,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,11
25/26,5,Real Betis,Real Sociedad,1,Junior,Junior Firpo,D,-1,0,5.6,70,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20
25/26,5,Real Betis,Real Sociedad,1,Natan,Natan,D,3,1,7.0,90,0,0,1,0,1,0,4,9,0,0,0,0,0,0,0,0,0,7
25/26,5,Real Betis,Real Sociedad,1,Fornals,Pablo Fornals,M,12,4,8.0,70,1,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7
25/26,5,Real Betis,Real Sociedad,1,Lo Celso,Giovani Lo Celso,M,9,4,7.9,86,0,1,3,1,0,0,5,1,0,0,0,0,0,0,0,0,0,13
25/26,5,Real Betis,Real Sociedad,1,S. Amrabat,Sofyan Amrabat,M,3,1,7.1,90,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,2
25/26,5,Real Betis,Real Sociedad,1,Cucho,Cucho Hernández,F,10,3,8.2,90,1,0,0,0,2,0,5,2,0,0,0,0,0,0,0,0,0,13
25/26,5,Real Betis,Real Sociedad,1,Antony,Antony,M,4,2,7.4,71,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,0,9
25/26,5,Real Betis,Real Sociedad,1,Abde,Abdessamad Ezzalzouli,M,11,4,8.1,90,0,0,3,0,1,0,5,2,0,0,0,0,0,0,0,0,0,15
25/26,5,Real Betis,Real Sociedad,1,Bartra,Marc Bartra,D,4,2,7.3,45,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,7
25/26,5,Real Betis,Real Sociedad,1,Valentín Gómez,Valentín Gómez,D,3,2,6.9,20,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
25/26,5,Real Betis,Real Sociedad,1,Marc Roca,Marc Roca,M,2,1,6.6,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25/26,5,Real Betis,Real Sociedad,1,Riquelme,Rodrigo Riquelme,M,1,0,6.8,10,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25/26,5,Real Betis,Real Sociedad,1,Pablo García,Pablo García,F,1,0,6.3,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
25/26,5,Real Sociedad,Real Betis,0,Remiro,Álex Remiro,G,2,2,7.6,90,0,0,0,0,0,0,9,1,4,0,0,0,0,0,1,0,0,9
