Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,22,Espanyol,Deportivo Alavés,1,Dmitrovic,Marko Dmitrović,G,6,2,6.9,90,0,0,0,0,0,0,14,1,5,0,0,0,0,0,0,0,0,4
25/26,22,Espanyol,Deportivo Alavés,1,Cabrera,Leandro Cabrera,D,0,1,5.8,90,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,16
25/26,22,Espanyol,Deportivo Alavés,1,Calero,Fernando Calero,D,3,2,6.8,84,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,7
25/26,22,Espanyol,Deportivo Alavés,1,Romero,Carlos Romero,D,-1,0,5.7,90,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,23
25/26,22,Espanyol,Deportivo Alavés,1,Riedel,Clemens Riedel,D,-1,1,6.5,78,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,19
25/26,22,Espanyol,Deportivo Alavés,1,Edu Expósito,Edu Expósito,M,7,3,7.0,90,0,0,6,5,0,0,3,0,0,0,0,0,0,0,0,0,0,26
25/26,22,Espanyol,Deportivo Alavés,1,Urko,Urko González,M,2,1,6.5,84,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,8
25/26,22,Espanyol,Deportivo Alavés,1,Terrats,Ramón Terrats,M,2,1,6.4,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
25/26,22,Espanyol,Deportivo Alavés,1,Jofre,Jofre Carreras,M,3,1,6.0,57,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13
25/26,22,Espanyol,Deportivo Alavés,1,Kike García,Kike García,F,2,0,6.3,90,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,12
25/26,22,Espanyol,Deportivo Alavés,1,Roberto,Roberto Fernández,F,7,2,7.4,90,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,7
25/26,22,Espanyol,Deportivo Alavés,1,Miguel Rubio,Miguel Rubio,D,2,1,6.8,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
25/26,22,Espanyol,Deportivo Alavés,1,Rubén Sánchez,Rubén Sánchez,D,2,1,6.7,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25/26,22,Espanyol,Deportivo Alavés,1,Pere Milla,Pere Milla,M,2,1,6.3,33,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,5
25/26,22,Espanyol,Deportivo Alavés,1,Pickel,Charles Pickel,M,2,1,6.6,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25/26,22,Espanyol,Deportivo Alavés,1,Dolan,Tyrhys Dolan,F,2,1,6.9,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25/26,22,Deportivo Alavés,Espanyol,0,Sivera,Antonio Sivera,G,5,2,6.9,90,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,20
25/26,22,Deportivo Alavés,Espanyol,0,Jonny,Jonny Otto,D,1,1,6.6,90,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,18
25/26,22,Deportivo Alavés,Espanyol,0,Pacheco,Jon Pacheco,D,8,1,7.0,90,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,6
25/26,22,Deportivo Alavés,Espanyol,0,Parada,Victor Parada,D,0,0,6.1,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
25/26,22,Deportivo Alavés,Espanyol,0,Aleñá,Carles Aleñá,M,9,3,7.2,90,0,0,3,3,0,0,6,2,0,0,0,0,0,0,0,0,0,18
25/26,22,Deportivo Alavés,Espanyol,0,Blanco,Antonio Blanco,M,12,3,8.1,90,1,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,5
25/26,22,Deportivo Alavés,Espanyol,0,Ibáñez,Pablo Ibáñez,M,6,2,6.7,90,0,0,1,0,1,0,5,2,0,0,0,0,0,0,0,0,0,7
25/26,22,Deportivo Alavés,Espanyol,0,Protesoni,Carlos Benavídez,D,2,1,6.2,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
25/26,22,Deportivo Alavés,Espanyol,0,Calebe,Calebe Gonçalves,M,3,1,6.5,61,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
25/26,22,Deportivo Alavés,Espanyol,0,Toni Martinez,Toni Martínez,F,11,4,7.3,74,0,1,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,16
25/26,22,Deportivo Alavés,Espanyol,0,Boyé,Lucas Boyé,F,11,4,7.5,90,1,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,12
25/26,22,Deportivo Alavés,Espanyol,0,Garcés,Facundo Garcés,D,4,1,6.6,45,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,1
25/26,22,Deportivo Alavés,Espanyol,0,Youssef,Youssef Enriquez Lekhedim,D,2,1,6.8,29,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,5
25/26,22,Deportivo Alavés,Espanyol,0,Guridi,Jon Guridi,M,2,1,6.3,16,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3
25/26,22,Deportivo Alavés,Espanyol,0,Guevara,Ander Guevara,M,3,1,6.9,29,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,4
25/26,22,Real Oviedo,Girona FC,1,Aarón,Aarón Escandell,G,7,2,7.1,90,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,23
25/26,22,Real Oviedo,Girona FC,1,Costas,David Costas,D,8,3,7.7,90,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,9
25/26,22,Real Oviedo,Girona FC,1,Nacho Vidal,Nacho Vidal,D,6,1,6.3,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
25/26,22,Real Oviedo,Girona FC,1,Javi López,Javi López,D,7,3,7.3,90,0,0,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,10
25/26,22,Real Oviedo,Girona FC,1,Carmo,David Carmo,D,8,2,6.9,90,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,8
25/26,22,Real Oviedo,Girona FC,1,Sibo,Kwasi Sibo,M,5,1,6.7,70,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
25/26,22,Real Oviedo,Girona FC,1,Colombatto,Santiago Colombatto,M,9,3,7.6,87,0,0,2,1,0,0,5,3,0,0,0,0,0,0,0,0,0,8
25/26,22,Real Oviedo,Girona FC,1,Hassan,Haissem Hassan,M,5,1,6.6,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13
25/26,22,Real Oviedo,Girona FC,1,Chaira,Ilyas Chaira,M,11,4,7.1,90,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,16
25/26,22,Real Oviedo,Girona FC,1,Reina,Alberto Reina,M,6,2,6.7,64,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
25/26,22,Real Oviedo,Girona FC,1,Viñas,Federico Viñas,F,5,2,7.0,90,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
25/26,22,Real Oviedo,Girona FC,1,Ahijado,Lucas Ahijado,D,2,1,6.7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/26,22,Real Oviedo,Girona FC,1,Cazorla,Santi Cazorla,M,2,1,6.9,26,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
25/26,22,Real Oviedo,Girona FC,1,Dendoncker,Leander Dendoncker,M,2,1,0.0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25/26,22,Real Oviedo,Girona FC,1,Fonseca,Nicolas Fonseca,M,1,0,6.6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/26,22,Real Oviedo,Girona FC,1,Thiago,Thiago Fernández,F,8,3,7.5,26,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3
25/26,22,Girona FC,Real Oviedo,0,Ter Stegen,Marc-André Ter Stegen,G,8,3,6.5,90,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,3
25/26,22,Girona FC,Real Oviedo,0,Blind,Daley Blind,D,5,2,7.0,90,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,7
25/26,22,Girona FC,Real Oviedo,0,Álex Moreno,Álex Moreno,D,6,3,6.7,90,0,0,1,1,0,0,2,3,0,0,0,0,0,0,0,0,0,18
25/26,22,Girona FC,Real Oviedo,0,Arnau,Arnau Martínez,D,10,3,7.3,69,0,0,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,9
25/26,22,Girona FC,Real Oviedo,0,Vitor Reis,Vitor Reis,D,6,1,6.4,90,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,6
25/26,22,Girona FC,Real Oviedo,0,Lemar,Thomas Lemar,M,3,1,6.2,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
25/26,22,Girona FC,Real Oviedo,0,Tsygankov,Viktor Tsygankov,F,4,3,6.8,90,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,14
25/26,22,Girona FC,Real Oviedo,0,Beltrán,Fran Beltrán,M,4,2,7.3,79,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
25/26,22,Girona FC,Real Oviedo,0,Bryan Gil,Bryan Gil,F,7,3,7.0,69,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,12
25/26,22,Girona FC,Real Oviedo,0,Iván Martín,Iván Martín,M,7,2,6.9,70,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
25/26,22,Girona FC,Real Oviedo,0,Vanat,Vladyslav Vanat,F,2,0,6.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25/26,22,Girona FC,Real Oviedo,0,Witsel,Axel Witsel,D,2,1,6.3,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
25/26,22,Girona FC,Real Oviedo,0,Rincón,Hugo Rincón,D,2,1,6.5,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
25/26,22,Girona FC,Real Oviedo,0,Echeverri,Claudio Echeverri,M,5,3,7.0,21,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5
25/26,22,Girona FC,Real Oviedo,0,Stuani,Cristhian Stuani,F,2,1,6.4,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
25/26,22,Osasuna,Villarreal,1,Herrera,Sergio Herrera,G,2,1,6.6,90,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,8
25/26,22,Osasuna,Villarreal,1,Galán,Javi Galán,D,4,3,6.9,90,0,0,3,3,0,0,3,3,0,0,0,1,0,0,0,0,0,16
25/26,22,Osasuna,Villarreal,1,Catena,Alejandro Catena,D,2,0,6.3,45,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,2
25/26,22,Osasuna,Villarreal,1,Boyomo,Flavien Boyomo,D,4,1,6.7,90,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,7
25/26,22,Osasuna,Villarreal,1,Rosier,Valentin Rosier,D,1,1,6.5,90,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,10
25/26,22,Osasuna,Villarreal,1,Rubén G.,Rubén García,M,9,3,7.1,76,0,1,3,2,0,0,3,2,0,0,0,0,0,0,0,0,0,17
25/26,22,Osasuna,Villarreal,1,Torró,Lucas Torró,M,6,2,6.8,90,0,0,1,0,1,0,7,8,0,0,0,0,0,0,0,0,0,18
25/26,22,Osasuna,Villarreal,1,Moncayola,Jon Moncayola,M,10,4,7.2,90,0,1,1,1,0,0,6,1,0,0,0,0,0,0,0,0,0,14
25/26,22,Osasuna,Villarreal,1,Raul Moro,Raúl Moro,M,4,1,6.4,62,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12
