Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,7,Girona FC,Espanyol,1,Gazzaniga,Paulo Gazzaniga,G,13,4,8.0,90,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,6
25/26,7,Girona FC,Espanyol,1,Blind,Daley Blind,D,10,4,7.6,90,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9
25/26,7,Girona FC,Espanyol,1,Witsel,Axel Witsel,M,7,2,7.1,86,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,6
25/26,7,Girona FC,Espanyol,1,Álex Moreno,Álex Moreno,M,6,2,7.0,90,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,18
25/26,7,Girona FC,Espanyol,1,Francés,Alejandro Francés,D,6,2,6.7,78,0,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,18
25/26,7,Girona FC,Espanyol,1,Rincón,Hugo Rincón,M,7,2,7.2,69,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7
25/26,7,Girona FC,Espanyol,1,Vitor Reis,Vitor Reis,D,11,3,7.2,90,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1
25/26,7,Girona FC,Espanyol,1,Portu,Portu,F,3,1,6.2,69,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,12
25/26,7,Girona FC,Espanyol,1,Iván Martín,Iván Martín,M,8,3,7.1,90,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,12
25/26,7,Girona FC,Espanyol,1,Ounahi,Azzedine Ounahi,M,9,3,7.2,90,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,15
25/26,7,Girona FC,Espanyol,1,Vanat,Vladyslav Vanat,F,5,2,6.8,78,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6
25/26,7,Girona FC,Espanyol,1,Arnau,Arnau Martínez,D,2,1,6.8,12,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25/26,7,Girona FC,Espanyol,1,Bryan Gil,Bryan Gil,F,3,1,6.6,21,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
25/26,7,Girona FC,Espanyol,1,Asprilla,Yáser Asprilla,M,2,1,6.4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
25/26,7,Girona FC,Espanyol,1,Solís,Jhon Solís,M,2,1,6.6,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
25/26,7,Girona FC,Espanyol,1,Stuani,Cristhian Stuani,F,2,1,6.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25/26,7,Espanyol,Girona FC,0,Dmitrovic,Marko Dmitrović,G,12,4,8.2,90,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,10
25/26,7,Espanyol,Girona FC,0,Calero,Fernando Calero,D,10,3,8.2,90,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,7
25/26,7,Espanyol,Girona FC,0,El Hilali,Omar El Hilali,D,7,3,7.6,90,0,0,3,2,0,0,1,2,0,0,0,0,0,0,0,0,0,14
25/26,7,Espanyol,Girona FC,0,Romero,Carlos Romero,D,8,3,7.6,90,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,10
25/26,7,Espanyol,Girona FC,0,Riedel,Clemens Riedel,D,9,2,7.1,90,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,4
25/26,7,Espanyol,Girona FC,0,Pere Milla,Pere Milla,M,7,3,6.9,86,0,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,13
25/26,7,Espanyol,Girona FC,0,Lozano,Pol Lozano,M,5,0,6.0,87,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4
25/26,7,Espanyol,Girona FC,0,Urko,Urko González,M,10,3,7.0,65,0,0,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,7
25/26,7,Espanyol,Girona FC,0,Puado,Javi Puado,F,7,2,6.6,75,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2
25/26,7,Espanyol,Girona FC,0,Roberto,Roberto Fernández,F,5,2,6.5,90,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,8
25/26,7,Espanyol,Girona FC,0,Dolan,Tyrhys Dolan,M,8,3,7.2,65,0,0,2,3,2,0,1,2,0,0,0,0,0,0,0,0,0,7
25/26,7,Espanyol,Girona FC,0,Edu Expósito,Edu Expósito,M,2,1,7.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25/26,7,Espanyol,Girona FC,0,Terrats,Ramón Terrats,M,2,1,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,7,Espanyol,Girona FC,0,Jofre,Jofre Carreras,F,2,1,6.8,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3
25/26,7,Espanyol,Girona FC,0,Pickel,Charles Pickel,M,2,1,6.6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,7,Espanyol,Girona FC,0,Kike García,Kike García,F,2,1,6.5,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25/26,7,Getafe,Levante UD,1,Soria,David Soria,G,5,3,6.9,90,0,0,1,0,0,0,6,2,2,0,0,0,0,0,0,0,0,16
25/26,7,Getafe,Levante UD,1,Djené,Djené,D,1,0,5.9,40,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6
25/26,7,Getafe,Levante UD,1,D. Duarte,Domingos Duarte,D,3,1,6.5,45,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,3
25/26,7,Getafe,Levante UD,1,Abqar,Abdelkabir Abqar,D,10,4,7.4,90,0,1,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,9
25/26,7,Getafe,Levante UD,1,Iglesias,Juan Iglesias,D,16,4,7.6,90,1,0,0,0,1,0,3,14,0,0,0,0,0,0,0,0,0,22
25/26,7,Getafe,Levante UD,1,Davinchi,Davinchi,D,5,2,6.5,90,0,0,1,0,0,0,5,7,0,0,0,0,0,0,0,0,0,26
25/26,7,Getafe,Levante UD,1,Javi Muñoz,Javier Muñoz,F,2,1,6.3,77,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,10
25/26,7,Getafe,Levante UD,1,Arambarri,Mauro Arambarri,M,2,1,6.6,90,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
25/26,7,Getafe,Levante UD,1,Luis Milla,Luis Milla,M,7,3,6.9,90,0,0,1,4,0,0,5,3,0,0,0,0,0,0,0,0,0,21
25/26,7,Getafe,Levante UD,1,Mario Martín,Mario Martín,M,2,1,6.5,40,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3
25/26,7,Getafe,Levante UD,1,Mayoral,Borja Mayoral,F,3,1,6.6,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
25/26,7,Getafe,Levante UD,1,Nyom,Allan Nyom,D,0,0,6.5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
25/26,7,Getafe,Levante UD,1,Femenia,Kiko Femenía,D,5,3,7.0,45,0,0,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4
25/26,7,Getafe,Levante UD,1,Neyou,Yvan Neyou,D,1,0,6.5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25/26,7,Getafe,Levante UD,1,Sancris,Álex Sancris,F,2,2,6.6,50,0,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,16
25/26,7,Getafe,Levante UD,1,Coba,Coba da Costa,F,5,3,7.3,50,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,14
25/26,7,Levante UD,Getafe,0,Ryan,Mathew Ryan,G,4,2,6.3,90,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,0,23
