Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25-26,31,Real Madrid,Girona FC,1,Lunin,Andriy Lunin,G,5,2,6.7,90,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,5
25-26,31,Real Madrid,Girona FC,1,Carvajal,Dani Carvajal,D,3,1,6.4,90,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6
25-26,31,Real Madrid,Girona FC,1,Militão,Éder Militão,D,4,2,6.6,64,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,5
25-26,31,Real Madrid,Girona FC,1,Fran García,Fran García,D,5,2,7.1,79,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,3
25-26,31,Real Madrid,Girona FC,1,Asencio,Raúl Asencio,D,5,2,6.9,90,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3
25-26,31,Real Madrid,Girona FC,1,Valverde,Federico Valverde,M,11,3,8.5,90,1,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,9
25-26,31,Real Madrid,Girona FC,1,Brahim,Brahim Díaz,M,11,4,7.4,84,0,1,7,4,1,0,2,0,0,0,0,0,0,0,0,0,0,14
25-26,31,Real Madrid,Girona FC,1,Bellingham,Jude Bellingham,M,6,2,7.1,64,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,11
25-26,31,Real Madrid,Girona FC,1,Camavinga,Eduardo Camavinga,M,4,2,7.4,79,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5
25-26,31,Real Madrid,Girona FC,1,Mbappé,Kylian Mbappé,F,3,0,6.1,90,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20
25-26,31,Real Madrid,Girona FC,1,Vinicius,Vinicius Júnior,F,6,3,8.6,90,0,0,3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,15
25-26,31,Real Madrid,Girona FC,1,Mendy,Ferland Mendy,D,2,1,6.7,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
25-26,31,Real Madrid,Girona FC,1,Huijsen,Dean Huijsen,D,4,2,7.2,26,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1
25-26,31,Real Madrid,Girona FC,1,Tchouaméni,Aurélien Tchouaméni,M,2,1,6.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-26,31,Real Madrid,Girona FC,1,Güler,Arda Güler,M,2,1,6.9,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
25-26,31,Real Madrid,Girona FC,1,Gonzalo,Gonzalo García,F,2,1,6.5,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25-26,31,Girona FC,Real Madrid,0,Gazzaniga,Paulo Gazzaniga,G,10,4,8.8,90,0,0,0,0,0,0,11,2,7,0,0,0,0,0,0,0,0,11
25-26,31,Girona FC,Real Madrid,0,Witsel,Axel Witsel,M,4,1,6.7,90,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4
25-26,31,Girona FC,Real Madrid,0,Álex Moreno,Alex Moreno,D,2,1,6.8,90,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,9
