Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,4,Sevilla,Elche,1,Nyland,Ørjan Nyland,G,0,0,6.3,90,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,5
25/26,4,Sevilla,Elche,1,Azpilicueta,César Azpilicueta,D,4,2,6.9,90,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,16
25/26,4,Sevilla,Elche,1,Marcão,Marcão,D,3,1,6.5,90,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,5
25/26,4,Sevilla,Elche,1,Gudelj,Nemanja Gudelj,M,3,1,6.6,61,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3
25/26,4,Sevilla,Elche,1,Nianzou,Tanguy Nianzou,D,4,1,6.7,61,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,6
25/26,4,Sevilla,Elche,1,Juanlu,Juanlu Sánchez,M,3,2,6.7,79,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,20
25/26,4,Sevilla,Elche,1,Agoume,Lucien Agoumé,F,2,1,6.7,90,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
25/26,4,Sevilla,Elche,1,Alfon,Alfon González,M,4,1,6.6,61,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,8
25/26,4,Sevilla,Elche,1,Mendy,Batista Mendy,M,3,1,6.6,90,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,8
25/26,4,Sevilla,Elche,1,Vargas,Ruben Vargas,F,11,4,7.1,79,0,1,3,4,1,0,4,0,0,0,0,0,0,0,0,0,0,18
25/26,4,Sevilla,Elche,1,Romero,Isaac Romero,F,5,2,6.5,90,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,18
25/26,4,Sevilla,Elche,1,Suazo,Gabriel Suazo,D,2,1,6.5,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
25/26,4,Sevilla,Elche,1,Castrín,Andres Castrin,D,2,1,6.5,29,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1
25/26,4,Sevilla,Elche,1,Januzaj,Adnan Januzaj,M,2,1,6.7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
25/26,4,Sevilla,Elche,1,Alexis,Alexis Sánchez,F,7,3,7.1,29,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
25/26,4,Sevilla,Elche,1,Peque,Peque Fernández,F,8,3,7.5,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,4,Elche,Sevilla,0,Dituro,Matías Dituro,G,2,2,6.8,90,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,14
25/26,4,Elche,Sevilla,0,Bigas,Pedro Bigas,D,0,1,6.1,90,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,16
25/26,4,Elche,Sevilla,0,Pedrosa,Adrià Pedrosa,M,0,0,6.4,88,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,13
25/26,4,Elche,Sevilla,0,Chust,Víctor Chust,D,1,0,6.6,80,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,6
25/26,4,Elche,Sevilla,0,Affengruber,David Affengruber,D,5,2,7.2,90,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,8
25/26,4,Elche,Sevilla,0,Á. Núñez,Alvaro Núñez,M,6,2,6.7,90,0,0,2,3,0,0,5,1,0,0,0,0,0,0,0,0,0,8
25/26,4,Elche,Sevilla,0,Febas,Aleix Febas,M,3,1,6.9,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
25/26,4,Elche,Sevilla,0,Martim Neto,Martim Neto,M,9,3,6.4,88,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,8
25/26,4,Elche,Sevilla,0,Ali Houary,Ali Houary,M,4,1,6.2,60,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
25/26,4,Elche,Sevilla,0,André Silva,André Silva,F,8,3,7.9,90,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,9
25/26,4,Elche,Sevilla,0,Rafa Mir,Rafa Mir,F,9,2,7.7,80,1,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,9
25/26,4,Elche,Sevilla,0,John C.,John Donald,D,0,0,6.4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
25/26,4,Elche,Sevilla,0,Fort,Hector Fort,D,0,0,6.4,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
