Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
25/26,19,Barcelona,Joan García,G,7,2,6.7,90,0,0,0,0,0,0,10,3,1,0,0,0,0,0,0,0,0,3
25/26,19,Barcelona,Jules Koundé,D,4,1,6.8,90,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,14
25/26,19,Barcelona,Eric García,M,3,1,6.8,90,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,9
25/26,19,Barcelona,Alejandro Balde,D,9,3,6.6,90,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,7
25/26,19,Barcelona,Pau Cubarsí,D,5,2,7.0,90,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,8
25/26,19,Barcelona,Gerard Martín,D,6,2,7.0,90,0,0,1,0,0,0,2,8,0,0,0,0,0,0,0,0,0,8
25/26,19,Barcelona,Pedri,M,12,4,7.9,73,0,1,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4
25/26,19,Barcelona,Robert Lewandowski,F,1,1,5.4,67,0,0,2,0,1,0,3,0,0,0,0,0,0,1,0,0,0,8
25/26,19,Barcelona,Dani Olmo,M,12,4,8.4,66,1,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,10
25/26,19,Barcelona,Raphinha,M,11,4,8.0,73,1,0,3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,10
25/26,19,Barcelona,Lamine Yamal,M,10,3,7.0,88,0,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,0,30
25/26,19,Barcelona,Andreas Christensen,D,2,1,6.7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/26,19,Barcelona,Marc Casadó,M,2,1,6.6,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
25/26,19,Barcelona,Dro Fernández,M,2,1,6.7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25/26,19,Barcelona,Marcus Rashford,F,3,2,6.7,23,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4
