ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20345,2025/26,28,Alavés,Parada,Desconocido,23,ES,70%,Sano,19,0,2,0,8,1,1.1,45,2.4,0,4,10
20345,2025/26,28,Alavés,Ángel Pérez,Desconocido,23,ES,70%,Sano,5,0,0,0,0,0,1.7,16,3.2,6,4,1
20345,2025/26,28,Alavés,Youssef,Desconocido,20,MA,70%,Sano,20,0,1,0,4,0,1.4,58,2.9,0,0,9
20345,2025/26,28,Alavés,Sivera,Portero,29,ES,95%,Sano,27,0,0,0,1,0,1.9,126,4.7,5,3,2
20345,2025/26,28,Alavés,Jonny,Desconocido,32,ES,90%,Sano,26,0,0,0,5,0,1,83,3.2,0,3,1
20345,2025/26,28,Alavés,Blanco,Desconocido,25,ES,90%,Sano,25,1,1,0,5,0,1.8,112,4.5,5,4,5
20345,2025/26,28,Alavés,Tenaglia,Desconocido,30,AR,90%,Sano,25,1,0,0,2,0,1.7,114,4.6,3,2,4
20345,2025/26,28,Alavés,Toni Martinez,Desconocido,28,ES,70%,Sano,26,5,2,0,1,0,0.9,122,4.7,5,6,1
20345,2025/26,28,Alavés,Aleñá,Desconocido,28,ES,70%,Sano,27,0,4,0,4,0,1.1,110,4.1,2,5,3
20345,2025/26,28,Alavés,Boyé,Desconocido,30,AR,90%,Sano,21,9,1,0,3,1,2.3,128,6.1,15,0,15
20345,2025/26,28,Alavés,Ibáñez,Desconocido,27,ES,50%,Sano,26,1,1,0,5,0,1.7,103,4,0,2,4
20345,2025/26,28,Alavés,Guridi,Desconocido,31,ES,50%,Sano,17,0,0,0,1,0,1,34,2,3,0,0
20345,2025/26,28,Alavés,Koski,Desconocido,24,FI,40%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20345,2025/26,28,Alavés,Denis Suárez,Desconocido,32,ES,30%,Sano,21,1,1,0,4,0,1,72,3.4,11,0,2
20345,2025/26,28,Alavés,Protesoni,Desconocido,27,UY,30%,Lesionado/Duda,9,0,0,0,2,1,1,20,2.2,3,2,0
20345,2025/26,28,Alavés,Rebbach,Desconocido,27,DZ,30%,Sano,20,0,0,0,4,0,-1,57,2.9,0,2,0
20345,2025/26,28,Alavés,Calebe,Desconocido,25,BR,30%,Sano,17,0,0,0,2,0,0.5,48,2.8,0,0,1
20345,2025/26,28,Alavés,Aitor Mañas,Desconocido,2026,,10%,Sano,6,0,0,0,0,0,1,9,1.5,0,0,2
20345,2025/26,28,Alavés,Mariano,Desconocido,32,DO,10%,Sano,10,0,0,0,1,0,0,18,1.8,1,0,0
20345,2025/26,28,Alavés,Diabaté,Desconocido,26,CI,10%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20345,2025/26,28,Alavés,Raúl F.,Desconocido,37,ES,5%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20345,2025/26,28,Alavés,Pacheco,Desconocido,25,ES,0%,Sano,20,0,0,0,5,1,0.9,71,3.6,-3,1,0
20345,2025/26,28,Alavés,Garcés,Desconocido,26,MY,0%,Lesionado/Duda,10,0,0,0,3,0,1,43,4.3,0,0,0
20345,2025/26,28,Alavés,Guevara,Desconocido,28,ES,0%,Sano,19,1,0,0,4,1,1,47,2.5,-1,1,2
20345,2025/26,28,Villarreal,Luiz Junior,Portero,25,BR,90%,Sano,24,0,0,1,3,0,1.3,173,7.2,10,0,3
20345,2025/26,28,Villarreal,Pépé,Desconocido,30,CI,80%,Sano,26,3,4,0,3,0,1.4,155,6,6,5,5
20345,2025/26,28,Villarreal,Mikautadze,Desconocido,25,GE,60%,Sano,22,8,4,0,1,0,1.6,136,6.2,4,1,1
20345,2025/26,28,Villarreal,Moleiro,Desconocido,22,ES,90%,Sano,26,9,4,0,3,0,1.2,174,6.7,4,1,5
20345,2025/26,28,Villarreal,Comesaña,Desconocido,29,ES,70%,Sano,25,3,3,0,4,1,1.6,122,4.9,11,1,12
20345,2025/26,28,Villarreal,P. Gueye,Desconocido,27,SN,80%,Sano,21,4,2,0,7,0,1.6,123,5.9,13,9,13
20345,2025/26,28,Villarreal,Buchanan,Desconocido,27,CA,70%,Sano,25,6,1,0,7,0,1.6,124,5,15,0,1
20345,2025/26,28,Villarreal,S. Cardona,Desconocido,26,ES,70%,Sano,22,0,3,0,3,0,1,87,4,2,0,4
20345,2025/26,28,Villarreal,Rafa Marín,Desconocido,23,ES,70%,Sano,17,1,0,0,1,0,1,96,5.6,5,0,0
20345,2025/26,28,Villarreal,Pau Navarro,Desconocido,20,ES,60%,Sano,15,0,0,0,3,0,1.5,56,3.7,10,-1,5
20345,2025/26,28,Villarreal,Mouriño,Desconocido,24,UY,90%,Sano,20,1,2,0,9,1,1.6,102,5.1,11,5,4
20345,2025/26,28,Villarreal,Veiga,Desconocido,22,PT,50%,Sano,24,0,0,0,3,1,1.3,81,3.4,2,-1,4
20345,2025/26,28,Villarreal,Oluwaseyi,Desconocido,25,CA,40%,Sano,21,2,1,0,1,0,0,59,2.8,0,2,0
20345,2025/26,28,Villarreal,Pedraza,Desconocido,29,ES,30%,Sano,20,1,2,0,6,0,1,78,3.9,0,-2,4
20345,2025/26,28,Villarreal,Gerard,Desconocido,33,ES,30%,Sano,13,7,0,0,0,0,1,95,7.3,1,0,0
20345,2025/26,28,Villarreal,Parejo,Desconocido,36,ES,30%,Sano,23,0,0,0,2,0,0.7,68,3,2,1,2
20345,2025/26,28,Villarreal,Freeman,Desconocido,21,US,20%,Sano,3,0,0,0,0,0,-1,4,1.3,0,0,0
20345,2025/26,28,Villarreal,Thomas,Desconocido,32,GH,20%,Sano,17,0,0,0,0,0,1,48,2.8,1,0,2
20345,2025/26,28,Villarreal,Alfon,Desconocido,26,ES,10%,Sano,3,0,0,0,0,0,1,35,2.7,1,1,1
20345,2025/26,28,Villarreal,Tenas,Desconocido,24,ES,10%,Sano,3,0,0,0,0,0,-1,7,2.3,0,0,0
20345,2025/26,28,Villarreal,Conde,Desconocido,27,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20345,2025/26,28,Villarreal,Kambwala,Desconocido,21,FR,0%,Sano,,,,,,,-1,0,0,0,0,0
20345,2025/26,28,Villarreal,Ayoze,Desconocido,32,ES,30%,Lesionado/Duda,18,2,3,0,3,0,1,66,3.7,0,1,3
20345,2025/26,28,Villarreal,Costa,Desconocido,24,CV,0%,Lesionado/Duda,,,,,,,-1,0,0,0,0,0
20345,2025/26,28,Villarreal,Cabanes,Desconocido,21,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
20345,2025/26,28,Villarreal,Foyth,Desconocido,28,AR,0%,Lesionado/Duda,13,0,0,0,2,0,-1,63,4.8,0,0,0
20346,2025/26,28,Girona,Rincón,Desconocido,23,ES,80%,Sano,24,0,1,0,3,0,1.2,58,2.4,0,0,1
20346,2025/26,28,Girona,Gazzaniga,Portero,34,AR,95%,Sano,24,0,0,0,4,1,1.3,124,5.2,3,5,4
20346,2025/26,28,Girona,Arnau,Desconocido,22,ES,90%,Sano,24,1,1,0,6,0,1.2,116,4.8,5,-1,2
20346,2025/26,28,Girona,Blind,Desconocido,36,NL,95%,Sano,25,0,0,0,1,0,1.7,115,4.6,7,2,4
20346,2025/26,28,Girona,Tsygankov,Desconocido,28,UA,90%,Sano,21,5,2,0,1,0,1.6,120,5.7,4,3,12
