ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20443,2025/26,38,Celta,1,Giráldez,40%,40%,77.3%
20443,2025/26,38,Sevilla,0,Luis García,60%,40%,84.2%
20444,2025/26,38,Alavés,1,Quique,40%,40%,91.6%
20444,2025/26,38,Rayo,0,Íñigo Pérez,100%,40%,85.5%
20445,2025/26,38,Espanyol,1,Manolo González,40%,40%,87.8%
20445,2025/26,38,Real Sociedad,0,Matarazzo,60%,40%,83.9%
20446,2025/26,38,Getafe,1,Pepe Bordalás,20%,60%,91.9%
20446,2025/26,38,Osasuna,0,Alessio Lisci,20%,60%,91.4%
20447,2025/26,38,Girona,1,Míchel,20%,60%,92.0%
20447,2025/26,38,Elche,0,Éder Sarabia,20%,60%,83.2%
20448,2025/26,38,Mallorca,1,Demichelis,20%,60%,90.3%
20448,2025/26,38,Real Oviedo,0,Almada,60%,40%,84.5%
20449,2025/26,38,Betis,1,Manuel Pellegrini,60%,40%,84.2%
20449,2025/26,38,Levante,0,Luis Castro,20%,60%,89.4%
20450,2025/26,38,Real Madrid,1,Arbeloa,40%,40%,83.1%
20450,2025/26,38,Athletic,0,Valverde,20%,60%,84.3%
20451,2025/26,38,Valencia,1,Corberán,20%,60%,91.8%
20451,2025/26,38,Barcelona,0,Flick,60%,40%,87.5%
20452,2025/26,38,Villarreal,1,Marcelino,80%,60%,84.6%
20452,2025/26,38,Atlético,0,Simeone,40%,60%,85.8%
