Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20451,2025/26,38,Barcelona,Defensa,5.0,30,DK,10%,Sano,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20450,2025/26,38,Real Madrid,Defensa,22.0,23,ES,30%,Sano,27,2,2,0,5,1,1,170,6.3,0,8,0
Aarón,Aarón,20448,2025/26,38,Real Oviedo,Portero,27.0,30,ES,50%,Sano,36,0,1,2,3,0,2.2,256,7.1,0,4,11
Abde,Ez Abde,20449,2025/26,38,Betis,Delantero,30.0,24,MA,70%,Sano,28,9,8,0,3,0,1.4,209,7.5,1,5,10
Abdon,Abdón,20448,2025/26,38,Mallorca,Delantero,3.0,33,ES,10%,Sano,14,0,0,0,0,0,1.1,20,1.4,1,2,0
Abed,Huseini,20449,2025/26,38,Levante,Defensa,2.0,21,IL,0%,Sano,6,0,0,0,0,0,-1,0,0,0,0,N/A
Abel Ruiz,Abel Ruiz,20447,2025/26,38,Girona,Delantero,4.0,26,ES,10%,Lesionado/Duda,9,0,0,0,0,0,-1,18,2,0,0,0
Abqar,A. abqar,20446,2025/26,38,Getafe,Defensa,8.0,27,MA,70%,Sano,22,0,2,0,10,1,1,74,3.4,2,0,6
Adam Boayar,Adam B.,20447,2025/26,38,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20443,2025/26,38,Sevilla,Delantero,9.0,26,NG,70%,Sano,31,10,3,0,3,0,1.8,140,4.5,4,8,6
Adrián,Adrián,20449,2025/26,38,Betis,Portero,2.0,39,ES,40%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20447,2025/26,38,Elche,Defensa,10.0,25,AT,90%,Sano,35,1,1,0,6,1,1.5,164,4.7,10,4,7
Agirrezabala,Agirrezabala,20451,2025/26,38,Valencia,Portero,18.0,25,ES,5%,Sano,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20443,2025/26,38,Sevilla,Mediocampista,9.0,24,FR,50%,Sano,33,1,3,0,12,0,0.9,130,3.9,1,8,4
Aguado,M. Aguado,20447,2025/26,38,Elche,Mediocampista,9.0,26,ES,70%,Sano,34,1,2,0,2,0,1,139,4.1,7,4,3
Agudín,Agudín,20448,2025/26,38,Real Oviedo,Delantero,2.0,2026,N/A,20%,Sano,7,0,0,0,0,0,-1,3,0.4,0,1,0
Ahijado,Lucas,20448,2025/26,38,Real Oviedo,Defensa,7.0,31,ES,40%,Sano,19,0,1,0,3,0,1.5,50,2.6,2,1,3
Aidoo,Aidoo Jr,20443,2025/26,38,Celta,Defensa,6.0,30,GH,10%,Sano,8,0,0,0,0,0,-1,26,3.3,0,0,0
Aihen,Aihen,20445,2025/26,38,Real Sociedad,Defensa,6.0,28,ES,30%,Sano,20,1,0,0,1,0,2,44,2.2,9,0,0
Aitor Mañas,Mañas,20444,2025/26,38,Alavés,Delantero,3.0,23,ES,10%,Sano,9,0,0,0,0,0,1.2,15,1.7,2,2,2
Aitor,Aitor Fdez,20446,2025/26,38,Osasuna,Portero,5.0,35,ES,20%,Sano,2,0,0,0,2,0,2,9,4.5,0,3,8
Akhomach,I. Akhomach,20444,2025/26,38,Rayo,Delantero,7.0,22,MA,0%,Lesionado/Duda,11,0,1,0,2,0,-1,62,3.1,0,0,0
Alaba,Alaba,20450,2025/26,38,Real Madrid,Defensa,5.0,33,AT,50%,Sano,10,0,0,0,1,0,1,27,2.7,0,8,0
