Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20363,2025/26,30,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20367,2025/26,30,Real Madrid,Defensa,21.0,23,ES,50%,Sano,24,2,2,0,5,1,-1,155,6.5,1,0,0
Aarón,Aarón,20370,2025/26,30,Real Oviedo,Portero,24.0,30,ES,95%,Sano,29,0,0,2,2,0,1.7,202,7,0,13,9
Abde,Ez Abde,20369,2025/26,30,Betis,Delantero,25.0,24,MA,80%,Sano,20,5,5,0,3,0,1.2,142,7.1,5,3,-1
Abdon,Abdón,20367,2025/26,30,Mallorca,Delantero,3.0,33,ES,30%,Sano,10,0,0,0,0,0,-1,15,1.5,0,0,0
Abel Ruiz,Abel Ruiz,20366,2025/26,30,Girona,Delantero,3.0,26,ES,10%,Sano,7,0,0,0,0,0,1,12,1.7,2,2,2
Abqar,A. abqar,20365,2025/26,30,Getafe,Defensa,8.0,27,MA,0%,Sano,16,0,2,0,7,1,0.9,52,3.3,0,-3,6
Adam Boayar,Adam B.,20368,2025/26,30,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20370,2025/26,30,Sevilla,Delantero,11.0,26,NG,50%,Sano,24,7,3,0,1,0,1.3,108,4.5,1,1,9
Adrián,Adrián,20369,2025/26,30,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20368,2025/26,30,Elche,Defensa,10.0,25,AT,70%,Sano,27,0,0,0,6,1,1.2,106,3.9,3,-1,4
Agirrezabala,Agirrezabala,20372,2025/26,30,Valencia,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20370,2025/26,30,Sevilla,Mediocampista,10.0,24,FR,0%,Sano,26,1,2,0,10,0,0.8,97,3.7,-1,0,3
Aguado,M. Aguado,20368,2025/26,30,Elche,Mediocampista,10.0,26,ES,70%,Sano,28,1,1,0,2,0,1,109,3.9,5,0,3
Agudín,Agudín,20370,2025/26,30,Real Oviedo,Delantero,2.0,2026,N/A,10%,Sano,5,0,0,0,0,0,-1,1,0.2,1,0,0
Ahijado,Lucas,20370,2025/26,30,Real Oviedo,Defensa,7.0,31,ES,10%,Lesionado/Duda,15,0,1,0,2,0,-1,42,2.8,0,0,0
Aidoo,Aidoo Jr,20372,2025/26,30,Celta,Defensa,7.0,30,GH,30%,Sano,6,0,0,0,0,0,0,25,4.2,-1,0,0
Aihen,Aihen,20371,2025/26,30,Real Sociedad,Defensa,5.0,28,ES,20%,Sano,16,0,0,0,1,0,-1,29,1.8,0,0,0
Aitor Mañas,Mañas,20364,2025/26,30,Alavés,Delantero,3.0,2026,N/A,5%,Sano,6,0,0,0,0,0,-1,9,1.5,0,0,0
Aitor,Aitor Fdez,20364,2025/26,30,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20368,2025/26,30,Rayo,Delantero,6.0,21,MA,60%,Lesionado/Duda,8,0,0,0,2,0,1.4,48,2.8,0,2,1
Alaba,Alaba,20367,2025/26,30,Real Madrid,Defensa,4.0,33,AT,10%,Sano,8,0,0,0,1,0,-1,18,2.3,0,0,0
Alemão,Alemao,20368,2025/26,30,Rayo,Delantero,6.0,28,BR,40%,Sano,17,1,0,0,1,0,1,37,2.2,0,1,1
Alexander-Arnold,Trent,20367,2025/26,30,Real Madrid,Defensa,7.0,27,EN,60%,Sano,14,0,3,0,1,0,1.4,57,4.1,7,0,3
Alexis,Alexis Sánchez,20370,2025/26,30,Sevilla,Delantero,8.0,37,CL,30%,Sano,21,3,1,0,1,0,0.3,73,3.5,1,1,3
Aleñá,Aleñá,20364,2025/26,30,Alavés,Mediocampista,10.0,28,ES,50%,Sano,29,0,4,0,4,0,0.8,116,4,0,6,2
Alfon,Alfon,20366,2025/26,30,Villarreal,Delantero,5.0,26,ES,10%,Sano,4,0,0,0,0,0,1,38,2.7,3,0,1
Alhassane,A. Rahim,20370,2025/26,30,Real Oviedo,Defensa,9.0,24,NE,40%,Sano,20,0,0,0,1,0,1,59,3,2,0,0
Almada,Almada,20363,2025/26,30,Atlético,Mediocampista,9.0,24,AR,30%,Sano,20,3,1,0,1,0,0.5,98,4.9,0,4,2
Almeida,Almeida,20372,2025/26,30,Valencia,Mediocampista,9.0,25,PT,50%,Sano,18,0,1,0,0,0,1.3,78,4.3,7,6,4
Altimira,Altimira,20369,2025/26,30,Betis,Mediocampista,8.0,24,ES,50%,Sano,20,1,1,0,2,0,1.3,71,3.6,4,2,3
Alvarez,Julián Alvarez,20363,2025/26,30,Atlético,Delantero,21.0,26,AR,60%,Sano,29,8,4,0,2,0,1.2,187,6.4,8,2,5
Alvaro R.,Álvaro,20368,2025/26,30,Elche,Delantero,11.0,21,UY,50%,Sano,25,5,4,0,0,0,1,118,4.7,1,0,2
André Silva,André Silva,20368,2025/26,30,Elche,Delantero,10.0,30,PT,40%,Sano,22,7,0,0,2,0,1.1,100,4.5,0,2,7
Antonio,Antonio Sánchez,20367,2025/26,30,Mallorca,Mediocampista,7.0,28,ES,50%,Sano,24,0,0,0,4,1,1.1,49,2,3,2,0
Antony,Antony,20369,2025/26,30,Betis,Delantero,23.0,26,BR,50%,Sano,24,7,5,0,4,1,0.5,161,6.7,1,1,2
Arambarri,Arambarri,20365,2025/26,30,Getafe,Mediocampista,16.0,30,UY,95%,Sano,29,6,2,0,4,0,1.7,163,5.6,12,1,5
Aramburu,Aramburu,20371,2025/26,30,Real Sociedad,Defensa,8.0,23,VE,60%,Sano,27,1,0,0,9,0,1.5,60,2.2,0,3,1
Araújo,R. Araujo,20363,2025/26,30,Barcelona,Defensa,8.0,27,UY,50%,Sano,18,3,0,0,2,0,1.4,70,3.9,15,1,2
Areso,Areso,20365,2025/26,30,Athletic,Defensa,9.0,26,ES,30%,Sano,23,0,1,0,3,0,1,74,3.2,0,0,0
Aritz,Aritz,20371,2025/26,30,Real Sociedad,Defensa,4.0,32,ES,50%,Sano,10,0,0,0,0,0,1,20,2,2,0,0
Arnau,Arnau,20366,2025/26,30,Girona,Defensa,13.0,22,ES,80%,Sano,26,1,1,0,6,0,1.2,132,5.1,8,8,5
Arriaga,Arriaga,20371,2025/26,30,Levante,Mediocampista,9.0,28,HN,20%,Sano,20,1,1,0,6,1,0.6,70,3.5,2,3,1
Artero,Andreev,20366,2025/26,30,Girona,Portero,1.0,23,ES,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
Asano,Asano,20367,2025/26,30,Mallorca,Delantero,5.0,31,JP,0%,Lesionado/Duda,15,1,0,0,2,0,-1,30,2,0,0,0
Asencio,Asencio,20367,2025/26,30,Real Madrid,Defensa,12.0,23,ES,40%,Sano,19,2,0,0,3,0,2,93,4.9,0,0,2
Aspas,Iago Aspas,20372,2025/26,30,Celta,Delantero,9.0,38,ES,30%,Lesionado/Duda,24,4,3,0,3,0,1.4,113,4.7,3,0,2
Ayoze,Ayoze,20366,2025/26,30,Villarreal,Delantero,8.0,32,ES,10%,Sano,18,2,3,0,3,0,-1,66,3.7,0,0,0
Azpilicueta,Azpilicueta,20370,2025/26,30,Sevilla,Defensa,8.0,36,ES,50%,Sano,15,0,1,0,4,0,1.4,51,3.4,3,0,8
Baena,Álex Baena,20363,2025/26,30,Atlético,Mediocampista,10.0,24,ES,70%,Sano,20,2,2,0,3,0,1,107,5.4,2,5,0
Bailly,E. Bailly,20370,2025/26,30,Real Oviedo,Defensa,8.0,31,CI,70%,Sano,9,1,0,0,2,0,1.1,38,4.2,-3,8,0
Bakambu,Bakambu,20369,2025/26,30,Betis,Delantero,6.0,34,CD,20%,Sano,15,3,0,0,0,0,1.2,47,3.1,1,2,1
Balde,Álex Balde,20363,2025/26,30,Barcelona,Defensa,11.0,22,ES,0%,Lesionado/Duda,21,0,2,0,2,0,-1,98,4.7,0,0,0
Balliu,Balliu,20368,2025/26,30,Rayo,Defensa,4.0,34,AL,20%,Sano,11,0,0,0,2,0,1,16,1.5,0,4,0
