ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20368,2025/26,30,Rayo,1,Íñigo Pérez,80%,60%,87.9%
20368,2025/26,30,Elche,0,Éder Sarabia,20%,60%,81.8%
20371,2025/26,30,Real Sociedad,1,Matarazzo,20%,60%,84.6%
20371,2025/26,30,Levante,0,Luis Castro,20%,60%,88.0%
20367,2025/26,30,Mallorca,1,Demichelis,20%,60%,87.7%
20367,2025/26,30,Real Madrid,0,Arbeloa,20%,40%,87.6%
20369,2025/26,30,Betis,1,Manuel Pellegrini,40%,40%,87.7%
20369,2025/26,30,Espanyol,0,Manolo González,20%,60%,87.2%
20363,2025/26,30,Atlético,1,Simeone,20%,40%,87.4%
20363,2025/26,30,Barcelona,0,Flick,60%,60%,87.3%
20365,2025/26,30,Getafe,1,Pepe Bordalás,20%,80%,93.4%
20365,2025/26,30,Athletic,0,Valverde,20%,60%,86.5%
20372,2025/26,30,Valencia,1,Corberán,20%,60%,95.0%
20372,2025/26,30,Celta,0,Giráldez,60%,40%,76.5%
20370,2025/26,30,Real Oviedo,1,Almada,20%,60%,95.0%
20370,2025/26,30,Sevilla,0,Luis García,20%,40%,0%
20364,2025/26,30,Alavés,1,Quique,20%,60%,93.9%
20364,2025/26,30,Osasuna,0,Alessio Lisci,20%,80%,92.2%
20366,2025/26,30,Girona,1,Míchel,20%,60%,92.5%
20366,2025/26,30,Villarreal,0,Marcelino,20%,80%,84.1%
