Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,73,29,24,1,4,78,28,+50
Real Madrid,DDVVV,69,29,22,3,4,63,26,+37
Villarreal,VDVEV,58,29,18,4,7,54,34,+20
Atlético de Madrid,VVVVD,57,29,17,6,6,49,28,+21
Real Betis,EEDED,44,29,11,11,7,44,37,+7
Celta,VVDED,41,29,10,11,8,41,35,+6
Real Sociedad,EVDVD,38,29,10,8,11,44,45,-1
Getafe,DVVDV,38,29,11,5,13,25,31,-6
Athletic,VEDDV,38,29,11,5,13,32,41,-9
Osasuna,VDEDV,37,29,10,7,12,34,35,-1
Espanyol,DEEDD,37,29,10,7,12,36,44,-8
Valencia,DVVDV,35,29,9,8,12,32,42,-10
Girona FC,EDEVD,34,29,8,10,11,31,44,-13
Rayo Vallecano,EVEED,32,29,7,11,11,28,35,-7
Sevilla,VEEDD,31,29,8,7,14,37,49,-12
Deportivo Alavés,EDDEV,31,29,8,7,14,30,41,-11
Elche,DEDDV,29,29,6,11,12,38,46,-8
Mallorca,DDEVD,28,29,7,7,15,34,47,-13
Levante,DVEEV,26,29,6,8,15,34,48,-14
Real Oviedo,DDEVD,21,29,4,9,16,20,48,-28
