Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VDVVV,67,27,22,1,4,72,26,+46
Real Madrid,VVDDV,63,27,20,3,4,56,23,+33
Atlético de Madrid,DDVVV,54,27,16,6,5,46,25,+21
Villarreal,DVVDV,54,27,17,3,7,50,32,+18
Real Betis,VVEED,43,27,11,10,6,42,34,+8
Celta,DEVVD,40,27,10,10,7,37,30,+7
Espanyol,DEDEE,37,27,10,7,10,34,40,-6
Real Sociedad,VDEVD,35,27,9,8,10,40,41,-1
Getafe,VVDVV,35,27,10,5,12,23,29,-6
Athletic,VVVED,35,27,10,5,12,30,37,-7
Osasuna,VEVDE,34,27,9,7,11,32,32,0
Valencia,DVDVV,32,27,8,8,11,30,41,-11
Rayo Vallecano,VEEVE,31,27,7,10,10,27,33,-6
Sevilla,EEVEE,31,27,8,7,12,35,42,-7
Girona FC,EVEDE,31,27,7,10,10,28,43,-15
Deportivo Alavés,DEEDD,27,27,7,6,14,25,37,-12
Elche,DEDED,26,27,5,11,11,35,41,-6
Mallorca,DDDDE,25,27,6,7,14,31,44,-13
Levante,DDDVE,22,27,5,7,15,29,45,-16
Real Oviedo,DEDDE,18,27,3,9,15,17,44,-27
