ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20345,2025/26,28,Alavés,1,Quique,20%,60%,81.8%
20345,2025/26,28,Villarreal,0,Marcelino,20%,60%,80.7%
20346,2025/26,28,Girona,1,Míchel,20%,60%,92.2%
20346,2025/26,28,Athletic,0,Valverde,20%,80%,83.7%
20343,2025/26,28,Atlético,1,Simeone,80%,40%,87.5%
20343,2025/26,28,Getafe,0,Pepe Bordalás,20%,80%,93.2%
20351,2025/26,28,Real Oviedo,1,Almada,20%,40%,95.3%
20351,2025/26,28,Valencia,0,Corberán,20%,80%,95.1%
20350,2025/26,28,Real Madrid,1,Arbeloa,60%,40%,88.1%
20350,2025/26,28,Elche,0,Éder Sarabia,20%,40%,75.0%
20347,2025/26,28,Mallorca,1,Demichelis,20%,60%,84.5%
20347,2025/26,28,Espanyol,0,Manolo González,20%,60%,86.9%
20344,2025/26,28,Barcelona,1,Flick,60%,40%,87.4%
20344,2025/26,28,Sevilla,0,Almeyda,20%,60%,86.7%
20349,2025/26,28,Betis,1,Manuel Pellegrini,100%,20%,89.0%
20349,2025/26,28,Celta,0,Giráldez,80%,40%,76.7%
20352,2025/26,28,Real Sociedad,1,Matarazzo,60%,60%,83.5%
20352,2025/26,28,Osasuna,0,Alessio Lisci,20%,80%,91.6%
20348,2025/26,28,Rayo,1,Íñigo Pérez,80%,60%,88.7%
20348,2025/26,28,Levante,0,Luis Castro,20%,60%,88.3%
