Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20344,2025/26,28,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20350,2025/26,28,Real Madrid,Defensa,24.0,22,ES,0%,Lesionado/Duda,23,2,2,0,5,1,1.2,154,6.7,0,2,3
Aarón,Aarón,20351,2025/26,28,Real Oviedo,Portero,26.0,30,ES,95%,Sano,27,0,0,2,2,0,1.6,189,7,9,3,2
Abde,Ez Abde,20349,2025/26,28,Betis,Delantero,29.0,24,MA,50%,Sano,18,5,5,0,3,0,1.6,134,7.4,-1,10,6
Abdon,Abdón,20347,2025/26,28,Mallorca,Delantero,3.0,33,ES,15%,Lesionado/Duda,10,0,0,0,0,0,-1,15,1.5,0,2,0
Abel Ruiz,Abel Ruiz,20346,2025/26,28,Girona,Delantero,3.0,26,ES,20%,Sano,5,0,0,0,0,0,1,8,1.6,2,2,0
Abqar,A. abqar,20343,2025/26,28,Getafe,Defensa,8.0,27,MA,60%,Sano,15,0,2,0,7,0,1.3,55,3.7,6,1,3
Adam Boayar,Adam B.,20350,2025/26,28,Elche,Mediocampista,4.0,20,MA,10%,Sano,7,1,0,0,0,0,-1,19,2.7,0,0,2
Adams,Akor,20344,2025/26,28,Sevilla,Delantero,12.0,26,NG,80%,Sano,22,7,3,0,1,0,1.9,106,4.8,9,2,8
Adrián,Adrián,20349,2025/26,28,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20350,2025/26,28,Elche,Defensa,10.0,24,AT,80%,Sano,25,0,0,0,5,1,1.3,104,4.2,4,4,2
Agirrezabala,Agirrezabala,20351,2025/26,28,Valencia,Portero,18.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20344,2025/26,28,Sevilla,Mediocampista,10.0,24,FR,80%,Sano,24,1,2,0,9,0,1.3,98,4.1,3,4,6
Aguado,M. Aguado,20350,2025/26,28,Elche,Mediocampista,10.0,26,ES,50%,Sano,26,1,1,0,2,0,1.3,104,4,3,8,4
Ahijado,Lucas,20351,2025/26,28,Real Oviedo,Defensa,8.0,31,ES,0%,Lesionado/Duda,15,0,1,0,2,0,1,42,2.8,0,0,1
Aidoo,Aidoo Jr,20349,2025/26,28,Celta,Defensa,7.0,30,GH,50%,Sano,5,0,0,0,0,0,1.5,26,5.2,0,6,11
Aihen,Aihen,20352,2025/26,28,Real Sociedad,Defensa,6.0,28,ES,10%,Lesionado/Duda,16,0,0,0,1,0,-1,29,1.8,0,0,0
Aitor Mañas,Mañas,20345,2025/26,28,Alavés,Delantero,3.0,2026,N/A,10%,Sano,6,0,0,0,0,0,1,9,1.5,0,0,2
Aitor,Aitor Fdez,20352,2025/26,28,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20348,2025/26,28,Rayo,Delantero,6.0,21,MA,40%,Sano,7,0,0,0,2,0,1.3,46,2.9,1,5,2
Alaba,Alaba,20350,2025/26,28,Real Madrid,Defensa,4.0,33,AT,0%,Lesionado/Duda,8,0,0,0,1,0,0.4,18,2.3,0,3,1
Alemão,Alemao,20348,2025/26,28,Rayo,Delantero,6.0,27,BR,10%,Sano,16,1,0,0,1,0,1,36,2.3,1,1,2
Alexander-Arnold,Trent,20350,2025/26,28,Real Madrid,Defensa,7.0,27,EN,30%,Sano,13,0,2,0,1,0,0.3,50,3.8,3,2,0
Alexis,Alexis Sánchez,20344,2025/26,28,Sevilla,Delantero,8.0,37,CL,50%,Sano,19,3,1,0,1,0,1,71,3.7,3,8,1
Aleñá,Aleñá,20345,2025/26,28,Alavés,Mediocampista,10.0,28,ES,70%,Sano,27,0,4,0,4,0,1.1,110,4.1,2,5,3
Alfon,Alfon,20345,2025/26,28,Villarreal,Delantero,5.0,26,ES,10%,Sano,3,0,0,0,0,0,1,35,2.7,1,1,1
Alhassane,A. Rahim,20351,2025/26,28,Real Oviedo,Defensa,9.0,24,NE,30%,Sano,19,0,0,0,1,0,-1,57,3,0,0,0
Almada,Almada,20343,2025/26,28,Atlético,Mediocampista,9.0,24,AR,70%,Sano,19,3,1,0,1,0,0.5,94,4.9,2,8,1
Almeida,Almeida,20351,2025/26,28,Valencia,Mediocampista,8.0,25,PT,10%,Sano,16,0,1,0,0,0,1,65,4.1,4,0,2
Altimira,Altimira,20349,2025/26,28,Betis,Mediocampista,8.0,24,ES,50%,Sano,18,1,1,0,2,0,0.7,65,3.6,3,2,0
Alvarez,Julián Alvarez,20343,2025/26,28,Atlético,Delantero,23.0,26,AR,30%,Sano,27,8,3,0,2,0,1.2,177,6.6,5,10,1
Alvaro R.,Álvaro,20350,2025/26,28,Elche,Delantero,12.0,21,UY,50%,Sano,24,5,4,0,0,0,0.9,117,4.9,2,2,4
André Silva,André Silva,20350,2025/26,28,Elche,Delantero,10.0,30,PT,70%,Sano,21,7,0,0,2,0,1.6,98,4.7,7,3,7
Antonio,Antonio Sánchez,20347,2025/26,28,Mallorca,Mediocampista,6.0,28,ES,30%,Sano,22,0,0,0,4,1,1,44,2,0,0,3
Antony,Antony,20349,2025/26,28,Betis,Delantero,28.0,26,BR,70%,Sano,22,7,5,0,3,1,1.5,159,7.2,2,8,2
Arambarri,Arambarri,20343,2025/26,28,Getafe,Mediocampista,17.0,30,UY,95%,Sano,27,5,2,0,4,0,1.9,150,5.6,5,11,4
Aramburu,Aramburu,20352,2025/26,28,Real Sociedad,Defensa,9.0,23,VE,90%,Sano,25,1,0,0,8,0,1.2,57,2.3,1,6,0
Araújo,R. Araujo,20344,2025/26,28,Barcelona,Defensa,7.0,27,UY,50%,Sano,16,2,0,0,2,0,1.2,54,3.4,2,2,2
Areso,Areso,20346,2025/26,28,Athletic,Defensa,10.0,26,ES,40%,Sano,22,0,1,0,3,0,0.7,74,3.4,0,2,2
Aritz,Aritz,20352,2025/26,28,Real Sociedad,Defensa,4.0,31,ES,20%,Sano,9,0,0,0,0,0,1,18,2,0,0,2
Arnau,Arnau,20346,2025/26,28,Girona,Defensa,12.0,22,ES,90%,Sano,24,1,1,0,6,0,1.2,116,4.8,5,-1,2
Arriaga,Arriaga,20348,2025/26,28,Levante,Mediocampista,9.0,28,HN,50%,Sano,18,1,1,0,6,1,1,65,3.6,1,0,0
Artero,Andreev,20346,2025/26,28,Girona,Portero,1.0,23,ES,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
Asano,Asano,20347,2025/26,28,Mallorca,Delantero,5.0,31,JP,0%,Lesionado/Duda,15,1,0,0,2,0,-1,30,2,0,0,0
Asencio,Asencio,20350,2025/26,28,Real Madrid,Defensa,12.0,23,ES,70%,Sano,19,2,0,0,3,0,1.2,93,4.9,2,0,2
Aspas,Iago Aspas,20349,2025/26,28,Celta,Delantero,9.0,38,ES,30%,Sano,23,4,3,0,3,0,2.4,110,4.8,2,0,16
Ayoze,Ayoze,20345,2025/26,28,Villarreal,Delantero,8.0,32,ES,0%,Lesionado/Duda,18,2,3,0,3,0,1,66,3.7,0,1,3
Azpilicueta,Azpilicueta,20344,2025/26,28,Sevilla,Defensa,8.0,36,ES,70%,Sano,14,0,1,0,4,0,1.8,48,3.4,8,1,7
Baena,Álex Baena,20343,2025/26,28,Atlético,Mediocampista,10.0,24,ES,50%,Sano,18,2,2,0,3,0,1.1,100,5.6,0,7,10
Bailly,E. Bailly,20351,2025/26,28,Real Oviedo,Defensa,8.0,31,CI,50%,Sano,7,1,0,0,1,0,-1,33,4.7,0,0,0
Bakambu,Bakambu,20349,2025/26,28,Betis,Delantero,6.0,34,CD,50%,Sano,13,3,0,0,0,0,0.8,44,3.4,1,1,10
Balde,Álex Balde,20344,2025/26,28,Barcelona,Defensa,11.0,22,ES,0%,Lesionado/Duda,21,0,2,0,2,0,1,98,4.7,0,5,0
Balliu,Balliu,20348,2025/26,28,Rayo,Defensa,3.0,34,AL,50%,Sano,10,0,0,0,2,0,1,12,1.2,0,2,0
Bardghji,Bardghji,20344,2025/26,28,Barcelona,Delantero,5.0,20,SE,50%,Sano,15,1,1,0,0,0,1.5,47,3.1,0,2,2
Barrenetxea,Barrenetxea,20352,2025/26,28,Real Sociedad,Mediocampista,10.0,24,ES,50%,Sano,21,3,3,0,2,0,1.2,110,5.2,3,2,0
Barrios,Barrios,20343,2025/26,28,Atlético,Mediocampista,19.0,22,ES,0%,Lesionado/Duda,21,1,1,0,0,0,-1,123,5.9,0,0,0
Bartra,Bartra,20349,2025/26,28,Betis,Defensa,18.0,35,ES,50%,Sano,21,1,0,0,3,0,0.5,119,5.7,5,0,0
Batalla,A. Batalla,20348,2025/26,28,Rayo,Portero,19.0,29,AR,95%,Sano,27,0,0,0,4,0,1.2,158,5.9,3,9,1
Bellerín,Bellerín,20349,2025/26,28,Betis,Defensa,9.0,30,ES,30%,Sano,16,0,2,0,1,0,-1,68,4.3,0,0,0
