ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20344,2025/26,28,Barcelona,A. Christensen,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
20350,2025/26,28,Real Madrid,A. F. Carreras,Defensa,24.0,22,ES,30%,Lesionado/Duda,23,2,2,0,5,1,1.2,154,6.7,0,2,3
20351,2025/26,28,Real Oviedo,Aarón,Portero,26.0,30,ES,95%,Sano,27,0,0,2,2,0,1.6,189,7,9,3,2
20349,2025/26,28,Betis,Abde,Delantero,29.0,24,MA,50%,Sano,18,5,5,0,3,0,1.6,134,7.4,-1,10,6
20347,2025/26,28,Mallorca,Abdon,Delantero,3.0,33,ES,15%,Sano,10,0,0,0,0,0,-1,15,1.5,0,2,0
20346,2025/26,28,Girona,Abel Ruiz,Delantero,3.0,26,ES,20%,Sano,5,0,0,0,0,0,1,8,1.6,2,2,0
20343,2025/26,28,Getafe,Abqar,Defensa,8.0,27,MA,60%,Sano,15,0,2,0,7,0,1.3,55,3.7,6,1,3
20350,2025/26,28,Elche,Adam Boayar,Mediocampista,4.0,20,MA,10%,Sano,7,1,0,0,0,0,-1,19,2.7,0,0,2
20344,2025/26,28,Sevilla,Adams,Delantero,12.0,26,NG,80%,Sano,22,7,3,0,1,0,1.9,106,4.8,9,2,8
20349,2025/26,28,Betis,Adrián,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20350,2025/26,28,Elche,Affengruber,Defensa,10.0,24,AT,80%,Sano,25,0,0,0,5,1,1.3,104,4.2,4,4,2
20351,2025/26,28,Valencia,Agirrezabala,Portero,18.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
20344,2025/26,28,Sevilla,Agoume,Mediocampista,10.0,24,FR,80%,Sano,24,1,2,0,9,0,1.3,98,4.1,3,4,6
20350,2025/26,28,Elche,Aguado,Mediocampista,10.0,26,ES,50%,Sano,26,1,1,0,2,0,1.3,104,4,3,8,4
20351,2025/26,28,Real Oviedo,Ahijado,Defensa,8.0,31,ES,20%,Lesionado/Duda,15,0,1,0,2,0,1,42,2.8,0,0,1
20349,2025/26,28,Celta,Aidoo,Defensa,7.0,30,GH,50%,Sano,5,0,0,0,0,0,1.5,26,5.2,0,6,11
20352,2025/26,28,Real Sociedad,Aihen,Defensa,6.0,28,ES,10%,Lesionado/Duda,16,0,0,0,1,0,-1,29,1.8,0,0,0
20345,2025/26,28,Alavés,Aitor Mañas,Delantero,3.0,2026,N/A,10%,Sano,6,0,0,0,0,0,1,9,1.5,0,0,2
20352,2025/26,28,Osasuna,Aitor,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
20348,2025/26,28,Rayo,Akhomach,Delantero,6.0,21,MA,50%,Sano,7,0,0,0,2,0,1.3,46,2.9,1,5,2
20350,2025/26,28,Real Madrid,Alaba,Defensa,4.0,33,AT,40%,Lesionado/Duda,8,0,0,0,1,0,0.4,18,2.3,0,3,1
20348,2025/26,28,Rayo,Alemão,Delantero,6.0,27,BR,10%,Sano,16,1,0,0,1,0,1,36,2.3,1,1,2
20350,2025/26,28,Real Madrid,Alexander-Arnold,Defensa,7.0,27,EN,50%,Sano,13,0,2,0,1,0,0.3,50,3.8,3,2,0
20344,2025/26,28,Sevilla,Alexis,Delantero,8.0,37,CL,60%,Sano,19,3,1,0,1,0,1,71,3.7,3,8,1
20345,2025/26,28,Alavés,Aleñá,Mediocampista,10.0,28,ES,70%,Sano,27,0,4,0,4,0,1.1,110,4.1,2,5,3
20345,2025/26,28,Villarreal,Alfon,Delantero,5.0,26,ES,10%,Sano,3,0,0,0,0,0,1,35,2.7,1,1,1
20351,2025/26,28,Real Oviedo,Alhassane,Defensa,9.0,24,NE,30%,Sano,19,0,0,0,1,0,-1,57,3,0,0,0
20343,2025/26,28,Atlético,Almada,Mediocampista,9.0,24,AR,70%,Sano,19,3,1,0,1,0,0.5,94,4.9,2,8,1
20351,2025/26,28,Valencia,Almeida,Mediocampista,8.0,25,PT,10%,Sano,16,0,1,0,0,0,1,65,4.1,4,0,2
20349,2025/26,28,Betis,Altimira,Mediocampista,8.0,24,ES,50%,Sano,18,1,1,0,2,0,0.7,65,3.6,3,2,0
20343,2025/26,28,Atlético,Alvarez,Delantero,23.0,26,AR,30%,Sano,27,8,3,0,2,0,1.2,177,6.6,5,10,1
20350,2025/26,28,Elche,Alvaro R.,Delantero,12.0,21,UY,50%,Sano,24,5,4,0,0,0,0.9,117,4.9,2,2,4
20350,2025/26,28,Elche,André Silva,Delantero,10.0,30,PT,70%,Sano,21,7,0,0,2,0,1.6,98,4.7,7,3,7
20347,2025/26,28,Mallorca,Antonio,Mediocampista,6.0,28,ES,30%,Sano,22,0,0,0,4,1,1,44,2,0,0,3
20349,2025/26,28,Betis,Antony,Delantero,28.0,26,BR,60%,Sano,22,7,5,0,3,1,1.5,159,7.2,2,8,2
20343,2025/26,28,Getafe,Arambarri,Mediocampista,17.0,30,UY,95%,Sano,27,5,2,0,4,0,1.9,150,5.6,5,11,4
20352,2025/26,28,Real Sociedad,Aramburu,Defensa,9.0,23,VE,90%,Sano,25,1,0,0,8,0,1.2,57,2.3,1,6,0
20344,2025/26,28,Barcelona,Araújo,Defensa,7.0,27,UY,50%,Sano,16,2,0,0,2,0,1.2,54,3.4,2,2,2
20346,2025/26,28,Athletic,Areso,Defensa,10.0,26,ES,40%,Sano,22,0,1,0,3,0,0.7,74,3.4,0,2,2
20352,2025/26,28,Real Sociedad,Aritz,Defensa,4.0,31,ES,20%,Sano,9,0,0,0,0,0,1,18,2,0,0,2
20346,2025/26,28,Girona,Arnau,Defensa,12.0,22,ES,90%,Sano,24,1,1,0,6,0,1.2,116,4.8,5,-1,2
