Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,DVVVV,70,28,23,1,4,77,28,+49
Real Madrid,VDDVV,66,28,21,3,4,60,24,+36
Atlético de Madrid,DVVVV,57,28,17,6,5,47,25,+22
Villarreal,VVDVE,55,28,17,4,7,51,33,+18
Real Betis,VEEDE,44,28,11,11,6,43,35,+8
Celta,EVVDE,41,28,10,11,7,38,31,+7
Real Sociedad,DEVDV,38,28,10,8,10,43,42,+1
Espanyol,EDEED,37,28,10,7,11,35,42,-7
Getafe,VDVVD,35,28,10,5,13,23,30,-7
Athletic,VVEDD,35,28,10,5,13,30,40,-10
Osasuna,EVDED,34,28,9,7,12,33,35,-2
Girona FC,VEDEV,34,28,8,10,10,31,43,-12
Rayo Vallecano,EEVEE,32,28,7,11,10,28,34,-6
Valencia,VDVVD,32,28,8,8,12,30,42,-12
Sevilla,EVEED,31,28,8,7,13,37,47,-10
Mallorca,DDDEV,28,28,7,7,14,33,45,-12
Deportivo Alavés,EEDDE,28,28,7,7,14,26,38,-12
Elche,EDEDD,26,28,5,11,12,36,45,-9
Levante,DDVEE,23,28,5,8,15,30,46,-16
Real Oviedo,EDDEV,21,28,4,9,15,18,44,-26
