ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20362,2025/26,29,Villarreal,1,Marcelino,20%,60%,83.8%
20362,2025/26,29,Real Sociedad,0,Matarazzo,60%,80%,83.3%
20356,2025/26,29,Elche,1,Éder Sarabia,20%,40%,81.5%
20356,2025/26,29,Mallorca,0,Demichelis,20%,80%,89.7%
20357,2025/26,29,Espanyol,1,Manolo González,20%,60%,87.1%
20357,2025/26,29,Getafe,0,Pepe Bordalás,20%,80%,93.4%
20358,2025/26,29,Levante,1,Luis Castro,20%,60%,87.8%
20358,2025/26,29,Real Oviedo,0,Almada,20%,80%,94.6%
20359,2025/26,29,Osasuna,1,Alessio Lisci,20%,60%,91.9%
20359,2025/26,29,Girona,0,Míchel,20%,80%,92.2%
20361,2025/26,29,Sevilla,1,Almeyda,20%,60%,86.7%
20361,2025/26,29,Valencia,0,Corberán,20%,60%,95.1%
20354,2025/26,29,Barcelona,1,Flick,60%,60%,87.3%
20354,2025/26,29,Rayo,0,Íñigo Pérez,80%,60%,88.7%
20355,2025/26,29,Celta,1,Giráldez,80%,40%,76.4%
20355,2025/26,29,Alavés,0,Quique,20%,60%,90.9%
20353,2025/26,29,Athletic,1,Valverde,20%,60%,86.6%
20353,2025/26,29,Betis,0,Manuel Pellegrini,60%,40%,88.2%
20360,2025/26,29,Real Madrid,1,Arbeloa,40%,60%,88.0%
20360,2025/26,29,Atlético,0,Simeone,60%,40%,87.4%
