Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20354,2025/26,29,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20360,2025/26,29,Real Madrid,Defensa,22.0,22,ES,50%,Lesionado/Duda,23,2,2,0,5,1,1,154,6.7,0,0,2
Aarón,Aarón,20358,2025/26,29,Real Oviedo,Portero,25.0,30,ES,95%,Sano,28,0,0,2,2,0,1.9,202,7.2,13,9,3
Abde,Ez Abde,20353,2025/26,29,Betis,Delantero,25.0,24,MA,70%,Sano,19,5,5,0,3,0,1.4,137,7.2,3,-1,10
Abdon,Abdón,20356,2025/26,29,Mallorca,Delantero,3.0,33,ES,0%,Lesionado/Duda,10,0,0,0,0,0,-1,15,1.5,0,0,2
Abel Ruiz,Abel Ruiz,20359,2025/26,29,Girona,Delantero,3.0,26,ES,20%,Sano,6,0,0,0,0,0,1,10,1.7,2,2,2
Adam Boayar,Adam B.,20356,2025/26,29,Elche,Mediocampista,4.0,20,MA,10%,Sano,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20361,2025/26,29,Sevilla,Delantero,11.0,26,NG,70%,Sano,23,7,3,0,1,0,1.6,107,4.7,1,9,2
Adrián,Adrián,20353,2025/26,29,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20356,2025/26,29,Elche,Defensa,10.0,25,AT,80%,Sano,26,0,0,0,6,1,1.3,103,4,-1,4,4
Agirrezabala,Agirrezabala,20361,2025/26,29,Valencia,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20361,2025/26,29,Sevilla,Mediocampista,10.0,24,FR,80%,Sano,25,1,2,0,9,0,1.3,98,3.9,0,3,4
Aguado,M. Aguado,20356,2025/26,29,Elche,Mediocampista,10.0,26,ES,50%,Sano,27,1,1,0,2,0,1.1,104,3.9,0,3,8
Ahijado,Lucas,20358,2025/26,29,Real Oviedo,Defensa,7.0,31,ES,0%,Lesionado/Duda,15,0,1,0,2,0,1,42,2.8,0,0,0
Aidoo,Aidoo Jr,20355,2025/26,29,Celta,Defensa,7.0,30,GH,40%,Sano,5,0,0,0,0,0,1.5,26,5.2,0,0,6
Aihen,Aihen,20362,2025/26,29,Real Sociedad,Defensa,5.0,28,ES,10%,Sano,16,0,0,0,1,0,-1,29,1.8,0,0,0
Aitor Mañas,Mañas,20355,2025/26,29,Alavés,Delantero,3.0,2026,N/A,0%,Sano,6,0,0,0,0,0,-1,9,1.5,0,0,0
Aitor,Aitor Fdez,20359,2025/26,29,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20354,2025/26,29,Rayo,Delantero,6.0,21,MA,70%,Lesionado/Duda,8,0,0,0,2,0,1.5,48,2.8,2,1,5
Alaba,Alaba,20360,2025/26,29,Real Madrid,Defensa,4.0,33,AT,10%,Lesionado/Duda,8,0,0,0,1,0,0,18,2.3,0,0,3
Alemão,Alemao,20354,2025/26,29,Rayo,Delantero,6.0,27,BR,30%,Sano,17,1,0,0,1,0,1.1,37,2.2,1,1,1
Alexander-Arnold,Trent,20360,2025/26,29,Real Madrid,Defensa,7.0,27,EN,50%,Sano,13,0,2,0,1,0,0.3,50,3.8,0,3,2
Alexis,Alexis Sánchez,20361,2025/26,29,Sevilla,Delantero,8.0,37,CL,50%,Sano,20,3,1,0,1,0,0.9,72,3.6,1,3,8
Aleñá,Aleñá,20355,2025/26,29,Alavés,Mediocampista,10.0,28,ES,60%,Sano,28,0,4,0,4,0,1,116,4.1,6,2,5
Alfon,Alfon,20362,2025/26,29,Villarreal,Delantero,5.0,26,ES,20%,Sano,3,0,0,0,0,0,1,35,2.7,0,1,1
Alhassane,A. Rahim,20358,2025/26,29,Real Oviedo,Defensa,9.0,24,NE,20%,Sano,19,0,0,0,1,0,-1,57,3,0,0,0
Almada,Almada,20360,2025/26,29,Atlético,Mediocampista,9.0,24,AR,30%,Sano,20,3,1,0,1,0,0.4,98,4.9,4,2,8
Almeida,Almeida,20361,2025/26,29,Valencia,Mediocampista,8.0,25,PT,50%,Sano,17,0,1,0,0,0,1.1,71,4.2,6,4,0
Altimira,Altimira,20353,2025/26,29,Betis,Mediocampista,8.0,24,ES,30%,Sano,19,1,1,0,2,0,0.8,67,3.5,2,3,2
Alvarez,Julián Alvarez,20360,2025/26,29,Atlético,Delantero,20.0,26,AR,70%,Sano,28,8,3,0,2,0,1.1,179,6.4,2,5,10
Alvaro R.,Álvaro,20356,2025/26,29,Elche,Delantero,12.0,21,UY,50%,Sano,24,5,4,0,0,0,1,117,4.9,0,2,2
André Silva,André Silva,20356,2025/26,29,Elche,Delantero,10.0,30,PT,50%,Lesionado/Duda,22,7,0,0,2,0,1.3,100,4.5,2,7,3
Antonio,Antonio Sánchez,20356,2025/26,29,Mallorca,Mediocampista,6.0,28,ES,40%,Sano,23,0,0,0,4,1,1,46,2,2,0,0
Antony,Antony,20353,2025/26,29,Betis,Delantero,23.0,26,BR,70%,Sano,23,7,5,0,4,1,1.3,160,7,1,2,8
Arambarri,Arambarri,20357,2025/26,29,Getafe,Mediocampista,15.0,30,UY,95%,Sano,28,5,2,0,4,0,1.7,151,5.4,1,5,11
Aramburu,Aramburu,20362,2025/26,29,Real Sociedad,Defensa,9.0,23,VE,90%,Sano,26,1,0,0,8,0,1.6,60,2.3,3,1,6
Araújo,R. Araujo,20354,2025/26,29,Barcelona,Defensa,7.0,27,UY,30%,Sano,17,2,0,0,2,0,1.1,55,3.2,1,2,2
Areso,Areso,20353,2025/26,29,Athletic,Defensa,9.0,26,ES,40%,Sano,23,0,1,0,3,0,0.8,74,3.2,0,0,2
Aritz,Aritz,20362,2025/26,29,Real Sociedad,Defensa,4.0,31,ES,30%,Sano,9,0,0,0,0,0,-1,18,2,0,0,0
Arnau,Arnau,20359,2025/26,29,Girona,Defensa,12.0,22,ES,90%,Sano,25,1,1,0,6,0,1.3,124,5,8,5,-1
Arriaga,Arriaga,20358,2025/26,29,Levante,Mediocampista,9.0,28,HN,30%,Sano,19,1,1,0,6,1,0.4,68,3.6,3,1,0
Artero,Andreev,20359,2025/26,29,Girona,Portero,1.0,23,ES,0%,Lesionado/Duda,N/A,N/A,N/A,N/A,N/A,N/A,-1,0,0,0,0,0
Asano,Asano,20356,2025/26,29,Mallorca,Delantero,5.0,31,JP,0%,Lesionado/Duda,15,1,0,0,2,0,-1,30,2,0,0,0
Asencio,Asencio,20360,2025/26,29,Real Madrid,Defensa,12.0,23,ES,30%,Lesionado/Duda,19,2,0,0,3,0,2,93,4.9,0,2,0
Aspas,Iago Aspas,20355,2025/26,29,Celta,Delantero,9.0,38,ES,70%,Sano,23,4,3,0,3,0,2,110,4.8,0,2,0
Ayoze,Ayoze,20362,2025/26,29,Villarreal,Delantero,8.0,32,ES,0%,Lesionado/Duda,18,2,3,0,3,0,1,66,3.7,0,0,1
Azpilicueta,Azpilicueta,20361,2025/26,29,Sevilla,Defensa,8.0,36,ES,60%,Sano,14,0,1,0,4,0,1.8,48,3.4,0,8,1
Baena,Álex Baena,20360,2025/26,29,Atlético,Mediocampista,10.0,24,ES,30%,Sano,19,2,2,0,3,0,0.8,105,5.5,5,0,7
Bailly,E. Bailly,20358,2025/26,29,Real Oviedo,Defensa,8.0,31,CI,70%,Sano,8,1,0,0,1,0,2,41,5.1,8,0,0
Bakambu,Bakambu,20353,2025/26,29,Betis,Delantero,6.0,34,CD,20%,Sano,14,3,0,0,0,0,0.7,46,3.3,2,1,1
Balde,Álex Balde,20354,2025/26,29,Barcelona,Defensa,11.0,22,ES,0%,Lesionado/Duda,21,0,2,0,2,0,1,98,4.7,0,0,5
Balliu,Balliu,20354,2025/26,29,Rayo,Defensa,4.0,34,AL,40%,Sano,11,0,0,0,2,0,1.1,16,1.5,4,0,2
Bardghji,Bardghji,20354,2025/26,29,Barcelona,Delantero,6.0,20,SE,30%,Sano,16,1,1,0,0,0,1.2,51,3.2,4,0,2
Barrenetxea,Barrenetxea,20362,2025/26,29,Real Sociedad,Mediocampista,12.0,24,ES,60%,Sano,22,3,3,0,2,0,1.1,115,5.2,5,3,2
Barrios,Barrios,20360,2025/26,29,Atlético,Mediocampista,17.0,22,ES,0%,Lesionado/Duda,21,1,1,0,0,0,-1,123,5.9,0,0,0
Bartra,Bartra,20353,2025/26,29,Betis,Defensa,16.0,35,ES,50%,Sano,22,1,0,0,3,0,0.8,125,5.7,6,5,0
Batalla,A. Batalla,20354,2025/26,29,Rayo,Portero,17.0,29,AR,95%,Sano,28,0,0,0,4,0,1.1,164,5.9,6,3,9
Bellerín,Bellerín,20353,2025/26,29,Betis,Defensa,10.0,31,ES,30%,Sano,17,1,2,0,1,0,2,80,4.7,12,0,0
Bellingham,Bellingham,20360,2025/26,29,Real Madrid,Mediocampista,26.0,22,EN,0%,Lesionado/Duda,18,4,3,0,1,0,-1,137,7.6,0,0,0
Beltrán,Fran Beltrán,20359,2025/26,29,Girona,Mediocampista,9.0,27,ES,70%,Sano,8,1,0,0,2,0,1.3,70,3.9,7,3,3
Beltrán,Lucas Beltrán,20361,2025/26,29,Valencia,Mediocampista,9.0,24,AR,50%,Sano,22,1,2,0,0,0,1,80,3.6,2,0,0
Benito,I. Benito,20359,2025/26,29,Osasuna,Delantero,5.0,23,ES,0%,Lesionado/Duda,5,1,0,0,1,0,-1,19,3.8,0,0,0
Berenguer,Berenguer,20353,2025/26,29,Athletic,Delantero,14.0,30,ES,70%,Sano,23,2,3,0,4,0,1.4,123,5.3,2,6,8
Bergstrom,Bergstrom,20356,2025/26,29,Mallorca,Portero,9.0,23,FI,0%,Lesionado/Duda,5,0,0,0,1,0,-1,36,7.2,0,0,0
Bernal,Marc Bernal,20354,2025/26,29,Barcelona,Mediocampista,6.0,18,ES,70%,Sano,15,2,1,0,4,0,2,56,3.7,6,4,4
