Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20408,2025/26,34,Barcelona,Defensa,5.0,30,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20405,2025/26,34,Real Madrid,Defensa,21.0,23,ES,60%,Sano,26,2,2,0,5,1,1,162,6.2,0,6,0
Aarón,Aarón,20409,2025/26,34,Real Oviedo,Portero,27.0,30,ES,95%,Sano,33,0,1,2,3,0,1.6,237,7.2,10,3,12
Abde,Ez Abde,20409,2025/26,34,Betis,Delantero,29.0,24,MA,90%,Sano,24,7,7,0,3,0,2.5,178,7.4,6,15,13
Abdon,Abdón,20407,2025/26,34,Mallorca,Delantero,3.0,33,ES,5%,Sano,12,0,0,0,0,0,1,17,1.4,1,0,1
Abed,Huseini,20412,2025/26,34,Levante,Defensa,1.0,21,IL,0%,Sano,5,0,0,0,0,0,-1,0,0,N/A,0,0
Abel Ruiz,Abel Ruiz,20407,2025/26,34,Girona,Delantero,4.0,26,ES,0%,Lesionado/Duda,9,0,0,0,0,0,-1,18,2,0,0,2
Abqar,A. abqar,20406,2025/26,34,Getafe,Defensa,8.0,27,MA,70%,Sano,19,0,2,0,8,1,1,67,3.5,2,5,8
Adam Boayar,Adam B.,20403,2025/26,34,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20410,2025/26,34,Sevilla,Delantero,10.0,26,NG,50%,Sano,28,8,3,0,2,0,0.9,122,4.4,2,1,9
Adrián,Adrián,20409,2025/26,34,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20403,2025/26,34,Elche,Defensa,10.0,25,AT,90%,Sano,31,1,1,0,6,1,2,142,4.6,6,17,9
Agirrezabala,Agirrezabala,20411,2025/26,34,Valencia,Portero,18.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20410,2025/26,34,Sevilla,Mediocampista,9.0,24,FR,70%,Sano,29,1,2,0,11,0,1.2,110,3.8,4,5,4
Aguado,M. Aguado,20403,2025/26,34,Elche,Mediocampista,9.0,26,ES,70%,Sano,30,1,2,0,2,0,2,123,4.1,10,0,0
Ahijado,Lucas,20409,2025/26,34,Real Oviedo,Defensa,7.0,31,ES,10%,Sano,15,0,1,0,2,0,-1,42,2.8,0,0,0
Aidoo,Aidoo Jr,20403,2025/26,34,Celta,Defensa,6.0,30,GH,30%,Sano,8,0,0,0,0,0,0,26,3.3,0,0,-1
Aihen,Aihen,20410,2025/26,34,Real Sociedad,Defensa,6.0,28,ES,10%,Sano,19,0,0,0,1,0,1,35,1.8,1,4,1
Aitor,Aitor Fdez,20408,2025/26,34,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20406,2025/26,34,Rayo,Delantero,7.0,22,MA,30%,Sano,11,0,1,0,2,0,1.4,62,3.1,4,8,2
Alaba,Alaba,20405,2025/26,34,Real Madrid,Defensa,4.0,33,AT,20%,Sano,9,0,0,0,1,0,0,19,2.1,1,0,0
Alemão,Alemao,20406,2025/26,34,Rayo,Delantero,7.0,28,BR,30%,Sano,21,2,0,0,2,0,1.5,52,2.5,6,5,1
Alexander-Arnold,Trent,20405,2025/26,34,Real Madrid,Defensa,8.0,27,EN,70%,Sano,17,0,4,0,2,0,1,73,4.3,0,10,0
Alexis,Alexis Sánchez,20410,2025/26,34,Sevilla,Delantero,8.0,37,CL,30%,Sano,23,3,1,0,1,0,1,77,3.3,0,2,2
Aleñá,Aleñá,20404,2025/26,34,Alavés,Mediocampista,9.0,28,ES,50%,Sano,33,0,4,0,4,0,1,128,3.9,5,3,2
Alfon,Alfon,20412,2025/26,34,Villarreal,Delantero,6.0,26,ES,40%,Sano,8,1,0,0,0,0,1.4,55,3.1,2,3,10
Alhassane,A. Rahim,20409,2025/26,34,Real Oviedo,Defensa,8.0,24,NE,20%,Sano,24,0,0,0,2,0,0.5,61,2.5,-2,2,0
Almada,Almada,20411,2025/26,34,Atlético,Mediocampista,9.0,25,AR,70%,Sano,23,3,1,0,1,1,0.2,99,4.3,0,-4,4
Almeida,Almeida,20411,2025/26,34,Valencia,Mediocampista,8.0,25,PT,30%,Sano,20,0,1,0,0,0,-1,82,4.1,1,0,0
Altimira,Altimira,20409,2025/26,34,Betis,Mediocampista,8.0,24,ES,10%,Sano,22,1,1,0,3,0,1,79,3.6,0,0,1
Alvarez,Julián Alvarez,20411,2025/26,34,Atlético,Delantero,22.0,26,AR,0%,Lesionado/Duda,29,8,4,0,2,0,-1,187,6.4,0,0,0
Alvaro R.,Álvaro,20403,2025/26,34,Elche,Delantero,10.0,21,UY,50%,Sano,29,5,5,0,1,0,1.4,131,4.5,8,1,2
André Silva,André Silva,20403,2025/26,34,Elche,Delantero,11.0,30,PT,70%,Sano,26,9,0,0,2,0,1.2,125,4.8,5,14,4
Antonio,Antonio Sánchez,20407,2025/26,34,Mallorca,Mediocampista,6.0,29,ES,30%,Sano,27,0,0,0,4,1,1.1,54,2,0,2,2
Antony,Antony,20409,2025/26,34,Betis,Delantero,21.0,26,BR,80%,Sano,27,7,5,0,5,1,1.2,169,6.3,5,0,0
Arambarri,Arambarri,20406,2025/26,34,Getafe,Mediocampista,16.0,30,UY,95%,Sano,32,6,2,0,6,0,1.5,174,5.4,1,6,0
Aramburu,Aramburu,20410,2025/26,34,Real Sociedad,Defensa,8.0,23,VE,90%,Sano,31,1,0,0,9,0,1.5,76,2.5,0,4,3
Araújo,R. Araujo,20408,2025/26,34,Barcelona,Defensa,8.0,27,UY,50%,Sano,21,3,0,0,2,0,1.2,79,3.8,3,0,5
Areso,Areso,20404,2025/26,34,Athletic,Defensa,9.0,26,ES,30%,Sano,24,0,1,0,3,0,-1,75,3.1,0,0,0
Aritz,Aritz,20410,2025/26,34,Real Sociedad,Defensa,5.0,32,ES,30%,Sano,13,0,0,0,0,0,1.2,26,2,0,3,1
Arnau,Arnau,20407,2025/26,34,Girona,Defensa,13.0,23,ES,90%,Sano,30,1,2,0,6,0,1.3,152,5.1,2,2,8
Arriaga,Arriaga,20412,2025/26,34,Levante,Mediocampista,9.0,28,HN,50%,Sano,23,1,2,0,6,1,1.3,84,3.7,2,9,3
Artero,Andreev,20407,2025/26,34,Girona,Portero,1.0,23,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Asano,Asano,20407,2025/26,34,Mallorca,Delantero,5.0,31,JP,30%,Sano,17,1,0,0,2,0,1,35,2.1,0,2,3
Asencio,Asencio,20405,2025/26,34,Real Madrid,Defensa,12.0,23,ES,20%,Sano,20,2,0,0,3,0,1,98,4.9,0,0,5
Aspas,Iago Aspas,20403,2025/26,34,Celta,Delantero,8.0,38,ES,10%,Sano,27,4,3,0,4,0,0.9,119,4.4,2,2,2
Ayoze,Ayoze,20412,2025/26,34,Villarreal,Delantero,7.0,32,ES,30%,Sano,20,2,3,0,3,0,1,69,3.5,1,2,0
Azpilicueta,Azpilicueta,20410,2025/26,34,Sevilla,Defensa,8.0,36,ES,40%,Lesionado/Duda,15,0,1,0,4,0,-1,51,3.4,0,0,0
Baena,Álex Baena,20411,2025/26,34,Atlético,Mediocampista,23.0,24,ES,70%,Sano,24,2,3,0,4,0,1.2,123,5.1,11,2,0
Bailly,E. Bailly,20409,2025/26,34,Real Oviedo,Defensa,9.0,32,CI,70%,Sano,12,1,0,0,3,0,2.2,63,5.3,0,5,14
Bakambu,Bakambu,20409,2025/26,34,Betis,Delantero,6.0,35,CD,30%,Sano,17,3,1,0,1,0,1.1,54,3.2,1,6,0
Balde,Álex Balde,20408,2025/26,34,Barcelona,Defensa,10.0,22,ES,40%,Sano,24,0,2,0,2,0,1,110,4.6,2,7,3
Balliu,Balliu,20406,2025/26,34,Rayo,Defensa,4.0,34,AL,50%,Sano,11,0,0,0,2,0,-1,16,1.5,0,0,0
Bardghji,Bardghji,20408,2025/26,34,Barcelona,Delantero,6.0,20,SE,60%,Sano,18,1,1,0,0,0,1.3,61,3.4,6,4,0
Barrenetxea,Barrenetxea,20410,2025/26,34,Real Sociedad,Mediocampista,15.0,24,ES,70%,Sano,27,3,5,0,3,0,1.3,143,5.3,8,5,6
Barrios,Barrios,20411,2025/26,34,Atlético,Mediocampista,16.0,22,ES,0%,Lesionado/Duda,23,1,1,0,0,0,1.3,128,5.6,3,2,0
Bartra,Bartra,20409,2025/26,34,Betis,Defensa,17.0,35,ES,0%,Lesionado/Duda,25,1,0,0,3,0,0.9,140,5.6,3,2,0
Batalla,A. Batalla,20406,2025/26,34,Rayo,Portero,19.0,30,AR,60%,Sano,30,0,0,0,5,0,-1,180,6,0,-1,0
Bellerín,Bellerín,20409,2025/26,34,Betis,Defensa,13.0,31,ES,70%,Sano,22,2,3,0,2,0,1.3,110,5,12,2,5
Bellingham,Bellingham,20405,2025/26,34,Real Madrid,Mediocampista,25.0,22,EN,80%,Sano,23,4,3,0,1,0,1.4,157,6.8,7,3,6
Beltrán,Fran Beltrán,20407,2025/26,34,Girona,Mediocampista,9.0,27,ES,50%,Sano,12,1,0,0,3,0,1,83,3.8,0,2,2
Beltrán,Lucas Beltrán,20411,2025/26,34,Valencia,Mediocampista,9.0,25,AR,0%,Lesionado/Duda,27,1,2,0,1,0,0.9,90,3.3,2,3,3
Benito,I. Benito,20408,2025/26,34,Osasuna,Delantero,5.0,23,ES,0%,Sano,5,1,0,0,1,0,-1,19,3.8,0,0,0
Berenguer,Berenguer,20404,2025/26,34,Athletic,Delantero,12.0,30,ES,50%,Sano,28,2,3,0,4,0,1,138,4.9,3,4,2
Bergstrom,Bergstrom,20407,2025/26,34,Mallorca,Portero,9.0,23,FI,0%,Lesionado/Duda,5,0,0,0,1,0,-1,36,7.2,0,0,0
Bernal,Marc Bernal,20408,2025/26,34,Barcelona,Mediocampista,6.0,18,ES,10%,Lesionado/Duda,17,2,1,0,4,0,-1,64,3.8,0,0,0
Bigas,R.P. Bigas,20403,2025/26,34,Elche,Defensa,10.0,35,ES,70%,Sano,24,1,2,0,5,1,2.5,107,4.5,13,1,0
Birmancevic,Birma,20406,2025/26,34,Getafe,Delantero,3.0,28,RS,30%,Sano,5,0,0,0,0,0,1,9,1.8,2,0,1
Blanco,Blanco,20404,2025/26,34,Alavés,Mediocampista,10.0,25,ES,95%,Sano,31,1,2,0,7,0,1.5,132,4.3,3,4,4
Blind,Daley Blind,20407,2025/26,34,Girona,Defensa,11.0,36,NL,80%,Sano,30,0,0,0,1,0,1.2,144,4.8,0,4,0
Boiro,Adama,20404,2025/26,34,Athletic,Defensa,5.0,23,ES,10%,Sano,11,0,0,0,1,0,1,22,2,2,2,0
Borbas,T. Borbas,20409,2025/26,34,Real Oviedo,Delantero,3.0,24,UY,10%,Sano,8,0,0,0,1,0,1,10,1.3,1,0,1
Boselli,Boselli,20406,2025/26,34,Getafe,Defensa,5.0,22,UY,60%,Sano,10,0,0,0,2,0,1.2,29,2.9,2,4,2
Boyomo,Boyomo,20408,2025/26,34,Osasuna,Defensa,10.0,24,CM,95%,Sano,25,1,1,0,5,0,1,108,4.3,6,5,0
Boyé,Lucas Boyé,20404,2025/26,34,Alavés,Delantero,16.0,30,AR,0%,Lesionado/Duda,27,11,1,0,4,1,1.4,148,5.5,1,0,8
Boñar,J. Boñar,20411,2025/26,34,Atlético,Defensa,6.0,20,ES,70%,Sano,2,1,0,0,0,0,2.2,9,4.5,0,0,9
Brahim,Brahim,20405,2025/26,34,Real Madrid,Mediocampista,8.0,26,MA,60%,Sano,25,0,5,0,1,0,0.9,107,4.3,5,2,11
Brais,Brais Méndez,20410,2025/26,34,Real Sociedad,Mediocampista,11.0,29,ES,30%,Sano,28,6,2,0,5,1,1,133,4.8,0,2,0
Bretones,Abel Bretones,20408,2025/26,34,Osasuna,Defensa,8.0,25,ES,10%,Sano,24,1,0,0,5,1,-1,68,2.8,1,0,0
Brugui,R. Brugué,20412,2025/26,34,Levante,Delantero,7.0,29,ES,0%,Sano,15,0,1,0,1,0,-1,42,2.8,0,0,0
Bryan Gil,Bryan Gil,20407,2025/26,34,Girona,Delantero,9.0,25,ES,50%,Sano,25,0,3,0,4,0,1,99,4,3,0,2
Buchanan,Buchanan,20412,2025/26,34,Villarreal,Mediocampista,10.0,27,CA,30%,Lesionado/Duda,30,6,1,0,8,0,1.2,134,4.5,0,2,5
Budimir,Budimir,20408,2025/26,34,Osasuna,Delantero,19.0,34,HR,95%,Sano,32,16,0,0,3,0,1.3,190,5.9,1,2,9
C. Álvarez,C. Alvarez,20412,2025/26,34,Levante,Mediocampista,9.0,22,ES,50%,Sano,29,3,1,0,3,0,1.4,111,3.8,2,2,3
Cabanes,Cabanes,20412,2025/26,34,Villarreal,Delantero,1.0,21,ES,0%,Lesionado/Duda,0,0,0,0,0,0,-1,0,0,0,0,0
Cabrera,Cabrera,20405,2025/26,34,Espanyol,Defensa,10.0,34,UY,95%,Sano,32,3,0,0,3,0,1.2,144,4.5,8,2,1
