Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,85,33,28,1,4,87,30,+57
Real Madrid,VDEVE,74,33,23,5,5,68,31,+37
Villarreal,VDVEV,65,33,20,5,8,59,38,+21
Atlético de Madrid,DDDDV,60,33,18,6,9,56,37,+19
Real Betis,DEEVE,50,33,12,14,7,49,41,+8
Getafe,VVDVD,44,33,13,5,15,28,34,-6
Celta,DVDDD,44,33,11,11,11,45,43,+2
Real Sociedad,DVEDE,43,33,11,10,12,52,52,0
Osasuna,VEEDV,42,33,11,9,13,39,40,-1
Athletic,VDDVD,41,33,12,5,16,36,48,-12
Rayo Vallecano,DVDVE,39,33,9,12,12,33,41,-8
Valencia,VDDEV,39,33,10,9,14,37,48,-11
Espanyol,DEDDE,39,33,10,9,14,37,49,-12
Elche,VDVVV,38,33,9,11,13,44,50,-6
Girona FC,DVEDD,38,33,9,11,13,36,50,-14
Deportivo Alavés,VEEDV,36,33,9,9,15,38,49,-11
Mallorca,DVVED,35,33,9,8,16,41,51,-10
Sevilla,DDVDD,34,33,9,7,17,40,55,-15
Levante,VDVVE,33,33,8,9,16,37,50,-13
Real Oviedo,DVVED,28,33,6,10,17,26,51,-25
