ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20407,2025/26,34,Girona,1,Míchel,20%,60%,92.5%
20407,2025/26,34,Mallorca,0,Demichelis,20%,80%,89.3%
20412,2025/26,34,Villarreal,1,Marcelino,40%,40%,84.5%
20412,2025/26,34,Levante,0,Luis Castro,20%,60%,84.7%
20411,2025/26,34,Valencia,1,Corberán,20%,60%,94.8%
20411,2025/26,34,Atlético,0,Simeone,100%,40%,86.4%
20404,2025/26,34,Alavés,1,Quique,20%,80%,90.3%
20404,2025/26,34,Athletic,0,Valverde,20%,60%,87.0%
20408,2025/26,34,Osasuna,1,Alessio Lisci,20%,80%,92.6%
20408,2025/26,34,Barcelona,0,Flick,20%,60%,87.5%
20403,2025/26,34,Celta,1,Giráldez,40%,40%,76.4%
20403,2025/26,34,Elche,0,Éder Sarabia,20%,60%,82.7%
20406,2025/26,34,Getafe,1,Pepe Bordalás,20%,80%,92.2%
20406,2025/26,34,Rayo,0,Íñigo Pérez,100%,40%,86.8%
20409,2025/26,34,Betis,1,Manuel Pellegrini,40%,60%,87.9%
20409,2025/26,34,Real Oviedo,0,Almada,20%,80%,93.1%
20405,2025/26,34,Espanyol,1,Manolo González,20%,60%,84.6%
20405,2025/26,34,Real Madrid,0,Arbeloa,20%,60%,87.7%
20410,2025/26,34,Sevilla,1,Luis García,20%,40%,83.2%
20410,2025/26,34,Real Sociedad,0,Matarazzo,20%,60%,84.8%
