Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,19,Getafe,David Soria,G,5,3,7.7,90,0,0,0,0,0,0,9,1,6,0,0,0,0,0,0,0,0,17
23-24,19,Getafe,Diego Rico,D,-1,1,6.4,90,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,29
23-24,19,Getafe,Djené,D,-2,0,6.4,77,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,9
23-24,19,Getafe,Gastón Álvarez,D,0,0,6.1,69,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,19,Getafe,Nemanja Maksimović,M,2,1,6.6,90,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8
23-24,19,Getafe,Luis Milla,M,4,2,6.8,69,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,11
23-24,19,Getafe,Borja Mayoral,F,3,2,6.8,90,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,6
23-24,19,Getafe,Jaime Mata,M,0,1,6.6,57,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
23-24,19,Getafe,Mason Greenwood,M,-2,1,5.6,50,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,12
23-24,19,Getafe,Juanmi Latasa,F,-1,0,5.3,40,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
23-24,19,Getafe,Stefan Mitrović,D,2,1,6.6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23-24,19,Getafe,Damián Suárez,D,0,0,6.4,70,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,15
23-24,19,Getafe,Omar Alderete,D,0,0,6.3,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
23-24,19,Getafe,José Ángel Carmona,D,2,1,6.5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23-24,19,Getafe,Carles Aleñá,M,2,1,6.5,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
23-24,19,Getafe,Enes Ünal,F,2,1,6.5,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
23-24,19,Rayo Vallecano,Stole Dimitrievski,G,8,2,6.5,90,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15
23-24,19,Rayo Vallecano,Florian Lejeune,D,8,3,6.9,90,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
23-24,19,Rayo Vallecano,Aridane Hernández,D,9,2,7.2,90,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,5
23-24,19,Rayo Vallecano,Alfonso Espino,D,1,1,6.6,45,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,19,Rayo Vallecano,Iván Balliu,D,8,2,6.6,90,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,13
23-24,19,Rayo Vallecano,Unai López,M,4,2,7.1,57,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
23-24,19,Rayo Vallecano,Jorge de Frutos,M,4,0,6.3,86,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,10
23-24,19,Rayo Vallecano,Óscar Valentín,M,8,3,7.4,90,0,0,1,0,1,0,7,1,0,0,0,0,0,0,0,0,0,9
23-24,19,Rayo Vallecano,Isi Palazón,M,6,3,7.0,90,0,0,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,15
23-24,19,Rayo Vallecano,Kike Pérez,F,1,1,6.5,45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
23-24,19,Rayo Vallecano,Sergio Camello,F,17,4,8.8,74,2,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,6
23-24,19,Rayo Vallecano,Josep Chavarría,D,3,2,6.8,45,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4
23-24,19,Rayo Vallecano,Pathé Ismaël Ciss,M,1,1,6.8,33,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5
23-24,19,Rayo Vallecano,Radamel Falcao,F,4,2,6.9,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23-24,19,Rayo Vallecano,Bebé,F,2,1,6.6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
