Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,22,Almería,Luís Maximiano,G,0,0,6.0,90,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,2
23-24,22,Almería,Sergio Akieme,D,-1,0,6.5,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11
23-24,22,Almería,Chumi,D,1,0,6.7,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5
23-24,22,Almería,Edgar González,M,-2,0,6.7,56,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,9
23-24,22,Almería,Marc Pubill,D,1,1,6.5,90,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,21
23-24,22,Almería,César Montes,D,1,1,6.7,90,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,13
23-24,22,Almería,Adrián Embarba,M,2,1,6.8,75,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15
23-24,22,Almería,Sergio Arribas,M,6,2,7.5,79,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,12
23-24,22,Almería,Lucas Robertone,M,2,1,6.9,90,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,15
23-24,22,Almería,Dion Lopy,M,5,2,6.9,90,0,0,1,2,0,0,4,2,0,0,0,0,0,0,0,0,0,14
23-24,22,Almería,Léo Baptistão,F,0,0,6.6,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
23-24,22,Almería,Álex Centelles,D,3,1,6.7,34,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
23-24,22,Almería,Marko Milovanović,F,0,0,6.7,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
