Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,7,Sevilla,Ørjan Nyland,G,1,1,6.2,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,16
23-24,7,Sevilla,Jesús Navas,D,0,1,6.4,75,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,11
23-24,7,Sevilla,Adrià Pedrosa,D,8,2,7.3,84,0,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,12
23-24,7,Sevilla,Nemanja Gudelj,D,6,2,6.7,90,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5
23-24,7,Sevilla,Loïc Badé,D,7,3,7.5,90,0,0,1,0,0,0,3,6,0,0,0,0,0,0,0,0,0,13
23-24,7,Sevilla,Suso,M,12,3,8.4,90,1,0,4,4,1,0,5,0,0,0,0,0,0,0,0,0,0,13
23-24,7,Sevilla,Fernando,M,5,2,7.0,90,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,7
23-24,7,Sevilla,Djibril Sow,M,10,2,7.2,65,0,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,4
23-24,7,Sevilla,Erik Lamela,M,10,3,8.2,90,1,0,5,1,1,0,7,1,0,0,0,0,0,0,0,0,0,13
23-24,7,Sevilla,Youssef En-Nesyri,F,8,1,7.0,84,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7
23-24,7,Sevilla,Dodi Lukebakio,M,13,3,7.8,65,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9
23-24,7,Sevilla,Juanlu Sánchez,M,6,2,7.0,15,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2
23-24,7,Sevilla,Kike Salas,D,8,1,7.3,12,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2
23-24,7,Sevilla,Adnan Januzaj,M,2,1,6.5,25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
23-24,7,Sevilla,Boubakary Soumaré,M,2,1,6.6,25,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6
23-24,7,Sevilla,Rafa Mir,F,2,1,6.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-24,7,Almería,Luís Maximiano,G,4,3,6.6,90,0,0,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,5
23-24,7,Almería,Álex Centelles,D,2,2,6.3,90,0,0,2,4,0,0,4,3,0,0,0,0,0,0,0,0,0,21
23-24,7,Almería,Edgar González,D,1,2,6.6,90,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,7
23-24,7,Almería,Gonzalo Melero,F,1,1,6.5,90,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8
23-24,7,Almería,Iddrisu Baba,M,1,1,6.5,90,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,8
23-24,7,Almería,Sergio Arribas,M,-1,0,6.4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
23-24,7,Almería,Dion Lopy,M,3,2,6.6,64,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,9
23-24,7,Almería,César Montes,D,4,1,6.1,64,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,8
23-24,7,Almería,Ibrahima Kone,F,2,1,6.6,64,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5
23-24,7,Almería,Alejandro Pozo,D,0,0,5.9,81,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13
23-24,7,Almería,Houboulang Mendes,D,2,1,6.3,9,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
23-24,7,Almería,Kaiky,D,1,1,6.7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
23-24,7,Almería,Arnau Puigmal,M,3,1,6.7,26,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4
23-24,7,Almería,Léo Baptistão,F,1,0,6.4,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23-24,7,Almería,Largie Ramazani,F,5,1,6.9,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11
23-24,7,Mallorca,Predrag Rajković,G,2,2,6.2,90,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,22
23-24,7,Mallorca,Pablo Maffeo,D,-1,1,6.8,35,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
23-24,7,Mallorca,Matija Nastasić,D,0,0,6.5,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4
23-24,7,Mallorca,Martin Valjent,D,1,1,6.4,90,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10
