Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,28,Barcelona,Mallorca,1,Ter Stegen,Marc-André Ter Stegen,G,12,3,7.5,90,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,6
23-24,28,Barcelona,Mallorca,1,Íñigo,Iñigo Martínez,D,7,2,7.2,90,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,3
23-24,28,Barcelona,Mallorca,1,Cancelo,João Cancelo,D,11,3,7.5,90,0,0,2,2,0,0,4,4,0,0,0,0,0,0,0,0,0,19
23-24,28,Barcelona,Mallorca,1,A. Christensen,Andreas Christensen,M,7,1,6.9,90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
23-24,28,Barcelona,Mallorca,1,Koundé,Jules Koundé,D,9,3,7.4,90,0,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,17
23-24,28,Barcelona,Mallorca,1,Cubarsí,Pau Cubarsí,D,9,3,7.5,90,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0,0,7
23-24,28,Barcelona,Mallorca,1,Gündogan,İlkay Gündoğan,M,8,3,7.3,87,0,0,3,0,3,0,6,1,0,0,0,0,0,1,0,0,0,17
23-24,28,Barcelona,Mallorca,1,Raphinha,Raphinha,M,4,1,7.3,37,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6
23-24,28,Barcelona,Mallorca,1,João Félix,João Félix,F,5,2,6.7,62,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
23-24,28,Barcelona,Mallorca,1,Yamal,Lamine Yamal,F,11,4,7.6,90,1,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,20
23-24,28,Barcelona,Mallorca,1,Marc Guiu,Marc Guiu,F,5,1,6.8,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23-24,28,Barcelona,Mallorca,1,Romeu,Oriol Romeu,M,2,1,6.8,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
23-24,28,Barcelona,Mallorca,1,Fermín,Fermín López,M,3,2,6.9,53,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,11
23-24,28,Barcelona,Mallorca,1,Lewandowski,Robert Lewandowski,F,8,3,7.1,29,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8
23-24,28,Barcelona,Mallorca,1,Vitor Roque,Vitor Roque,F,3,1,6.6,28,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2
23-24,28,Mallorca,Barcelona,0,Rajkovic,Predrag Rajković,G,15,4,8.3,90,0,0,1,0,0,0,11,1,6,0,0,0,1,0,0,0,0,12
23-24,28,Mallorca,Barcelona,0,Raíllo,Antonio Raíllo,D,4,1,7.6,90,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,5
23-24,28,Mallorca,Barcelona,0,Lato,Toni Lato,D,8,3,7.4,71,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,9
23-24,28,Mallorca,Barcelona,0,Nastasic,Matija Nastasić,D,5,1,7.2,90,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5
23-24,28,Mallorca,Barcelona,0,Copete,José Copete,D,4,1,7.2,82,0,0,0,0,0,0,9,2,0,0,0,1,0,0,0,0,0,6
23-24,28,Mallorca,Barcelona,0,Giovanni,Giovanni González,D,2,0,6.3,90,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,14
23-24,28,Mallorca,Barcelona,0,Darder,Sergi Darder,M,9,2,7.4,71,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,12
23-24,28,Mallorca,Barcelona,0,Morlanes,Manu Morlanes,M,5,1,7.3,61,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,9
23-24,28,Mallorca,Barcelona,0,Samú,Samú Costa,M,2,0,7.0,90,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6
23-24,28,Mallorca,Barcelona,0,Larin,Cyle Larin,F,3,2,7.0,82,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,12
23-24,28,Mallorca,Barcelona,0,Muriqi,Vedat Muriqi,F,6,1,7.4,90,0,0,1,0,1,0,5,3,0,0,0,0,0,0,0,0,0,11
23-24,28,Mallorca,Barcelona,0,Costa,Jaume Costa,D,0,0,6.3,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
23-24,28,Mallorca,Barcelona,0,Radonjic,Nemanja Radonjić,M,2,1,6.8,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
