Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
23-24,34,Getafe,David Soria,G,0,0,6.3,90,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,9
23-24,34,Getafe,Diego Rico,D,1,1,6.6,74,0,0,1,2,0,0,8,3,0,0,0,0,0,0,0,0,0,24
23-24,34,Getafe,Djené,D,0,1,6.9,90,0,0,0,1,0,0,8,2,0,0,0,0,0,0,0,0,0,16
23-24,34,Getafe,Omar Alderete,D,2,1,6.7,90,0,0,1,0,2,0,3,2,0,0,0,0,0,0,0,0,0,12
23-24,34,Getafe,José Ángel Carmona,D,4,2,7.6,90,0,0,2,2,1,0,7,2,0,0,0,0,0,0,0,0,0,10
23-24,34,Getafe,Nemanja Maksimović,M,1,0,6.5,89,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5
23-24,34,Getafe,Óscar Rodríguez,M,2,2,7.5,90,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,15
23-24,34,Getafe,Luis Milla,M,6,3,8.3,90,0,0,3,2,0,0,9,0,0,0,0,0,0,0,0,0,0,18
23-24,34,Getafe,Ilaix Moriba,M,-1,0,6.5,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
23-24,34,Getafe,Jaime Mata,F,2,1,6.9,89,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7
23-24,34,Getafe,Mason Greenwood,M,8,4,7.9,90,0,0,6,3,3,0,4,1,0,0,0,0,0,1,0,0,0,19
23-24,34,Getafe,Fabrizio Angileri,D,6,2,7.5,16,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3
23-24,34,Getafe,Carles Aleñá,M,2,1,6.7,10,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
23-24,34,Getafe,Jeremy Jorge,F,0,0,6.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-24,34,Getafe,Juanmi Latasa,F,2,1,6.7,31,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8
23-24,34,Athletic Club,Unai Simón,G,18,4,9.6,90,0,0,1,0,0,0,14,2,9,0,0,0,1,0,0,0,0,30
23-24,34,Athletic Club,Óscar de Marcos,D,7,1,6.8,90,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,5
23-24,34,Athletic Club,Yeray Álvarez,D,-1,1,5.7,58,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,11
23-24,34,Athletic Club,Íñigo Lekue,D,9,2,6.8,90,0,0,1,1,0,0,8,3,0,0,0,0,0,0,0,0,0,14
23-24,34,Athletic Club,Aitor Paredes,D,7,2,6.5,79,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,5
23-24,34,Athletic Club,Ander Herrera,M,7,2,7.2,76,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,8
23-24,34,Athletic Club,Álex Berenguer,M,4,1,5.8,62,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
23-24,34,Athletic Club,Beñat Prados,M,5,1,7.2,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,12
23-24,34,Athletic Club,Nico Williams,M,15,4,7.7,82,0,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16
23-24,34,Athletic Club,Unai Gómez,M,6,1,6.7,76,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,6
23-24,34,Athletic Club,Iñaki Williams,F,16,4,8.9,82,2,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,6
23-24,34,Athletic Club,Imanol García de Albéniz,D,3,1,6.4,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
23-24,34,Athletic Club,Dani García,M,3,1,6.7,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1
23-24,34,Athletic Club,Mikel Vesga,M,3,1,6.8,28,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1
23-24,34,Athletic Club,Mikel Jauregizar,M,0,0,6.1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
23-24,34,Athletic Club,Raúl García,M,-1,0,5.1,8,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4
23-24,34,Real Sociedad,Álex Remiro,G,8,3,7.2,90,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,8
23-24,34,Real Sociedad,Álvaro Odriozola,D,7,2,6.8,79,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
23-24,34,Real Sociedad,Robin Le Normand,D,9,2,7.0,90,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,8
23-24,34,Real Sociedad,Javi Galán,D,5,2,6.8,79,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
23-24,34,Real Sociedad,Jon Pacheco,D,10,3,7.3,90,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,5
23-24,34,Real Sociedad,Mikel Merino,M,7,3,7.3,90,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,14
23-24,34,Real Sociedad,Brais Méndez,M,11,4,7.3,71,0,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,11
23-24,34,Real Sociedad,Beñat Turrientes,M,6,2,7.2,90,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,7
23-24,34,Real Sociedad,André Silva,F,4,1,6.6,71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
23-24,34,Real Sociedad,Mikel Oyarzabal,M,4,1,6.5,90,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,7
23-24,34,Real Sociedad,Sheraldo Becker,M,12,3,7.4,89,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15
23-24,34,Real Sociedad,Aritz Elustondo,D,2,1,6.7,11,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1
23-24,34,Real Sociedad,Jon Aramburu,D,0,0,6.4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
23-24,34,Real Sociedad,Ander Barrenetxea,F,2,1,6.7,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
23-24,34,Real Sociedad,Takefusa Kubo,M,2,1,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
23-24,34,Real Sociedad,Arsen Zakharyan,M,2,1,6.7,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
23-24,34,Las Palmas,Álvaro Valles,G,3,2,6.5,90,0,0,0,0,0,0,9,1,3,0,0,0,0,0,0,0,0,12
23-24,34,Las Palmas,Daley Sinkgraven,D,0,1,6.7,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,34,Las Palmas,Alex Suárez,D,-3,0,6.1,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12
23-24,34,Las Palmas,Mika Mármol,D,1,1,6.5,71,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,8
23-24,34,Las Palmas,Saúl Coco,D,2,1,6.8,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,6
23-24,34,Las Palmas,Benito Ramírez,M,1,0,6.7,75,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,34,Las Palmas,Kirian Rodríguez,M,1,1,6.4,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
23-24,34,Las Palmas,Marvin Park,M,0,0,6.3,90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
23-24,34,Las Palmas,Alberto Moleiro,F,2,1,6.8,90,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
23-24,34,Las Palmas,Máximo Perrone,M,0,0,6.6,58,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,5
23-24,34,Las Palmas,Munir El Haddadi,F,0,0,6.7,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
23-24,34,Las Palmas,Sergi Cardona,D,1,1,6.8,32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
23-24,34,Las Palmas,Julián Araujo,D,3,2,6.8,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3
23-24,34,Las Palmas,Javier Muñoz,M,2,1,6.6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
23-24,34,Las Palmas,Fabio González,M,3,2,6.9,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
23-24,34,Las Palmas,Sandro Ramírez,F,2,1,6.6,32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
23-24,34,Real Madrid,Thibaut Courtois,G,11,3,7.2,90,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,3
