Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,76,30,25,1,4,80,29,+51
Real Madrid,DVVVD,69,30,22,3,5,64,28,+36
Villarreal,DVEVD,58,30,18,4,8,54,35,+19
Atlético de Madrid,VVVDD,57,30,17,6,7,50,30,+20
Real Betis,EDEDE,45,30,11,12,7,44,37,+7
Celta,VDEDV,44,30,11,11,8,44,37,+7
Real Sociedad,VDVDV,41,30,11,8,11,46,45,+1
Getafe,VVDVV,41,30,12,5,13,27,31,-4
Osasuna,DEDVE,38,30,10,8,12,36,37,-1
Espanyol,EEDDE,38,30,10,8,12,36,44,-8
Athletic,EDDVD,38,30,11,5,14,32,43,-11
Girona FC,DEVDV,37,30,9,10,11,32,44,-12
Rayo Vallecano,VEEDV,35,30,8,11,11,29,35,-6
Valencia,VVDVD,35,30,9,8,13,34,45,-11
Deportivo Alavés,DDEVE,32,30,8,8,14,32,43,-11
Mallorca,DEVDV,31,30,8,7,15,36,48,-12
Sevilla,EEDDD,31,30,8,7,15,37,50,-13
Elche,EDDVD,29,30,6,11,13,38,47,-9
Levante,VEEVD,26,30,6,8,16,34,50,-16
Real Oviedo,DEVDV,24,30,5,9,16,21,48,-27
