Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20374,2025/26,31,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20380,2025/26,31,Real Madrid,Defensa,21.0,23,ES,30%,Sano,25,2,2,0,5,1,0.5,156,6.2,1,1,0
Aarón,Aarón,20375,2025/26,31,Real Oviedo,Portero,27.0,30,ES,95%,Sano,30,0,0,2,2,0,1.3,212,7.1,10,0,13
Abde,Ez Abde,20379,2025/26,31,Betis,Delantero,25.0,24,MA,70%,Sano,21,5,5,0,3,0,1.2,144,6.9,2,5,3
Abdon,Abdón,20378,2025/26,31,Mallorca,Delantero,3.0,33,ES,15%,Sano,10,0,0,0,0,0,-1,15,1.5,0,0,0
Abel Ruiz,Abel Ruiz,20380,2025/26,31,Girona,Delantero,4.0,26,ES,70%,Sano,8,0,0,0,0,0,1.2,16,2,4,2,2
Abqar,A. abqar,20377,2025/26,31,Getafe,Defensa,8.0,27,MA,60%,Sano,16,0,2,0,7,1,0.5,52,3.3,0,0,-3
Adam Boayar,Adam B.,20376,2025/26,31,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20382,2025/26,31,Sevilla,Delantero,10.0,26,NG,70%,Sano,25,7,3,0,1,0,1,110,4.4,2,1,1
Adrián,Adrián,20379,2025/26,31,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20376,2025/26,31,Elche,Defensa,10.0,25,AT,80%,Sano,28,0,0,0,6,1,1.4,110,3.9,4,3,-1
Agirrezabala,Agirrezabala,20376,2025/26,31,Valencia,Portero,18.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
