ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20380,2025/26,31,Real Madrid,1,Arbeloa,20%,60%,87.4%
20380,2025/26,31,Girona,0,Míchel,40%,60%,92.5%
20381,2025/26,31,Real Sociedad,1,Matarazzo,20%,60%,84.8%
20381,2025/26,31,Alavés,0,Quique,20%,60%,92.3%
20376,2025/26,31,Elche,1,Éder Sarabia,20%,40%,79.1%
20376,2025/26,31,Valencia,0,Corberán,20%,60%,95.2%
20374,2025/26,31,Barcelona,1,Flick,80%,40%,87.1%
20374,2025/26,31,Espanyol,0,Manolo González,20%,60%,87.0%
20382,2025/26,31,Sevilla,1,Luis García,20%,40%,93.6%
20382,2025/26,31,Atlético,0,Simeone,80%,40%,86.6%
20379,2025/26,31,Osasuna,1,Alessio Lisci,20%,80%,91.8%
20379,2025/26,31,Betis,0,Manuel Pellegrini,60%,40%,87.6%
20378,2025/26,31,Mallorca,1,Demichelis,20%,80%,86.5%
20378,2025/26,31,Rayo,0,Íñigo Pérez,80%,40%,84.9%
20375,2025/26,31,Celta,1,Giráldez,100%,40%,76.8%
20375,2025/26,31,Real Oviedo,0,Almada,20%,60%,94.5%
20373,2025/26,31,Athletic,1,Valverde,20%,60%,86.3%
20373,2025/26,31,Villarreal,0,Marcelino,20%,60%,84.6%
20377,2025/26,31,Levante,1,Luis Castro,20%,60%,88.4%
20377,2025/26,31,Getafe,0,Pepe Bordalás,20%,80%,93.1%
