Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,36,20423,Celta,Levante UD,1,Radu,Ionut Radu,Ionuț Radu,Portero,28,RO,22.0,95%,Sano,1.6,35,227,6.5,11.0,4,4.0,0,0,2,1,0,90,5.4,0,0,0,0,0,0,9,8,1,3,0,0,0,0,0,0,0,0,2,1
2025/26,36,20423,Celta,Levante UD,1,M. Alonso,Marcos Alonso,Marcos Alonso,Defensa,35,ES,18.0,70%,Sano,1.5,29,173,6.0,8.0,0,2.0,1,0,0,5,0,90,6.8,0,0,0,0,0,1,4,15,4,0,0,0,0,0,0,0,0,0,2,2
2025/26,36,20423,Celta,Levante UD,1,Carreira,Carreira,Sergio Carreira,Defensa,25,ES,9.0,70%,Sano,1.3,31,116,3.7,2.0,3,0.0,2,1,0,2,0,90,6.5,0,0,2,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,1,1
2025/26,36,20423,Celta,Levante UD,1,Javi Rodríguez,Javi Rodriguez,Javi Rodríguez,Defensa,22,ES,9.0,70%,Sano,1.4,30,118,3.9,8.0,5,2.0,0,1,0,5,0,90,6.2,0,0,1,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,1
2025/26,36,20423,Celta,Levante UD,1,Rueda,Javi Rueda,Javier Rueda,Defensa,24,ES,9.0,50%,Lesionado/Duda,1.5,23,117,5.1,0.0,9,0.0,2,5,0,5,0,66,6.5,0,1,1,0,0,1,3,7,2,0,0,0,0,0,0,0,0,0,7,2
2025/26,36,20423,Celta,Levante UD,1,Lago,Yoel Lago,Yoel Lago,Defensa,22,ES,6.0,60%,Sano,1.4,9,25,2.8,10.0,3,1.0,0,0,0,4,0,90,6.8,0,0,1,0,0,0,2,6,11,0,0,0,0,0,0,0,0,0,4,1
2025/26,36,20423,Celta,Levante UD,1,Sotelo,Hugo Sotelo,Hugo Sotelo,Mediocampista,22,ES,9.0,70%,Sano,1.0,19,83,4.4,0.0,0,3.0,0,2,0,3,0,76,6.4,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,1,0
2025/26,36,20423,Celta,Levante UD,1,Hugo Álvarez,Hugo Alvarez,Hugo Álvarez,Mediocampista,22,ES,8.0,70%,Sano,1.5,25,100,4.0,2.0,12,3.0,4,1,0,2,0,66,6.7,0,1,1,2,0,0,1,11,2,0,0,0,0,0,0,0,0,0,8,3
2025/26,36,20423,Celta,Levante UD,1,Fer López,Fer López,Fer López,Mediocampista,21,ES,7.0,50%,Sano,1.3,14,48,3.4,3.0,5,1.0,1,0,0,3,0,90,6.7,0,0,0,1,0,0,3,5,1,0,0,0,0,0,0,0,0,0,2,1
2025/26,36,20423,Celta,Levante UD,1,Aspas,Iago Aspas,Iago Aspas,Delantero,38,ES,8.0,50%,Sano,1.3,29,131,4.5,2.0,10,2.0,5,3,0,4,0,66,6.3,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,4,2
2025/26,36,20423,Celta,Levante UD,1,Jutglà,Ferran Jutglà,Ferran Jutglà,Delantero,27,ES,9.0,70%,Sano,1.3,27,124,4.6,3.0,8,1.0,7,3,0,4,0,76,8.5,2,0,0,2,0,0,3,6,2,0,0,0,0,0,0,0,0,0,13,3
2025/26,36,20423,Celta,Levante UD,1,Mingueza,O. Mingueza,Óscar Mingueza,Defensa,26,ES,9.0,50%,Sano,1.2,31,125,4.0,10.0,1,6.0,1,4,0,4,0,14,7.3,0,0,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,5,3
