Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,29,20362,Villarreal,Real Sociedad,1,Oluwaseyi,Oluwaseyi,Tani Oluwaseyi,Delantero,25,CA,6.0,30%,Sano,0.8,22.0,60,2.7,1,0,2,2.0,1.0,0.0,1.0,0.0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Remiro,Remiro,Álex Remiro,Portero,30,ES,12.0,95%,Sano,1.5,28.0,138,4.9,5,3,9,0.0,0.0,0.0,0.0,0.0,90,7.8,0,0,0,0,0,0,6,1,2,7,0,0,0,0,0,0,0,0,7,3
2025/26,29,20362,Real Sociedad,Villarreal,0,Zubeldia,Zubeldia,Igor Zubeldia,Defensa,28,ES,10.0,60%,Sano,2.0,21.0,84,4.0,2,0,6,0.0,1.0,0.0,8.0,0.0,54,6.1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Jon Martín,Jon Martin,Jon Martin,Defensa,19,ES,10.0,70%,Sano,1.0,17.0,62,3.6,0,3,0,0.0,0.0,0.0,4.0,0.0,90,6.6,0,0,0,0,0,0,11,8,3,0,0,0,0,0,0,0,0,0,3,1
2025/26,29,20362,Real Sociedad,Villarreal,0,Aramburu,Aramburu,Jon Aramburu,Defensa,23,VE,9.0,90%,Sano,1.6,26.0,60,2.3,3,1,6,1.0,0.0,0.0,8.0,0.0,68,6.3,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Carlos Soler,C. Soler,Carlos Soler,Mediocampista,29,ES,16.0,90%,Sano,1.8,23.0,131,5.7,4,12,14,4.0,2.0,0.0,2.0,1.0,90,7.0,0,0,1,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,4,2
2025/26,29,20362,Real Sociedad,Villarreal,0,Brais,Brais Méndez,Brais Méndez,Mediocampista,29,ES,12.0,60%,Sano,1.3,24.0,118,4.9,8,2,0,5.0,2.0,0.0,5.0,1.0,68,6.3,0,0,1,0,0,1,5,16,0,0,0,0,0,0,0,0,0,0,4,2
2025/26,29,20362,Real Sociedad,Villarreal,0,Sergio Gómez,Sergio Gómez,Sergio Gómez,Defensa,25,ES,11.0,90%,Sano,1.7,26.0,124,4.8,5,1,9,0.0,2.0,0.0,2.0,0.0,90,6.4,0,0,1,0,0,0,7,20,1,0,0,0,0,0,0,0,0,0,-1,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Barrenetxea,Barrenetxea,Ander Barrenetxea,Mediocampista,24,ES,12.0,60%,Sano,1.1,22.0,115,5.2,5,3,2,3.0,3.0,0.0,2.0,0.0,90,6.3,0,0,3,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,4,2
2025/26,29,20362,Real Sociedad,Villarreal,0,Gorrotxategi,Gorrotxa,Jon Gorrotxategi,Mediocampista,24,ES,10.0,80%,Sano,1.0,24.0,108,4.5,0,0,5,1.0,3.0,0.0,6.0,0.0,45,6.3,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
2025/26,29,20362,Real Sociedad,Villarreal,0,Guedes,Guedes,Gonçalo Guedes,Mediocampista,29,PT,18.0,90%,Sano,1.8,28.0,168,6.0,19,0,5,8.0,4.0,0.0,1.0,0.0,90,6.1,0,0,0,1,0,0,4,26,0,0,0,0,0,0,0,0,0,0,-2,0
