Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,35,20417,Levante,Osasuna,1,Ryan,Ryan,Mathew Ryan,Portero,34,AU,21.0,95%,Sano,1.3,32,206,6.4,0,13.0,9,0,0,1,2,0,90,6.6,0,0,0,0,0,0,3,3,1,2,0,0,0,0,0,0,0,0,2,1
2025/26,35,20417,Levante,Osasuna,1,Toljan,Jeremy Toljan,Jeremy Toljan,Defensa,31,DE,9.0,90%,Sano,0.9,33,113,3.4,-3,6.0,8,1,3,0,7,0,90,5.5,0,0,1,0,0,2,3,12,0,0,0,0,0,0,0,1,0,0,-1,1
2025/26,35,20417,Levante,Osasuna,1,De la Fuente,Dela,Adrián de la Fuente,Defensa,27,ES,10.0,50%,Lesionado/Duda,2.0,29,126,4.3,0,8.0,9,2,1,0,5,0,76,7.2,0,0,3,0,0,5,4,22,5,0,0,0,0,0,0,0,0,0,4,2
2025/26,35,20417,Levante,Osasuna,1,Manu Sánchez,Manu Sánchez,Manuel Sánchez,Defensa,25,ES,9.0,70%,Sano,1.4,29,102,3.5,0,7.0,7,1,2,0,8,0,88,6.3,0,0,1,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1
2025/26,35,20417,Levante,Osasuna,1,Víctor García,Víctor G.,Víctor García,Defensa,28,ES,7.0,70%,Sano,1.5,19,61,3.2,0,5.0,3,0,1,0,0,0,66,8.5,2,0,1,3,0,1,3,10,0,0,0,0,0,0,0,0,0,0,15,4
2025/26,35,20417,Levante,Osasuna,1,Moreno,Matías Moreno,Matias Moreno,Defensa,22,AR,12.0,80%,Sano,1.2,24,117,4.9,-2,8.0,11,0,0,0,7,0,90,6.6,0,0,3,0,0,1,5,10,2,0,0,0,0,0,0,0,0,0,0,1
2025/26,35,20417,Levante,Osasuna,1,Pablo Martínez,P. Martínez,Pablo Martínez,Mediocampista,28,ES,11.0,70%,Sano,1.3,23,109,4.7,10,2.0,6,1,3,0,3,0,76,7.8,0,1,4,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,13,4
2025/26,35,20417,Levante,Osasuna,1,Oriol Rey,O. Rey,Oriol Rey,Mediocampista,28,ES,8.0,50%,Sano,-1.0,18,51,2.8,0,0.0,-1,0,0,0,4,0,90,7.7,0,1,2,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,9,4
2025/26,35,20417,Levante,Osasuna,1,Olasagasti,Olasagasti,Jon Ander Olasagasti,Mediocampista,25,ES,9.0,80%,Sano,1.4,29,89,3.1,1,5.0,11,1,3,0,3,1,90,7.8,0,0,6,1,0,2,1,22,0,0,0,0,0,0,0,0,0,0,3,2
2025/26,35,20417,Levante,Osasuna,1,Tunde,K. Tunde,Kareem Tunde,Mediocampista,20,ES,7.0,50%,Sano,1.0,17,46,2.7,2,0.0,2,0,1,0,3,0,45,6.6,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1
