Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,30,20368,Rayo,Elche,1,Batalla,A. Batalla,Augusto Batalla,Portero,29,AR,17.0,95%,Sano,1.4,29.0,168,5.8,4,6,3,0.0,0.0,0.0,4.0,0.0,90,7.5,0,0,0,0,0,0,11,6,0,4,0,0,0,0,0,0,0,0,13,3
2025/26,30,20368,Rayo,Elche,1,Lejeune,Lejeune,Florian Lejeune,Defensa,34,FR,19.0,95%,Sano,1.7,29.0,177,6.1,4,11,4,0.0,1.0,0.0,4.0,0.0,90,8.2,0,0,1,0,0,1,5,11,9,0,0,0,0,0,0,0,0,0,12,4
2025/26,30,20368,Rayo,Elche,1,Luiz Felipe,Luiz Felipe,Luiz Felipe,Defensa,29,IT,5.0,60%,Sano,-1.0,9.0,26,2.9,0,0,0,0.0,0.0,0.0,1.0,0.0,90,7.3,0,0,1,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,10,3
2025/26,30,20368,Rayo,Elche,1,Ratiu,Ratiu,Andrei Rațiu,Defensa,27,RO,18.0,80%,Sano,1.9,26.0,154,5.9,5,4,1,0.0,3.0,0.0,7.0,0.0,90,8.0,0,0,4,0,0,2,8,15,1,0,0,0,0,0,0,0,0,0,12,4
2025/26,30,20368,Rayo,Elche,1,Pep Chavarría,Chavarría,Josep Chavarría,Defensa,27,ES,10.0,70%,Sano,2.5,25.0,115,4.6,8,0,0,1.0,2.0,0.0,6.0,1.0,90,7.0,0,0,1,1,0,1,2,13,4,0,0,0,0,0,0,0,0,0,8,3
2025/26,30,20368,Rayo,Elche,1,Álvaro García,Álvaro García,Álvaro García,Mediocampista,33,ES,11.0,70%,Sano,1.7,29.0,138,4.8,2,5,1,4.0,4.0,0.0,3.0,0.0,84,6.9,0,1,3,2,0,2,4,16,0,0,0,0,0,0,0,0,0,0,13,4
2025/26,30,20368,Rayo,Elche,1,Unai López,Unai Lopez,Unai López,Mediocampista,30,ES,10.0,50%,Sano,1.6,21.0,100,4.8,1,0,1,0.0,3.0,0.0,6.0,1.0,90,7.3,0,0,3,0,0,1,2,13,3,0,0,0,0,0,0,0,0,0,7,3
2025/26,30,20368,Rayo,Elche,1,De Frutos,De Frutos,Jorge de Frutos,Delantero,29,ES,18.0,80%,Sano,1.2,27.0,159,5.9,2,2,2,10.0,1.0,0.0,3.0,0.0,89,6.8,0,0,1,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,5,2
2025/26,30,20368,Rayo,Elche,1,Valentín,Óscar Valentín,Óscar Valentín,Mediocampista,31,ES,100.0,70%,Sano,1.0,25.0,99,4.0,1,3,4,1.0,0.0,0.0,3.0,1.0,66,7.2,0,0,1,0,0,0,5,4,2,0,0,0,0,0,0,0,0,0,7,2
2025/26,30,20368,Rayo,Elche,1,Isi,Isi,Isi Palazón,Delantero,31,ES,11.0,80%,Sano,2.0,28.0,130,4.6,4,3,5,3.0,3.0,0.0,9.0,0.0,66,6.7,0,0,2,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,4,1
