Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,33,20393,Athletic,Osasuna,1,Unai Simón,Unai Simón,Unai Simón,Portero,28,ES,17.0,95%,Sano,1.2,31.0,175,5.6,2,5,5,0.0,0.0,1.0,1.0,0.0,90,8.0,0,0,0,0,0,0,10,13,0,2,0,0,0,1,0,0,0,0,17,4
2025/26,33,20393,Athletic,Osasuna,1,Laporte,Laporte,Aymeric Laporte,Defensa,31,ES,10.0,80%,Sano,1.1,20.0,88,4.4,1,1,5,0.0,1.0,0.0,2.0,0.0,75,7.3,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,8,2
2025/26,33,20393,Athletic,Osasuna,1,Yuri,Yuri,Yuri Berchiche,Defensa,36,ES,12.0,90%,Sano,1.4,27.0,131,4.9,8,-2,5,0.0,4.0,0.0,4.0,0.0,81,7.5,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,9,2
2025/26,33,20393,Athletic,Osasuna,1,Yeray,Yeray,Yeray Álvarez,Defensa,31,ES,7.0,40%,Sano,1.5,1.0,7,7.0,0,7,0,0.0,0.0,0.0,0.0,0.0,90,7.0,0,0,0,0,0,0,4,9,7,0,0,0,1,0,0,0,0,0,7,3
2025/26,33,20393,Athletic,Osasuna,1,Gorosabel,Gorosabel,Andoni Gorosabel,Defensa,29,ES,6.0,70%,Sano,1.0,17.0,41,2.4,1,0,0,0.0,1.0,0.0,3.0,0.0,90,6.9,0,0,0,0,0,0,8,13,1,0,0,0,0,0,0,0,0,0,8,2
2025/26,33,20393,Athletic,Osasuna,1,R. de Galarreta,De Galarreta,Iñigo Ruiz de Galarreta,Mediocampista,32,ES,10.0,50%,Sano,1.3,28.0,118,4.2,5,3,4,1.0,1.0,0.0,9.0,0.0,65,6.8,0,0,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,6,2
2025/26,33,20393,Athletic,Osasuna,1,Berenguer,Berenguer,Álex Berenguer,Delantero,30,ES,13.0,50%,Sano,1.0,26.0,131,5.0,2,0,6,2.0,3.0,0.0,4.0,0.0,65,6.2,0,0,1,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,4,1
2025/26,33,20393,Athletic,Osasuna,1,N. Williams,Nico Williams,Nico Williams,Delantero,23,ES,20.0,70%,Sano,1.5,21.0,129,6.1,4,4,0,4.0,2.0,0.0,1.0,0.0,65,6.6,0,0,1,1,0,1,3,9,0,0,0,0,0,0,0,0,0,0,6,2
2025/26,33,20393,Athletic,Osasuna,1,Jauregizar,Jauregizar,Mikel Jauregizar,Mediocampista,22,ES,10.0,70%,Sano,0.6,30.0,133,4.4,3,3,2,2.0,0.0,0.0,3.0,0.0,90,6.5,0,0,1,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,3,1
2025/26,33,20393,Athletic,Osasuna,1,I. Williams,Iñaki Williams,Iñaki Williams,Delantero,31,GH,10.0,60%,Sano,0.9,23.0,95,4.1,1,1,12,2.0,4.0,0.0,1.0,0.0,90,7.5,0,0,0,0,0,2,4,9,1,0,0,0,0,0,0,0,0,0,5,1
2025/26,33,20393,Athletic,Osasuna,1,Guruzeta,Guruzeta,Gorka Guruzeta,Delantero,29,ES,10.0,70%,Sano,0.8,28.0,122,4.4,7,4,4,7.0,1.0,0.0,5.0,1.0,90,6.1,1,0,2,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,10,4
2025/26,33,20393,Athletic,Osasuna,1,Vivian,Vivian,Daniel Vivian,Defensa,26,ES,10.0,60%,Sano,1.3,26.0,112,4.3,3,1,13,1.0,0.0,0.0,8.0,1.0,15,6.8,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,1
2025/26,33,20393,Athletic,Osasuna,1,Boiro,Maroan,Adama Boiro,Defensa,23,ES,4.0,10%,Sano,-1.0,9.0,18,2.0,0,0,0,0.0,0.0,0.0,1.0,0.0,9,6.7,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1
2025/26,33,20393,Athletic,Osasuna,1,Sancet,O. Sancet,Oihan Sancet,Mediocampista,25,ES,9.0,50%,Sano,0.8,24.0,89,3.7,2,3,15,3.0,0.0,0.0,4.0,1.0,25,7.2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,33,20393,Athletic,Osasuna,1,Navarro,Navarro,Robert Navarro,Mediocampista,24,ES,8.0,40%,Sano,1.3,25.0,99,4.0,1,0,2,5.0,1.0,0.0,1.0,0.0,25,6.6,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,33,20393,Athletic,Osasuna,1,Rego,Rego,Alejandro Rego,Defensa,22,ES,6.0,50%,Sano,1.0,22.0,51,2.3,2,1,5,1.0,0.0,0.0,5.0,0.0,25,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,33,20393,Osasuna,Athletic Club,0,Herrera,Sergio Herrera,Sergio Herrera,Portero,32,ES,22.0,95%,Sano,1.5,31.0,199,6.4,6,6,9,0.0,0.0,0.0,3.0,0.0,90,6.1,0,0,0,0,0,0,8,8,2,2,0,0,0,0,0,0,0,0,5,2
2025/26,33,20402,Real Sociedad,Athletic Club,0,Herrera,Herrera,Sergio Herrera,Mediocampista,28,VE,4.0,30%,Sano,-1.0,8.0,10,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0,90,6.1,0,0,0,0,0,0,8,8,2,2,0,0,0,0,0,0,0,0,5,2
2025/26,33,20393,Osasuna,Athletic Club,0,Galán,Javi Galán,Javi Galán,Defensa,31,ES,12.0,90%,Sano,1.3,14.0,92,4.8,5,1,6,0.0,1.0,0.0,2.0,0.0,90,7.0,0,0,0,0,0,1,8,12,0,0,0,0,0,0,0,0,0,0,6,3
2025/26,33,20393,Osasuna,Athletic Club,0,Herrando,Herrando,Jorge Herrando,Defensa,25,ES,9.0,80%,Sano,1.1,26.0,79,3.0,2,1,0,0.0,1.0,0.0,3.0,0.0,84,6.9,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,0,0,0,6,2
2025/26,33,20393,Osasuna,Athletic Club,0,Boyomo,Boyomo,Flavien Boyomo,Defensa,24,CM,10.0,95%,Sano,1.9,23.0,97,4.2,0,0,9,1.0,1.0,0.0,5.0,0.0,90,6.3,0,0,0,1,0,0,5,11,3,0,0,0,0,0,0,0,0,0,5,2
2025/26,33,20393,Osasuna,Athletic Club,0,Rosier,V. Rosier,Valentin Rosier,Defensa,29,FR,10.0,90%,Sano,1.4,24.0,108,4.5,5,7,8,1.0,1.0,0.0,6.0,1.0,90,7.1,0,0,0,0,0,0,6,8,2,0,0,0,0,0,0,0,0,0,5,2
