Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,34,20407,Girona,Mallorca,1,Gazzaniga,Gazzaniga,Paulo Gazzaniga,Portero,34,AR,17.0,95%,Sano,1.1,30,171,5.7,1.0,0,10.0,0,0,0,4,1,90,6.6,0,0,0,0,0,0,11,7,0,3,0,0,0,0,0,0,0,0,7,2
2025/26,34,20407,Girona,Mallorca,1,Blind,Daley Blind,Daley Blind,Defensa,36,NL,11.0,80%,Sano,1.2,30,144,4.8,0.0,4,0.0,0,0,0,1,0,74,6.8,0,0,0,0,0,0,2,17,3,0,0,0,0,0,0,0,0,0,2,1
2025/26,34,20407,Girona,Mallorca,1,Witsel,Witsel,Axel Witsel,Mediocampista,37,BE,12.0,90%,Sano,1.9,27,132,4.9,5.0,2,4.0,1,2,0,3,1,90,7.2,0,0,0,0,0,0,5,6,1,0,0,0,0,0,0,0,0,0,5,2
2025/26,34,20407,Girona,Mallorca,1,Francés,Francés,Alejandro Francés,Defensa,23,ES,7.0,50%,Sano,2.0,20,67,3.4,10.0,0,6.0,0,2,0,1,1,90,7.2,0,0,0,0,0,0,4,12,7,0,0,0,0,0,0,0,0,0,7,3
2025/26,34,20407,Girona,Mallorca,1,Arnau,Arnau,Arnau Martínez,Defensa,23,ES,13.0,90%,Sano,1.3,30,152,5.1,2.0,2,8.0,1,2,0,6,0,90,7.2,0,0,2,0,0,2,5,10,2,0,0,0,0,0,0,0,0,0,7,2
2025/26,34,20407,Girona,Mallorca,1,Vitor Reis,Vitor Reis,Vitor Reis,Defensa,20,BR,12.0,95%,Sano,1.6,31,149,4.8,3.0,2,6.0,1,1,0,6,1,90,7.3,0,0,0,0,0,0,7,7,6,0,0,0,0,0,0,0,0,0,5,1
2025/26,34,20407,Girona,Mallorca,1,Tsygankov,Tsygankov,Viktor Tsygankov,Delantero,28,UA,19.0,90%,Sano,1.0,27,163,6.0,3.0,9,4.0,6,4,0,2,0,90,6.3,0,0,1,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,1,1
2025/26,34,20407,Girona,Mallorca,1,Beltrán,Fran Beltrán,Fran Beltrán,Mediocampista,27,ES,9.0,50%,Sano,1.0,12,83,3.8,0.0,2,2.0,1,0,0,3,0,74,7.1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,34,20411,Valencia,Mallorca,1,Beltrán,Lucas Beltrán,Fran Beltrán,Mediocampista,25,AR,9.0,0%,Lesionado/Duda,0.9,27,90,3.3,2.0,3,3.0,1,2,0,1,0,74,7.1,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,34,20405,Espanyol,Mallorca,1,Roca,A. Roca,Joel Roca,Mediocampista,23,ES,3.0,30%,Sano,1.0,9,12,1.3,2.0,0,0.0,0,0,0,1,0,70,6.5,0,0,2,1,0,0,3,11,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,34,20407,Girona,Mallorca,1,Roca,Joel Roca,Joel Roca,Delantero,20,ES,8.0,50%,Sano,2.0,27,85,3.1,8.0,3,0.0,3,1,0,3,1,70,6.5,0,0,2,1,0,0,3,11,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,34,20407,Girona,Mallorca,1,Ounahi,Ounahi,Azzedine Ounahi,Mediocampista,26,MA,28.0,90%,Sano,1.6,19,141,7.4,4.0,8,4.0,5,2,0,7,0,90,7.4,0,0,3,0,0,2,3,18,0,0,0,0,0,0,0,0,0,0,8,4
2025/26,34,20407,Girona,Mallorca,1,Echeverri,Echeverri,Claudio Echeverri,Mediocampista,20,AR,6.0,50%,Sano,1.0,12,42,3.5,1.0,3,3.0,1,1,0,3,0,70,6.6,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,3,1
