Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,32,20389,Betis,Real Madrid,1,Valles,Á. Valles,Álvaro Valles,Portero,28,ES,20.0,70%,Sano,1.5,23.0,147,6.4,1,6,10.0,0.0,0.0,1.0,1.0,0.0,90,8.1,0,0,0,0,0,0,9,5,2,7,0,0,0,0,0,0,0,0,10,4
2025/26,32,20389,Betis,Real Madrid,1,Bartra,Bartra,Marc Bartra,Defensa,35,ES,16.0,50%,Sano,1.5,24.0,137,5.7,2,0,10.0,1.0,0.0,0.0,3.0,0.0,32,6.6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,1
2025/26,32,20389,Betis,Real Madrid,1,Rodríguez,Rodríguez,Ricardo Rodríguez,Defensa,33,CH,9.0,70%,Sano,-1.0,19.0,69,3.6,1,0,0.0,0.0,1.0,0.0,0.0,0.0,90,6.4,0,0,2,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,3,1
2025/26,32,20389,Betis,Real Madrid,1,Bellerín,Bellerín,Héctor Bellerín,Defensa,31,ES,10.0,70%,Sano,1.3,21.0,98,4.7,2,5,7.0,1.0,3.0,0.0,2.0,0.0,90,7.8,1,0,0,1,0,0,4,6,0,0,0,0,0,0,0,0,0,0,12,3
2025/26,32,20389,Betis,Real Madrid,1,Natan,Natan,Natan,Defensa,25,BR,12.0,80%,Sano,1.5,28.0,140,5.0,1,4,0.0,0.0,0.0,0.0,7.0,0.0,90,6.7,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,4,1
2025/26,32,20389,Betis,Real Madrid,1,Fornals,Fornals,Pablo Fornals,Mediocampista,30,ES,23.0,70%,Sano,1.3,32.0,222,6.9,4,3,8.0,7.0,4.0,0.0,2.0,0.0,68,6.6,0,0,4,0,0,1,8,13,0,0,0,0,0,0,0,0,0,0,5,2
2025/26,32,20389,Betis,Real Madrid,1,S. Amrabat,Amrabat,Sofyan Amrabat,Mediocampista,29,MA,8.0,70%,Sano,1.6,12.0,50,4.2,3,6,7.0,0.0,0.0,0.0,3.0,0.0,73,6.5,0,0,1,0,0,0,5,7,2,0,0,0,0,0,0,0,0,0,3,1
2025/26,32,20389,Betis,Real Madrid,1,Fidalgo,Fidalgo,Álvaro Fidalgo,Mediocampista,29,ES,8.0,30%,Sano,-1.0,6.0,30,5.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,45,6.6,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,3,2
2025/26,32,20389,Betis,Real Madrid,1,Bakambu,Bakambu,Cédric Bakambu,Delantero,35,CD,6.0,40%,Sano,2.0,16.0,53,3.3,6,0,0.0,3.0,1.0,0.0,1.0,0.0,45,6.2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0
2025/26,32,20389,Betis,Real Madrid,1,Antony,Antony,Antony,Delantero,26,BR,19.0,70%,Sano,0.4,26.0,164,6.3,0,0,3.0,7.0,5.0,0.0,5.0,1.0,90,7.0,0,0,1,2,0,0,1,15,1,0,0,0,0,0,0,0,0,0,5,3
