Temporada,Jornada,ID_Partido,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_Fantasy,Jugador_SofaScore,Posicion,Edad,Nacionalidad,Precio_Fantastica,Probabilidad_Jugar,Estado_Medico,Estado_Forma,Partidos_Jugados,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Goles_Temporada,Asistencias_Temporada,Penaltis_Parados_Temporada,Amarillas_Temporada,Rojas_Temporada,Minutos_jugados,Nota_SofaScore,Goles_Partido,Asistencias_Partido,Asistencias_sin_gol,Tiros_a_puerta,Regates,Balones_al_area,Balones_recuperados,Posesiones_perdidas,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_Parados_Partido,Penaltis_fallados,Goles_en_propia_puerta,Amarillas_Partido,Rojas_Partido,Puntos,Relevo
2025/26,31,20380,Real Madrid,Girona FC,1,Lunin,Lunin,Andriy Lunin,Portero,27,UA,5.0,95%,Sano,1.2,2.0,8,4.0,2,7,0,0.0,0.0,0.0,0.0,1.0,90,6.7,0,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,0,0,5,2
2025/26,31,20380,Real Madrid,Girona FC,1,Carvajal,Carvajal,Dani Carvajal,Defensa,34,ES,7.0,70%,Sano,1.2,12.0,43,3.6,0,3,5,0.0,0.0,0.0,0.0,0.0,90,6.4,0,0,1,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,3,1
2025/26,31,20380,Real Madrid,Girona FC,1,Militão,E. Militao,Éder Militão,Defensa,28,BR,16.0,99%,Sano,1.0,14.0,95,6.8,9,0,0,2.0,1.0,0.0,2.0,0.0,64,6.6,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,4,2
2025/26,31,20380,Real Madrid,Girona FC,1,Fran García,Fran García,Fran García,Defensa,26,ES,7.0,70%,Sano,2.0,9.0,35,3.9,0,0,9,1.0,1.0,0.0,2.0,1.0,79,7.1,0,0,1,0,0,1,6,3,2,0,0,0,0,0,0,0,0,0,5,2
2025/26,31,20380,Real Madrid,Girona FC,1,Asencio,Asencio,Raúl Asencio,Defensa,23,ES,12.0,10%,Sano,-1.0,19.0,93,4.9,0,0,0,2.0,0.0,0.0,3.0,0.0,90,6.9,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,5,2
2025/26,31,20380,Real Madrid,Girona FC,1,Valverde,Valverde,Federico Valverde,Mediocampista,27,UY,30.0,70%,Sano,2.4,28.0,210,7.5,0,9,12,4.0,7.0,0.0,2.0,1.0,90,8.5,1,0,3,2,0,1,2,9,0,0,0,0,0,0,0,0,0,0,11,3
2025/26,31,20380,Real Madrid,Girona FC,1,Brahim,Brahim,Brahim Díaz,Mediocampista,26,MA,8.0,30%,Sano,1.1,22.0,89,4.0,3,4,5,0.0,4.0,0.0,1.0,0.0,84,7.4,0,1,7,1,0,4,2,14,0,0,0,0,0,0,0,0,0,0,11,4
2025/26,31,20380,Real Madrid,Girona FC,1,Bellingham,Bellingham,Jude Bellingham,Mediocampista,22,EN,26.0,99%,Sano,0.7,20.0,141,7.1,2,2,0,4.0,3.0,0.0,1.0,0.0,64,7.1,0,0,2,1,0,0,6,11,0,0,0,0,0,0,0,0,0,0,6,2
2025/26,31,20380,Real Madrid,Girona FC,1,Camavinga,Camavinga,Eduardo Camavinga,Mediocampista,23,FR,10.0,99%,Sano,0.6,22.0,101,4.6,6,2,3,1.0,0.0,0.0,1.0,0.0,79,7.4,0,0,2,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,4,2
2025/26,31,20380,Real Madrid,Girona FC,1,Mbappé,Mbappé,Kylian Mbappé,Delantero,27,FR,55.0,70%,Sano,1.3,25.0,284,11.4,3,2,0,23.0,4.0,0.0,3.0,0.0,90,6.1,0,0,1,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0
2025/26,31,20380,Real Madrid,Girona FC,1,Vinicius,Vini Jr.,Vinicius Júnior,Delantero,25,BR,30.0,70%,Sano,1.6,29.0,218,7.5,3,14,4,11.0,5.0,0.0,7.0,0.0,90,8.6,0,0,3,3,0,0,2,15,0,0,0,0,0,0,0,0,0,0,6,3
2025/26,31,20378,Rayo,Girona FC,1,Mendy,N. Mendy,Ferland Mendy,Defensa,21,SN,14.0,70%,Sano,0.0,18.0,94,5.2,0,0,0,2.0,0.0,0.0,6.0,2.0,11,6.7,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Real Madrid,Girona FC,1,Mendy,F. Mendy,Ferland Mendy,Defensa,30,FR,4.0,10%,Lesionado/Duda,-1.0,2.0,6,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,11,6.7,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20382,Sevilla,Girona FC,1,Mendy,Mendy,Ferland Mendy,Mediocampista,26,FR,9.0,50%,Sano,1.2,24.0,82,3.4,4,5,0,1.0,0.0,0.0,6.0,0.0,11,6.7,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Real Madrid,Girona FC,1,Huijsen,Huijsen,Dean Huijsen,Defensa,20,ES,19.0,50%,Sano,1.1,22.0,131,6.0,2,4,11,2.0,2.0,0.0,6.0,1.0,26,7.2,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,4,2
2025/26,31,20380,Real Madrid,Girona FC,1,Tchouaméni,Tchouaméni,Aurélien Tchouaméni,Mediocampista,26,FR,16.0,70%,Sano,1.6,27.0,146,5.4,4,4,4,1.0,0.0,0.0,7.0,0.0,11,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Real Madrid,Girona FC,1,Güler,Arda Güler,Arda Güler,Mediocampista,21,TR,29.0,30%,Sano,1.5,30.0,221,7.4,6,5,10,4.0,8.0,0.0,1.0,0.0,26,6.9,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Real Madrid,Girona FC,1,Gonzalo,Gonzalo,Gonzalo García,Delantero,22,ES,6.0,20%,Sano,1.0,23.0,68,3.0,0,0,2,4.0,0.0,0.0,1.0,0.0,12,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Girona,Real Madrid,0,Gazzaniga,Gazzaniga,Paulo Gazzaniga,Portero,34,AR,19.0,95%,Sano,1.9,27.0,160,5.9,9,12,15,0.0,0.0,0.0,4.0,1.0,90,8.8,0,0,0,0,0,0,11,11,2,7,0,0,0,0,0,0,0,0,10,4
2025/26,31,20380,Girona,Real Madrid,0,Witsel,Witsel,Axel Witsel,Mediocampista,37,BE,13.0,80%,Sano,1.3,24.0,121,5.0,11,5,9,1.0,2.0,0.0,3.0,1.0,90,6.7,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,4,1
2025/26,31,20380,Girona,Real Madrid,0,Álex Moreno,Alex Moreno,Alex Moreno,Defensa,32,ES,10.0,70%,Sano,1.4,24.0,98,4.1,7,2,1,0.0,3.0,0.0,4.0,0.0,90,6.8,0,0,0,0,0,0,4,9,2,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Girona,Real Madrid,0,Francés,Francés,Alejandro Francés,Defensa,23,ES,6.0,70%,Sano,1.2,18.0,51,2.8,2,0,8,0.0,1.0,0.0,1.0,1.0,90,7.1,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,0,6,2
2025/26,31,20380,Girona,Real Madrid,0,Arnau,Arnau,Arnau Martínez,Defensa,22,ES,14.0,60%,Sano,1.5,27.0,140,5.2,8,8,8,1.0,1.0,0.0,6.0,0.0,90,6.5,0,1,1,0,0,0,4,10,4,0,0,0,0,0,0,0,0,0,8,3
2025/26,31,20380,Girona,Real Madrid,0,Vitor Reis,Vitor Reis,Vitor Reis,Defensa,20,BR,13.0,90%,Sano,1.8,28.0,138,4.9,8,4,0,1.0,1.0,0.0,6.0,1.0,90,7.5,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,6,2
2025/26,31,20380,Girona,Real Madrid,0,Lemar,Lemar,Thomas Lemar,Mediocampista,30,FR,9.0,50%,Sano,1.1,20.0,87,4.4,2,2,0,2.0,1.0,0.0,2.0,0.0,70,7.4,1,0,3,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,9,2
2025/26,31,20380,Girona,Real Madrid,0,Tsygankov,Tsygankov,Viktor Tsygankov,Delantero,28,UA,20.0,80%,Sano,1.5,24.0,147,6.1,7,4,16,5.0,4.0,0.0,2.0,0.0,90,6.9,0,0,2,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,4,1
2025/26,31,20380,Girona,Real Madrid,0,Iván Martín,Iván Martín,Iván Martín,Mediocampista,27,ES,10.0,60%,Sano,1.2,28.0,123,4.4,6,2,2,0.0,1.0,0.0,5.0,1.0,84,7.1,0,0,1,0,0,0,4,8,3,0,0,0,0,0,0,0,0,0,4,1
2025/26,31,20380,Girona,Real Madrid,0,Ounahi,Ounahi,Azzedine Ounahi,Mediocampista,25,MA,25.0,70%,Sano,1.8,16.0,125,7.8,10,5,13,4.0,2.0,0.0,6.0,0.0,70,6.7,0,0,0,1,0,0,2,9,2,0,0,0,0,0,0,0,0,0,4,1
2025/26,31,20380,Girona,Real Madrid,0,Echeverri,Echeverri,Claudio Echeverri,Mediocampista,20,AR,6.0,40%,Sano,1.2,9.0,35,3.9,0,2,15,1.0,1.0,0.0,3.0,0.0,64,6.6,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1
2025/26,31,20380,Girona,Real Madrid,0,Rincón,H. Rincón,Hugo Rincón,Defensa,23,ES,9.0,50%,Sano,1.4,27.0,77,2.9,2,2,15,1.0,1.0,0.0,3.0,0.0,20,6.5,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0
2025/26,31,20380,Girona,Real Madrid,0,Beltrán,Fran Beltrán,Fran Beltrán,Mediocampista,27,ES,9.0,50%,Lesionado/Duda,1.3,10.0,79,4.0,4,5,7,1.0,0.0,0.0,3.0,0.0,12,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20376,Valencia,Real Madrid,0,Beltrán,Lucas Beltrán,Fran Beltrán,Mediocampista,25,AR,9.0,50%,Sano,1.0,24.0,82,3.4,2,0,2,1.0,2.0,0.0,1.0,0.0,12,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Girona,Real Madrid,0,Bryan Gil,Bryan Gil,Bryan Gil,Delantero,25,ES,10.0,30%,Sano,-1.0,23.0,94,4.1,0,0,0,0.0,3.0,0.0,4.0,0.0,20,6.5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20380,Girona,Real Madrid,0,Stuani,Stuani,Cristhian Stuani,Delantero,39,UY,4.0,30%,Sano,-1.0,13.0,36,2.8,0,0,0,3.0,0.0,0.0,2.0,0.0,11,6.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Remiro,Remiro,Álex Remiro,Portero,31,ES,15.0,60%,Sano,1.5,30.0,158,5.3,13,7,5,0.0,0.0,0.0,0.0,0.0,90,6.5,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,2,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Aritz,Aritz,Aritz Elustondo,Defensa,32,ES,5.0,70%,Sano,1.0,11.0,22,2.0,2,2,0,0.0,0.0,0.0,0.0,0.0,86,6.5,0,0,0,0,0,0,4,10,1,0,0,0,0,0,0,0,0,0,1,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Caleta-Car,Caleta-Car,Duje Caleta-Car,Defensa,29,HR,10.0,80%,Sano,1.3,21.0,90,4.3,8,3,7,1.0,0.0,0.0,4.0,1.0,90,5.5,0,0,0,1,0,0,6,8,8,0,0,0,0,0,0,1,0,0,1,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Aramburu,Aramburu,Jon Aramburu,Defensa,23,VE,8.0,90%,Sano,1.7,28.0,69,2.5,9,0,3,1.0,0.0,0.0,9.0,0.0,90,6.5,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,3,2
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Carlos Soler,C. Soler,Carlos Soler,Mediocampista,29,ES,20.0,90%,Sano,1.5,25.0,151,6.0,16,4,4,4.0,3.0,0.0,2.0,1.0,90,6.9,0,0,5,0,0,2,6,17,2,0,0,0,0,0,0,0,0,0,6,3
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Brais,Brais Méndez,Brais Méndez,Mediocampista,29,ES,13.0,50%,Sano,1.0,26.0,131,5.0,9,4,8,6.0,2.0,0.0,5.0,1.0,54,6.4,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Sergio Gómez,Sergio Gómez,Sergio Gómez,Defensa,25,ES,11.0,70%,Sano,1.5,28.0,133,4.8,10,-1,5,0.0,2.0,0.0,2.0,0.0,90,6.2,0,0,0,0,0,0,4,11,3,0,0,0,0,0,0,0,0,0,-1,1
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Barrenetxea,Barrenetxea,Ander Barrenetxea,Mediocampista,24,ES,14.0,70%,Sano,1.2,24.0,124,5.2,5,4,5,3.0,3.0,0.0,3.0,0.0,45,7.1,0,1,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,6,3
2025/26,31,20381,Real Sociedad,Deportivo Alavés,1,Sucic,Sucic,Luka Sučić,Mediocampista,23,HR,7.0,50%,Sano,1.4,15.0,60,4.0,5,12,2,2.0,1.0,0.0,1.0,0.0,86,8.0,1,0,0,1,0,0,5,16,2,0,0,0,0,0,0,0,0,0,11,4
