Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVD,91,36,30,1,5,91,32,+59
Real Madrid,VEVDV,80,36,25,5,6,72,33,+39
Villarreal,EVVED,69,36,21,6,9,67,43,+24
Atlético de Madrid,DVVDV,66,36,20,6,10,60,39,+21
Real Betis,VEVEV,57,36,14,15,7,56,44,+12
Celta,DDVVD,50,36,13,11,12,51,47,+4
Getafe,VDDEV,48,36,14,6,16,31,37,-6
Real Sociedad,DEDEE,45,36,11,12,13,55,56,-1
Athletic,VDVDD,44,36,13,5,18,40,53,-13
Rayo Vallecano,VEVEE,44,36,10,14,12,37,43,-6
Valencia,EVDVE,43,36,11,10,15,39,51,-12
Sevilla,DDVVV,43,36,12,7,17,46,58,-12
Osasuna,DVDDD,42,36,11,9,16,43,47,-4
Espanyol,DEDDV,42,36,11,9,16,40,53,-13
Girona FC,DDDEE,40,36,9,13,14,38,53,-15
Deportivo Alavés,DVDEV,40,36,10,10,16,42,54,-12
Elche,VVDED,39,36,9,12,15,47,56,-9
Mallorca,EDVED,39,36,10,9,17,44,55,-11
Levante,VEDVV,39,36,10,9,17,44,59,-15
Real Oviedo,EDDED,29,36,6,11,19,26,56,-30
