Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20435,2025/26,37,Barcelona,Defensa,5.0,30,DK,0%,Sano,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20442,2025/26,37,Real Madrid,Defensa,21.0,23,ES,30%,Sano,27,2,2,0,5,1,1,170,6.3,8,0,0
Aarón,Aarón,20440,2025/26,37,Real Oviedo,Portero,26.0,30,ES,50%,Sano,36,0,1,2,3,0,1.9,256,7.1,4,11,4
Abde,Ez Abde,20435,2025/26,37,Betis,Delantero,30.0,24,MA,50%,Sano,27,9,8,0,3,0,1.9,208,7.7,5,10,15
Abdon,Abdón,20437,2025/26,37,Mallorca,Delantero,3.0,33,ES,10%,Sano,13,0,0,0,0,0,1,19,1.5,2,0,0
Abed,Huseini,20437,2025/26,37,Levante,Defensa,1.0,21,IL,0%,Sano,6,0,0,0,0,0,-1,0,0,0,N/A,0
Abel Ruiz,Abel Ruiz,20434,2025/26,37,Girona,Delantero,4.0,26,ES,0%,Lesionado/Duda,9,0,0,0,0,0,-1,18,2,0,0,0
Abqar,A. abqar,20436,2025/26,37,Getafe,Defensa,9.0,27,MA,50%,Sano,21,0,2,0,10,1,0.8,72,3.4,0,6,-1
Adam Boayar,Adam B.,20436,2025/26,37,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20442,2025/26,37,Sevilla,Delantero,9.0,26,NG,70%,Sano,30,10,3,0,3,0,2.3,136,4.5,8,6,0
Adrián,Adrián,20435,2025/26,37,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20436,2025/26,37,Elche,Defensa,9.0,25,AT,80%,Sano,34,1,1,0,6,1,1.1,154,4.5,4,7,1
