Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
Areso,Areso,20328,2025/26,26,Athletic,Defensa,9.0,26,ES,50%,Sano,21,0,1,0,3,0,1,72,3.4,2,3,0
Aritz,Aritz,20327,2025/26,26,Real Sociedad,Defensa,5.0,31,ES,30%,Sano,9,0,0,0,0,0,1,18,2,2,0,0
Arnau,Arnau,20325,2025/26,26,Girona,Defensa,13.0,22,ES,95%,Sano,22,1,1,0,5,0,1.6,112,5.1,2,4,9
Arriaga,Arriaga,20326,2025/26,26,Levante,Mediocampista,9.0,28,HN,0%,Sano,17,1,1,0,6,1,1,64,3.8,0,0,1
Asano,Asano,20327,2025/26,26,Mallorca,Delantero,5.0,31,JP,0%,Lesionado/Duda,15,1,0,0,2,0,-1,30,2,0,0,0
Asencio,Asencio,20330,2025/26,26,Real Madrid,Defensa,11.0,23,ES,0%,Lesionado/Duda,18,2,0,0,2,0,0.8,91,5.1,2,0,8
Aspas,Iago Aspas,20325,2025/26,26,Celta,Delantero,9.0,38,ES,30%,Sano,22,4,3,0,3,0,2.1,108,4.9,16,1,5
Ayoze,Ayoze,20323,2025/26,26,Villarreal,Delantero,8.0,32,ES,50%,Sano,17,2,3,0,3,0,1,65,3.8,3,2,2
Azpilicueta,Azpilicueta,20329,2025/26,26,Sevilla,Defensa,8.0,36,ES,90%,Sano,12,0,0,0,4,0,1.7,39,3.3,7,3,-1
Baena,Álex Baena,20331,2025/26,26,Atlético,Mediocampista,10.0,24,ES,40%,Sano,17,2,2,0,3,0,1.1,93,5.5,10,1,1
Bailly,E. Bailly,20331,2025/26,26,Real Oviedo,Defensa,8.0,31,CI,0%,Lesionado/Duda,7,1,0,0,1,0,1.6,33,4.7,9,6,0
