Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,1,Athletic Club,Getafe,1,Padilla,Alex Padilla,G,0,0,6.6,90,0,0,0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,17
24-25,1,Athletic Club,Getafe,1,Yuri,Yuri Berchiche,D,3,2,7.1,90,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,8
24-25,1,Athletic Club,Getafe,1,Yeray,Yeray Álvarez,D,5,2,6.8,90,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,10
24-25,1,Athletic Club,Getafe,1,Gorosabel,Andoni Gorosabel,D,1,0,6.3,81,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5
24-25,1,Athletic Club,Getafe,1,Paredes,Aitor Paredes,D,6,2,6.7,81,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,7
24-25,1,Athletic Club,Getafe,1,Berenguer,Álex Berenguer,M,3,1,6.4,72,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,17
24-25,1,Athletic Club,Getafe,1,Vesga,Mikel Vesga,M,3,2,6.4,57,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14
24-25,1,Athletic Club,Getafe,1,Sancet,Oihan Sancet,M,9,2,7.1,90,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7
24-25,1,Athletic Club,Getafe,1,Prados,Beñat Prados,M,0,1,6.5,57,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10
24-25,1,Athletic Club,Getafe,1,I. Williams,Iñaki Williams,M,2,1,6.6,90,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,13
24-25,1,Athletic Club,Getafe,1,Guruzeta,Gorka Guruzeta,F,7,2,6.8,90,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9
24-25,1,Athletic Club,Getafe,1,Lekue,Íñigo Lekue,D,2,1,6.8,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
24-25,1,Athletic Club,Getafe,1,Vivian,Daniel Vivian,D,2,1,6.6,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
24-25,1,Athletic Club,Getafe,1,Herrera,Ander Herrera,M,1,1,6.7,33,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,7
24-25,1,Athletic Club,Getafe,1,N. Williams,Nico Williams,F,4,2,7.1,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
24-25,1,Athletic Club,Getafe,1,Unai Gómez,Unai Gómez,M,0,0,6.5,33,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
24-25,1,Getafe,Athletic Club,0,Soria,David Soria,G,5,2,6.9,90,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,10
24-25,1,Getafe,Athletic Club,0,Diego Rico,Diego Rico,D,2,1,6.9,90,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
24-25,1,Getafe,Athletic Club,0,Álex Sola,Álex Sola,M,2,1,6.5,79,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
