Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,20,Espanyol,Real Valladolid,1,Joan Garcia,Joan García,G,6,2,6.7,90,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,6
24-25,20,Espanyol,Real Valladolid,1,Cabrera,Leandro Cabrera,D,2,1,6.7,90,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,18
24-25,20,Espanyol,Real Valladolid,1,Tejero,Álvaro Tejero,F,13,4,7.8,63,0,1,3,2,1,0,6,3,0,0,0,0,0,0,0,0,0,5
24-25,20,Espanyol,Real Valladolid,1,Oliván,Brian Oliván,D,3,1,6.8,90,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,10
24-25,20,Espanyol,Real Valladolid,1,Kumbulla,Marash Kumbulla,D,5,2,7.0,90,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,6
24-25,20,Espanyol,Real Valladolid,1,El Hilali,Omar El Hilali,D,8,3,7.2,90,0,1,1,1,0,0,4,3,0,0,0,0,0,0,0,0,0,8
24-25,20,Espanyol,Real Valladolid,1,Lozano,Pol Lozano,M,4,1,6.4,63,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4
24-25,20,Espanyol,Real Valladolid,1,Kral,Alex Král,M,1,0,6.5,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,11
24-25,20,Espanyol,Real Valladolid,1,Roca,Antoniu Roca,M,3,1,6.6,58,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5
24-25,20,Espanyol,Real Valladolid,1,Puado,Javi Puado,M,9,3,7.2,90,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15
24-25,20,Espanyol,Real Valladolid,1,Véliz,Alejo Véliz,F,3,1,6.5,79,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,8
24-25,20,Espanyol,Real Valladolid,1,Calero,Fernando Calero,D,2,1,6.6,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,20,Espanyol,Real Valladolid,1,Edu Expósito,Edu Expósito,M,3,2,7.0,27,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,8
24-25,20,Espanyol,Real Valladolid,1,Jofre,Jofre Carreras,F,2,1,6.5,32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
24-25,20,Espanyol,Real Valladolid,1,Roberto,Roberto Fernández,F,8,3,7.4,27,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6
24-25,20,Real Valladolid,Espanyol,0,Hein,Karl Hein,G,3,2,6.5,90,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,8
24-25,20,Real Valladolid,Espanyol,0,Javi Sánchez,Javi Sánchez,D,9,3,7.3,90,1,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,10
24-25,20,Real Valladolid,Espanyol,0,Luis Pérez,Luis Pérez,D,2,2,7.0,90,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,10
24-25,20,Real Valladolid,Espanyol,0,Rosa,Lucas Rosa,D,1,1,6.7,90,0,0,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,9
24-25,20,Real Valladolid,Espanyol,0,Juma Bah,Abdulay Juma Bah,D,2,1,6.5,90,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,9
24-25,20,Real Valladolid,Espanyol,0,Anuar,Anuar,F,3,1,6.9,90,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
24-25,20,Real Valladolid,Espanyol,0,Kike Pérez,Kike Pérez,M,5,3,7.1,90,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,18
24-25,20,Real Valladolid,Espanyol,0,Raul Moro,Raúl Moro,F,2,2,6.9,57,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,14
24-25,20,Real Valladolid,Espanyol,0,Mario Martín,Mario Martín,M,3,2,6.9,90,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,10
24-25,20,Real Valladolid,Espanyol,0,Juric,Stanko Jurić,M,3,1,6.7,82,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8
24-25,20,Real Valladolid,Espanyol,0,Marcos André,Marcos André,F,1,0,6.1,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13
24-25,20,Real Valladolid,Espanyol,0,Amallah,Selim Amallah,M,0,0,6.4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24-25,20,Real Valladolid,Espanyol,0,Amath,Amath Ndiaye,F,1,0,6.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24-25,20,Girona FC,Sevilla,1,Gazzaniga,Paulo Gazzaniga,G,11,3,7.6,90,0,0,0,0,0,0,6,1,4,0,0,0,1,0,0,0,0,7
24-25,20,Girona FC,Sevilla,1,David López,David López,D,4,2,6.6,90,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,11
24-25,20,Girona FC,Sevilla,1,Blind,Daley Blind,D,1,2,6.9,90,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8
24-25,20,Girona FC,Sevilla,1,Krejcí,Ladislav Krejčí,D,0,1,6.4,90,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,15
24-25,20,Girona FC,Sevilla,1,Arnau,Arnau Martínez,D,9,3,7.4,90,1,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,0,18
24-25,20,Girona FC,Sevilla,1,Romeu,Oriol Romeu,M,1,1,6.5,69,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2
24-25,20,Girona FC,Sevilla,1,Tsygankov,Viktor Tsygankov,M,11,4,7.3,90,0,1,1,4,0,0,2,1,0,0,0,0,0,0,0,0,0,15
24-25,20,Girona FC,Sevilla,1,Bryan Gil,Bryan Gil,M,4,1,6.5,89,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,21
24-25,20,Girona FC,Sevilla,1,Iván Martín,Iván Martín,M,4,2,7.1,90,0,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,12
24-25,20,Girona FC,Sevilla,1,Asprilla,Yáser Asprilla,M,3,1,6.5,69,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
24-25,20,Girona FC,Sevilla,1,Abel Ruiz,Abel Ruíz,F,3,1,6.5,68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7
24-25,20,Girona FC,Sevilla,1,Portu,Portu,F,2,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,20,Girona FC,Sevilla,1,Van de Beek,Donny van de Beek,M,1,0,6.3,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,20,Girona FC,Sevilla,1,Solís,Jhon Solís,M,2,1,6.6,21,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Girona FC,Sevilla,1,Stuani,Cristhian Stuani,F,2,1,7.0,22,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,20,Sevilla,Girona FC,0,Nyland,Ørjan Nyland,G,6,2,6.8,90,0,0,1,0,0,0,7,1,3,0,0,0,0,0,0,0,0,6
24-25,20,Sevilla,Girona FC,0,Pedrosa,Adrià Pedrosa,D,1,0,6.4,71,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11
24-25,20,Sevilla,Girona FC,0,Gudelj,Nemanja Gudelj,D,5,1,6.7,90,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6
24-25,20,Sevilla,Girona FC,0,Carmona,José Ángel Carmona,D,4,1,6.9,90,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2
24-25,20,Sevilla,Girona FC,0,Badé,Loïc Badé,D,6,2,6.9,90,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,8
24-25,20,Sevilla,Girona FC,0,Saúl,Saúl Ñíguez,M,16,4,8.9,90,1,1,2,1,2,0,6,0,0,0,0,0,0,0,0,0,0,6
24-25,20,Sevilla,Girona FC,0,Sow,Djibril Sow,M,6,2,7.0,89,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,8
24-25,20,Sevilla,Girona FC,0,Lokonga,Albert Sambi Lokonga,M,5,1,6.8,90,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7
24-25,20,Sevilla,Girona FC,0,Lukebakio,Dodi Lukebakio,M,12,4,7.3,89,1,0,2,2,2,0,3,0,0,0,0,0,0,0,0,0,0,15
24-25,20,Sevilla,Girona FC,0,Vargas,Ruben Vargas,M,5,1,6.2,71,0,0,2,1,1,0,5,0,0,0,0,0,0,0,0,0,0,12
24-25,20,Sevilla,Girona FC,0,Romero,Isaac Romero,F,4,1,6.9,82,0,0,2,0,1,0,1,2,0,0,1,0,0,1,0,0,0,9
24-25,20,Sevilla,Girona FC,0,Juanlu,Juanlu Sánchez,M,2,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-25,20,Sevilla,Girona FC,0,Kike Salas,Kike Salas,D,2,1,6.8,19,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3
24-25,20,Sevilla,Girona FC,0,Agoume,Lucien Agoumé,M,2,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-25,20,Sevilla,Girona FC,0,Ejuke,Chidera Ejuke,F,2,1,6.8,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
24-25,20,Sevilla,Girona FC,0,Idumbo M.,Stanis Idumbo Muzambo,M,2,1,6.4,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4
24-25,20,Leganés,Atlético Madrid,1,Dmitrovic,Marko Dmitrović,G,9,3,7.5,90,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,24
24-25,20,Leganés,Atlético Madrid,1,Nastasic,Matija Nastasić,D,17,4,8.8,90,1,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,1
24-25,20,Leganés,Atlético Madrid,1,Sergio,Sergio González,D,6,2,6.7,90,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,4
24-25,20,Leganés,Atlético Madrid,1,Javi Hernández,Javier Hernández,D,1,0,6.5,45,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4
24-25,20,Leganés,Atlético Madrid,1,Rosier,Valentin Rosier,D,8,2,7.1,90,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,10
24-25,20,Leganés,Atlético Madrid,1,Tapia,Renato Tapia,D,7,2,7.3,72,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6
24-25,20,Leganés,Atlético Madrid,1,Cisse,Seydouba Cisse,M,7,1,6.9,90,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9
24-25,20,Leganés,Atlético Madrid,1,Neyou,Yvan Neyou,M,5,1,6.9,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4
24-25,20,Leganés,Atlético Madrid,1,Juan Cruz,Juan Cruz,M,5,1,6.7,90,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,13
24-25,20,Leganés,Atlético Madrid,1,Raba,Dani Raba,M,11,3,7.5,80,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,7
24-25,20,Leganés,Atlético Madrid,1,Miguel,Miguel de la Fuente,F,4,1,6.4,85,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,7
24-25,20,Leganés,Atlético Madrid,1,Jorge Sáenz,Jorge Sáenz,D,3,1,7.0,18,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
24-25,20,Leganés,Atlético Madrid,1,Brasanac,Darko Brašanac,M,3,1,6.6,45,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3
24-25,20,Leganés,Atlético Madrid,1,Roberto López,Roberto López,M,1,0,6.4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,20,Leganés,Atlético Madrid,1,Diego García,Diego García,F,2,1,6.6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Atlético Madrid,Leganés,0,Oblak,Jan Oblak,G,6,2,7.0,90,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1
24-25,20,Atlético Madrid,Leganés,0,Lenglet,Clément Lenglet,D,3,1,6.8,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5
24-25,20,Atlético Madrid,Leganés,0,Le Normand,Robin Le Normand,D,4,1,6.9,90,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,12
24-25,20,Atlético Madrid,Leganés,0,Galán,Javi Galán,D,2,1,6.7,79,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,14
24-25,20,Atlético Madrid,Leganés,0,Molina,Nahuel Molina,D,4,2,7.1,60,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8
24-25,20,Atlético Madrid,Leganés,0,De Paul,Rodrigo de Paul,M,3,2,7.5,90,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15
24-25,20,Atlético Madrid,Leganés,0,Gallagher,Conor Gallagher,M,3,1,6.8,45,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Atlético Madrid,Leganés,0,Giuliano,Giuliano Simeone,M,6,2,7.2,65,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,9
24-25,20,Atlético Madrid,Leganés,0,Barrios,Pablo Barrios,M,2,1,6.9,60,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,4
24-25,20,Atlético Madrid,Leganés,0,Griezmann,Antoine Griezmann,F,3,2,6.2,90,0,0,2,3,1,0,2,0,0,0,0,0,0,1,0,0,0,21
24-25,20,Atlético Madrid,Leganés,0,Alvarez,Julián Alvarez,F,6,3,7.2,90,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17
24-25,20,Atlético Madrid,Leganés,0,Koke,Koke,M,2,1,6.9,30,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Atlético Madrid,Leganés,0,M. Llorente,Marcos Llorente,M,2,1,6.7,30,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Atlético Madrid,Leganés,0,Samuel Lino,Samuel Lino,M,4,2,7.2,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
24-25,20,Atlético Madrid,Leganés,0,Correa,Ángel Correa,F,3,2,6.6,25,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
24-25,20,Atlético Madrid,Leganés,0,Niño,Adrián Niño,F,0,0,6.8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-25,20,Real Betis,Deportivo Alavés,1,Adrián,Adrián,G,2,1,6.8,90,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,11
24-25,20,Real Betis,Deportivo Alavés,1,Bartra,Marc Bartra,D,1,1,6.6,90,0,0,0,0,0,0,4,10,0,0,0,1,0,0,0,0,0,15
24-25,20,Real Betis,Deportivo Alavés,1,D. Llorente,Diego Llorente,D,1,1,6.3,90,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,11
24-25,20,Real Betis,Deportivo Alavés,1,Rodríguez,Ricardo Rodríguez,D,0,0,6.3,41,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
24-25,20,Real Betis,Deportivo Alavés,1,Y. Sabaly,Youssouf Sabaly,D,3,1,6.7,45,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,4
24-25,20,Real Betis,Deportivo Alavés,1,Isco,Isco,M,5,3,6.6,90,0,1,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,22
24-25,20,Real Betis,Deportivo Alavés,1,Fornals,Pablo Fornals,M,3,2,7.0,71,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,14
24-25,20,Real Betis,Deportivo Alavés,1,Cardoso,Johnny Cardoso,M,0,0,6.3,90,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,10
24-25,20,Real Betis,Deportivo Alavés,1,Jesús,Jesús Rodriguez,M,0,0,6.7,71,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,19
24-25,20,Real Betis,Deportivo Alavés,1,Abde,Abdessamad Ezzalzouli,M,4,1,6.8,60,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,8
