Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,7,Mallorca,Leo Román,G,12,4,7.7,90,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,14
24-25,7,Mallorca,Johan Mojica,D,8,3,7.3,90,0,0,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,20
24-25,7,Mallorca,Antonio Raíllo,D,10,3,7.4,90,0,0,1,0,1,0,5,3,0,0,0,0,0,0,0,0,0,7
24-25,7,Mallorca,José Copete,D,9,2,7.0,90,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3
24-25,7,Mallorca,Omar Mascarell,M,8,2,7.4,90,0,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3
24-25,7,Mallorca,Sergi Darder,M,12,4,8.4,88,0,0,5,5,1,0,6,0,0,0,0,0,0,0,0,0,0,13
24-25,7,Mallorca,Antonio Sánchez,D,7,2,7.2,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9
24-25,7,Mallorca,Robert Navarro,M,0,0,7.1,70,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,12
24-25,7,Mallorca,Samú Costa,M,7,2,6.9,88,0,0,1,0,0,0,6,5,0,0,0,0,0,0,0,0,0,14
24-25,7,Mallorca,Abdón Prats,M,9,3,7.1,63,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,6
24-25,7,Mallorca,Cyle Larin,F,4,1,6.6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
24-25,7,Mallorca,Valery Fernández,D,1,0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
24-25,7,Mallorca,Manu Morlanes,M,1,0,0.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24-25,7,Mallorca,Dani Rodríguez,M,3,1,6.8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
24-25,7,Mallorca,Takuma Asano,F,2,1,6.5,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,7,Mallorca,Vedat Muriqi,F,2,1,6.5,27,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8
24-25,7,Real Sociedad,Álex Remiro,G,7,2,7.2,90,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,0,6
24-25,7,Real Sociedad,Aritz Elustondo,D,3,1,6.5,60,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,12
24-25,7,Real Sociedad,Igor Zubeldia,D,4,1,6.6,90,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,9
24-25,7,Real Sociedad,Aihen Muñoz,D,2,1,6.8,90,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,15
24-25,7,Real Sociedad,Nayef Aguerd,D,3,2,7.1,90,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,11
24-25,7,Real Sociedad,Sergio Gómez,M,3,2,6.7,45,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,3
24-25,7,Real Sociedad,Ander Barrenetxea,M,0,1,6.6,78,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,15
24-25,7,Real Sociedad,Martín Zubimendi,M,3,2,7.1,90,0,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,14
24-25,7,Real Sociedad,Luka Sučić,M,6,3,7.6,90,0,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,9
24-25,7,Real Sociedad,Beñat Turrientes,M,2,0,6.7,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
24-25,7,Real Sociedad,Mikel Oyarzabal,F,2,0,6.4,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
24-25,7,Real Sociedad,Álvaro Odriozola,D,1,1,6.5,30,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,10
24-25,7,Real Sociedad,Takefusa Kubo,F,2,2,6.8,45,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
24-25,7,Real Sociedad,Pablo Marín,M,4,2,6.8,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
24-25,7,Real Sociedad,Orri Steinn Óskarsson,F,2,1,6.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24-25,7,Real Sociedad,Sheraldo Becker,F,3,2,7.0,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
24-25,7,Leganés,Juan Soriano,G,3,1,6.6,90,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,2
24-25,7,Leganés,Matija Nastasić,D,-1,0,5.9,90,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,11
24-25,7,Leganés,Jorge Sáenz,D,5,2,6.8,72,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,14
24-25,7,Leganés,Sergio González,D,3,2,7.2,90,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,12
24-25,7,Leganés,Enric Franquesa,D,2,1,6.6,90,0,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,13
24-25,7,Leganés,Valentin Rosier,D,-1,1,6.8,90,0,0,1,1,0,0,6,2,0,0,0,0,0,0,0,0,0,17
24-25,7,Leganés,Darko Brašanac,M,3,0,6.6,72,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,6
24-25,7,Leganés,Roberto López,M,2,1,6.8,80,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,12
24-25,7,Leganés,Seydouba Cisse,M,5,2,7.4,90,0,0,2,0,0,0,15,2,0,0,0,0,0,0,0,0,0,11
24-25,7,Leganés,Miguel de la Fuente,F,0,1,7.0,90,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,13
24-25,7,Leganés,Sébastien Haller,F,3,2,7.2,80,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,11
24-25,7,Leganés,Renato Tapia,M,0,0,6.3,18,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4
24-25,7,Leganés,Juan Cruz,M,4,2,7.1,18,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7
