Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_Fantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,30,Rayo Vallecano,Espanyol,1,Batalla,Augusto Batalla,G,1,1,6.6,90,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,5
24-25,30,Rayo Vallecano,Espanyol,1,Lejeune,Florian Lejeune,D,-1,1,7.1,90,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8
24-25,30,Rayo Vallecano,Espanyol,1,Aridane,Aridane Hernández,D,0,0,5.7,45,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3
24-25,30,Rayo Vallecano,Espanyol,1,Ratiu,Andrei Rațiu,D,1,1,6.7,90,0,0,1,1,0,0,6,5,0,0,0,0,0,0,0,0,0,8
24-25,30,Rayo Vallecano,Espanyol,1,Pep Chavarría,Josep Chavarría,D,1,1,6.7,75,0,0,2,2,0,0,1,4,0,0,0,0,0,0,0,0,0,8
24-25,30,Rayo Vallecano,Espanyol,1,Álvaro García,Álvaro García,M,0,1,7.1,90,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,15
24-25,30,Rayo Vallecano,Espanyol,1,Unai López,Unai López,M,2,2,7.1,75,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,10
24-25,30,Rayo Vallecano,Espanyol,1,Pedro Díaz,Pedro Díaz,M,2,1,6.9,90,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,19
24-25,30,Rayo Vallecano,Espanyol,1,De Frutos,Jorge de Frutos,M,-1,1,6.4,90,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,22
24-25,30,Rayo Vallecano,Espanyol,1,Pathé Ciss,Pathé Ismaël Ciss,M,1,1,6.3,85,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,8
24-25,30,Rayo Vallecano,Espanyol,1,Nteka,Randy Nteka,F,0,0,6.5,45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4
24-25,30,Rayo Vallecano,Espanyol,1,Espino,Alfonso Espino,D,-1,0,6.7,45,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4
24-25,30,Rayo Vallecano,Espanyol,1,Embarba,Adrián Embarba,F,3,2,7.0,15,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,4
24-25,30,Rayo Vallecano,Espanyol,1,Trejo,Óscar Trejo,M,1,0,6.3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
24-25,30,Rayo Vallecano,Espanyol,1,Isi,Isi Palazón,M,3,2,7.3,45,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6
24-25,30,Rayo Vallecano,Espanyol,1,De Tomás,Raúl de Tomás,F,1,0,6.4,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,30,Espanyol,Rayo Vallecano,0,Joan Garcia,Joan García,G,12,4,8.1,90,0,0,0,0,0,0,12,1,5,0,0,0,0,0,0,0,0,16
24-25,30,Espanyol,Rayo Vallecano,0,Cabrera,Leandro Cabrera,D,17,4,8.1,90,1,0,0,1,1,0,2,11,0,0,0,0,0,0,0,0,0,8
24-25,30,Espanyol,Rayo Vallecano,0,Kumbulla,Marash Kumbulla,D,7,1,6.9,90,0,0,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,4
24-25,30,Espanyol,Rayo Vallecano,0,El Hilali,Omar El Hilali,D,9,2,7.4,90,0,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,12
24-25,30,Espanyol,Rayo Vallecano,0,Romero,Carlos Romero,D,9,2,7.4,90,0,0,2,0,1,0,3,6,0,0,0,0,0,0,0,0,0,7
24-25,30,Espanyol,Rayo Vallecano,0,Edu Expósito,Edu Expósito,M,13,4,7.8,83,0,1,3,1,0,0,7,0,0,0,0,0,0,0,0,0,0,14
24-25,30,Espanyol,Rayo Vallecano,0,Lozano,Pol Lozano,M,4,0,6.7,64,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4
24-25,30,Espanyol,Rayo Vallecano,0,Urko,Urko González,M,9,3,7.4,90,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11
