Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,6,Deportivo Alavés,Sevilla,1,Sivera,Antonio Sivera,G,2,1,6.8,90,0,0,1,0,0,0,4,2,1,0,0,0,0,0,0,0,0,13
24-25,6,Deportivo Alavés,Sevilla,1,Abqar,Abdelkabir Abqar,D,5,1,6.8,90,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,13
24-25,6,Deportivo Alavés,Sevilla,1,Manu Sánchez,Manuel Sánchez,D,3,1,6.5,90,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,11
24-25,6,Deportivo Alavés,Sevilla,1,Sedlar,Aleksandar Sedlar,D,3,1,7.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
24-25,6,Deportivo Alavés,Sevilla,1,Tenaglia,Nahuel Tenaglia,D,6,3,7.2,90,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,23
24-25,6,Deportivo Alavés,Sevilla,1,Jordan,Joan Jordán,M,2,1,6.8,89,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,16
24-25,6,Deportivo Alavés,Sevilla,1,Guevara,Ander Guevara,M,4,1,6.4,71,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10
24-25,6,Deportivo Alavés,Sevilla,1,Carlos Vicente,Carlos Vicente,M,12,4,7.3,90,1,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0,8
24-25,6,Deportivo Alavés,Sevilla,1,Toni Martinez,Toni Martínez,F,3,1,6.7,76,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,15
24-25,6,Deportivo Alavés,Sevilla,1,Stoichkov,Stoichkov,M,8,2,7.2,71,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,7
24-25,6,Deportivo Alavés,Sevilla,1,Carlos Martín,Carlos Martín,M,11,3,7.5,77,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,11
24-25,6,Deportivo Alavés,Sevilla,1,Mouriño,Santiago Mouriño,D,2,1,0.0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
24-25,6,Deportivo Alavés,Sevilla,1,Guridi,Jon Guridi,M,0,0,6.4,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,6,Deportivo Alavés,Sevilla,1,Blanco,Antonio Blanco,M,2,1,6.4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24-25,6,Deportivo Alavés,Sevilla,1,Rebbach,Abderrahman Rebbach,F,1,0,6.4,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
24-25,6,Deportivo Alavés,Sevilla,1,Kike García,Kike García,F,2,1,6.5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
24-25,6,Sevilla,Deportivo Alavés,0,Nyland,Ørjan Nyland,G,4,2,6.6,90,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,5
24-25,6,Sevilla,Deportivo Alavés,0,Pedrosa,Adrià Pedrosa,D,-2,0,6.0,66,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13
24-25,6,Sevilla,Deportivo Alavés,0,Nianzou,Tanguy Nianzou,D,1,1,6.8,70,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2
24-25,6,Sevilla,Deportivo Alavés,0,Carmona,José Ángel Carmona,D,0,1,6.4,90,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,22
24-25,6,Sevilla,Deportivo Alavés,0,Kike Salas,Kike Salas,D,-2,1,7.1,90,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,16
24-25,6,Sevilla,Deportivo Alavés,0,Saúl,Saúl Ñíguez,M,7,3,6.9,90,0,1,2,0,1,0,6,3,0,0,0,0,0,0,0,0,0,10
24-25,6,Sevilla,Deportivo Alavés,0,Sow,Djibril Sow,M,3,1,6.4,70,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
24-25,6,Sevilla,Deportivo Alavés,0,Agoume,Lucien Agoumé,M,3,1,6.8,66,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5
24-25,6,Sevilla,Deportivo Alavés,0,Lukebakio,Dodi Lukebakio,F,11,4,7.8,90,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19
24-25,6,Sevilla,Deportivo Alavés,0,Peque,Peque Fernández,F,3,2,6.6,90,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,13
24-25,6,Sevilla,Deportivo Alavés,0,Romero,Isaac Romero,F,2,1,6.7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,6,Sevilla,Deportivo Alavés,0,Gudelj,Nemanja Gudelj,M,2,1,6.7,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,6,Sevilla,Deportivo Alavés,0,Badé,Loïc Badé,D,0,1,6.6,20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8
24-25,6,Sevilla,Deportivo Alavés,0,Barco,Valentín Barco,D,1,0,6.4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
24-25,6,Sevilla,Deportivo Alavés,0,Ejuke,Chidera Ejuke,F,2,1,6.7,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
24-25,6,Sevilla,Deportivo Alavés,0,Iheanacho,Kelechi Iheanacho,F,1,0,6.3,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
24-25,6,Real Valladolid,Real Sociedad,1,Hein,Karl Hein,G,10,3,7.5,90,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,8
24-25,6,Real Valladolid,Real Sociedad,1,Luis Pérez,Luis Pérez,D,8,3,7.3,90,0,0,3,3,1,0,4,0,0,0,0,0,0,0,0,0,0,12
24-25,6,Real Valladolid,Real Sociedad,1,Özkacar,Cenk Özkaçar,D,2,1,6.6,14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24-25,6,Real Valladolid,Real Sociedad,1,Rosa,Lucas Rosa,D,7,2,6.9,90,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,14
24-25,6,Real Valladolid,Real Sociedad,1,Juma Bah,Abdulay Juma Bah,D,0,0,7.5,78,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4
24-25,6,Real Valladolid,Real Sociedad,1,Raul Moro,Raúl Moro,M,7,2,7.0,78,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,9
24-25,6,Real Valladolid,Real Sociedad,1,Meseguer,Víctor Meseguer,M,5,1,6.7,90,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,12
24-25,6,Real Valladolid,Real Sociedad,1,Amallah,Selim Amallah,M,2,1,6.4,45,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7
