Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,5,Real Betis,Leganés,1,Rui Silva,Rui Silva,G,9,2,6.8,90,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,6
24-25,5,Real Betis,Leganés,1,D. Llorente,Diego Llorente,D,6,2,7.0,90,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
24-25,5,Real Betis,Leganés,1,Y. Sabaly,Youssouf Sabaly,D,7,2,6.8,62,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6
24-25,5,Real Betis,Leganés,1,Perraud,Romain Perraud,D,8,3,7.6,90,0,0,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,15
24-25,5,Real Betis,Leganés,1,Natan,Natan,D,10,3,7.5,90,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,2
24-25,5,Real Betis,Leganés,1,Carvalho,William Carvalho,M,1,0,6.5,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
24-25,5,Real Betis,Leganés,1,Fornals,Pablo Fornals,M,8,3,7.4,87,0,0,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,19
24-25,5,Real Betis,Leganés,1,Marc Roca,Marc Roca,M,7,2,7.2,90,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,6
24-25,5,Real Betis,Leganés,1,Chimy,Chimy Ávila,M,5,2,7.0,61,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13
24-25,5,Real Betis,Leganés,1,Abde,Abdessamad Ezzalzouli,M,11,4,7.7,90,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,25
