Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,13,Las Palmas,Jasper Cillessen,G,7,3,7.6,90,0,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,0,20
24-25,13,Las Palmas,Álex Muñoz,D,2,0,7.4,90,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,11
24-25,13,Las Palmas,Alex Suárez,D,6,1,6.6,90,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,10
24-25,13,Las Palmas,Viti Rozada,D,5,2,7.3,90,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10
24-25,13,Las Palmas,Scott McKenna,D,0,0,6.8,90,0,0,1,0,0,0,2,7,0,0,0,0,0,0,1,0,0,18
24-25,13,Las Palmas,Javier Muñoz,M,4,1,6.6,90,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,8
24-25,13,Las Palmas,Kirian Rodríguez,M,13,4,7.5,89,0,1,2,2,0,0,9,1,0,0,0,0,0,0,0,0,0,9
24-25,13,Las Palmas,Dário Essugo,M,3,0,6.7,79,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,13
24-25,13,Las Palmas,Alberto Moleiro,F,8,2,6.9,64,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
24-25,13,Las Palmas,Sandro Ramírez,F,11,3,7.4,64,0,1,2,2,0,0,3,3,0,0,0,0,0,0,0,0,0,11
24-25,13,Las Palmas,Fábio Silva,F,9,2,6.8,79,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,17
24-25,13,Las Palmas,José Campaña,M,2,1,6.9,26,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1
24-25,13,Las Palmas,Benito Ramírez,M,2,1,6.6,11,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
