Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,22,Leganés,Rayo Vallecano,1,Dmitrovic,Marko Dmitrović,G,2,1,6.6,90,0,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,25
24-25,22,Leganés,Rayo Vallecano,1,Nastasic,Matija Nastasić,D,3,0,6.6,90,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6
24-25,22,Leganés,Rayo Vallecano,1,Sergio,Sergio González,D,0,1,5.7,47,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3
24-25,22,Leganés,Rayo Vallecano,1,Rosier,Valentin Rosier,D,8,2,7.1,90,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,10
24-25,22,Leganés,Rayo Vallecano,1,Altimira,Adrià Altimira,D,6,1,6.4,62,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,8
24-25,22,Leganés,Rayo Vallecano,1,Óscar,Óscar Rodríguez,M,3,1,6.8,81,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,0,0,10
24-25,22,Leganés,Rayo Vallecano,1,Cisse,Seydouba Cisse,M,2,1,6.7,23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24-25,22,Leganés,Rayo Vallecano,1,Neyou,Yvan Neyou,M,1,0,6.9,90,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,8
24-25,22,Leganés,Rayo Vallecano,1,Juan Cruz,Juan Cruz,D,4,2,7.2,90,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,10
24-25,22,Leganés,Rayo Vallecano,1,Munir,Munir El Haddadi,F,2,1,6.4,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8
24-25,22,Leganés,Rayo Vallecano,1,Raba,Dani Raba,M,6,2,7.1,90,0,0,3,1,0,0,7,1,0,0,0,0,0,0,0,0,0,18
24-25,22,Leganés,Rayo Vallecano,1,Jorge Sáenz,Jorge Sáenz,D,3,1,6.8,45,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,5
24-25,22,Leganés,Rayo Vallecano,1,Brasanac,Darko Brašanac,M,4,1,6.8,28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
24-25,22,Leganés,Rayo Vallecano,1,Tapia,Renato Tapia,M,4,1,6.9,67,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5
24-25,22,Leganés,Rayo Vallecano,1,Miguel,Miguel de la Fuente,F,-1,0,5.8,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
