Temporada,Jornada,Equipo,Jugador,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,19,Mallorca,Leo Román,G,0,0,6.8,90,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,13
24-25,19,Mallorca,Antonio Raíllo,D,-3,0,5.8,90,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
24-25,19,Mallorca,Pablo Maffeo,D,6,2,7.2,78,0,1,1,1,0,0,6,3,0,0,0,0,0,0,0,0,0,19
24-25,19,Mallorca,Valery Fernández,M,0,0,6.6,67,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
24-25,19,Mallorca,Martin Valjent,D,-1,0,5.9,90,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,8
24-25,19,Mallorca,Sergi Darder,M,3,2,7.2,67,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10
24-25,19,Mallorca,Manu Morlanes,M,0,0,6.1,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
24-25,19,Mallorca,Antonio Sánchez,F,1,0,6.6,78,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
24-25,19,Mallorca,Samú Costa,M,0,0,5.8,90,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,15
24-25,19,Mallorca,Vedat Muriqi,F,6,1,7.2,79,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,9
24-25,19,Mallorca,Mateu Morey,D,-1,0,4.3,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
24-25,19,Mallorca,Dani Rodríguez,M,0,0,6.4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24-25,19,Mallorca,Robert Navarro,M,1,1,6.4,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
24-25,19,Mallorca,Abdón Prats,F,-1,0,6.4,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
24-25,19,Mallorca,Cyle Larin,F,0,0,6.4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,19,Mallorca,Johan Mojica,D,0,0,5.1,90,0,0,1,1,0,0,5,4,0,0,0,1,0,0,0,0,0,21
24-25,19,Barcelona,Iñaki Peña,G,6,2,6.7,90,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,3
24-25,19,Barcelona,Iñigo Martínez,D,5,2,7.1,90,0,0,1,0,0,0,2,7,0,0,0,0,0,0,0,0,0,13
24-25,19,Barcelona,Jules Koundé,D,5,2,7.0,90,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,12
24-25,19,Barcelona,Alejandro Balde,D,5,2,6.9,90,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,12
24-25,19,Barcelona,Pau Cubarsí,D,2,1,6.5,90,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,13
24-25,19,Barcelona,Pedri,M,5,2,7.1,82,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,9
24-25,19,Barcelona,Marc Casadó,M,2,1,7.0,82,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12
24-25,19,Barcelona,Dani Olmo,M,3,1,7.1,72,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,7
24-25,19,Barcelona,Raphinha,M,18,4,8.9,87,2,0,4,1,4,0,3,0,0,0,0,0,0,0,0,0,0,9
24-25,19,Barcelona,Ferran Torres,F,10,3,7.4,72,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7
24-25,19,Barcelona,Lamine Yamal,M,13,4,7.6,90,0,1,2,1,1,0,4,1,0,0,1,0,0,0,0,0,0,20
24-25,19,Barcelona,Eric García,D,1,0,6.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
24-25,19,Barcelona,Frenkie de Jong,M,14,4,8.5,18,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
24-25,19,Barcelona,Pablo Gavi,M,4,2,7.0,8,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
24-25,19,Barcelona,Fermín López,M,2,1,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-25,19,Barcelona,Pau Víctor,F,8,2,7.6,18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
24-25,19,Athletic Club,Julen Agirrezabala,G,9,3,7.3,90,0,0,0,0,0,0,6,0,4,0,0,1,1,0,0,0,0,12
24-25,19,Athletic Club,Yeray Álvarez,D,4,1,6.7,90,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,10
24-25,19,Athletic Club,Andoni Gorosabel,D,3,1,6.6,79,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,8
24-25,19,Athletic Club,Daniel Vivian,D,5,2,7.2,90,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,11
