Temporada,Jornada,Equipo,Equipo_Rival,Es_Local,Jugador_FutFantasy,Jugador_SofaScore,Posicion,Puntos,Relevo,Nota_SofaScore,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas
24-25,11,Espanyol,Sevilla,1,Joan Garcia,Joan García,G,2,1,6.3,90,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1
24-25,11,Espanyol,Sevilla,1,Cabrera,Leandro Cabrera,D,1,2,7.2,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,18
24-25,11,Espanyol,Sevilla,1,Tejero,Álvaro Tejero,M,2,2,7.2,90,0,0,5,5,0,0,7,1,0,0,0,0,0,0,0,0,0,24
24-25,11,Espanyol,Sevilla,1,Oliván,Brian Oliván,D,-2,0,6.5,58,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,13
24-25,11,Espanyol,Sevilla,1,Kumbulla,Marash Kumbulla,D,4,1,6.7,90,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0,0,11
24-25,11,Espanyol,Sevilla,1,El Hilali,Omar El Hilali,D,1,1,6.7,68,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
24-25,11,Espanyol,Sevilla,1,Lozano,Pol Lozano,M,1,1,6.8,90,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,13
24-25,11,Espanyol,Sevilla,1,Kral,Alex Král,M,3,1,6.2,90,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,8
24-25,11,Espanyol,Sevilla,1,Jofre,Jofre Carreras,M,3,1,6.5,68,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,11
24-25,11,Espanyol,Sevilla,1,Puado,Javi Puado,F,1,1,6.5,81,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
24-25,11,Espanyol,Sevilla,1,Cheddira,Walid Cheddira,F,0,0,6.9,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
24-25,11,Espanyol,Sevilla,1,Romero,Carlos Romero,D,3,2,6.9,32,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,8
24-25,11,Espanyol,Sevilla,1,Pere Milla,Pere Milla,M,2,1,6.6,22,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
24-25,11,Espanyol,Sevilla,1,Roca,Antoniu Roca,F,2,1,6.7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
24-25,11,Espanyol,Sevilla,1,Cardona,Irvin Cardona,F,2,1,6.5,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
24-25,11,Espanyol,Sevilla,1,Véliz,Alejo Véliz,F,2,1,6.7,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
