Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20394,2025/26,33,Barcelona,Defensa,5.0,30,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20400,2025/26,33,Real Madrid,Defensa,21.0,23,ES,50%,Sano,25,2,2,0,5,1,0.5,156,6.2,0,1,1
Aarón,Aarón,20401,2025/26,33,Real Oviedo,Portero,27.0,30,ES,95%,Sano,31,0,0,2,2,0,1.4,224,7.2,12,10,0
Abde,Ez Abde,20396,2025/26,33,Betis,Delantero,27.0,24,MA,90%,Sano,22,6,5,0,3,0,1.5,157,7.1,13,2,5
Abdon,Abdón,20398,2025/26,33,Mallorca,Delantero,3.0,33,ES,15%,Sano,11,0,0,0,0,0,1,16,1.5,1,0,0
Abel Ruiz,Abel Ruiz,20396,2025/26,33,Girona,Delantero,4.0,26,ES,0%,Lesionado/Duda,9,0,0,0,0,0,1.5,18,2,2,4,2
Abqar,A. abqar,20402,2025/26,33,Getafe,Defensa,8.0,27,MA,80%,Sano,17,0,2,0,7,1,1,60,3.5,8,0,0
Adam Boayar,Adam B.,20395,2025/26,33,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20397,2025/26,33,Sevilla,Delantero,10.0,26,NG,80%,Sano,26,8,3,0,1,0,1.2,119,4.6,9,2,1
Adrián,Adrián,20396,2025/26,33,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20395,2025/26,33,Elche,Defensa,10.0,25,AT,80%,Sano,29,0,0,0,6,1,1.5,119,4.1,9,4,3
Agirrezabala,Agirrezabala,20398,2025/26,33,Valencia,Portero,18.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20397,2025/26,33,Sevilla,Mediocampista,9.0,24,FR,70%,Sano,27,1,2,0,10,0,0.8,101,3.7,4,0,-1
Aguado,M. Aguado,20395,2025/26,33,Elche,Mediocampista,9.0,26,ES,50%,Sano,29,1,1,0,2,0,1.2,113,3.9,0,4,5
Ahijado,Lucas,20401,2025/26,33,Real Oviedo,Defensa,7.0,31,ES,20%,Sano,15,0,1,0,2,0,-1,42,2.8,0,0,0
Aidoo,Aidoo Jr,20394,2025/26,33,Celta,Defensa,6.0,30,GH,50%,Sano,8,0,0,0,0,0,0.3,26,3.3,-1,2,-1
Aihen,Aihen,20402,2025/26,33,Real Sociedad,Defensa,5.0,28,ES,90%,Sano,17,0,0,0,1,0,1,30,1.8,1,0,0
Aitor,Aitor Fdez,20393,2025/26,33,Osasuna,Portero,1.0,34,ES,5%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20399,2025/26,33,Rayo,Delantero,6.0,22,MA,70%,Sano,9,0,0,0,2,0,1,50,2.8,2,0,0
Alaba,Alaba,20400,2025/26,33,Real Madrid,Defensa,4.0,33,AT,10%,Sano,8,0,0,0,1,0,-1,18,2.3,0,0,0
Alemão,Alemao,20399,2025/26,33,Rayo,Delantero,6.0,28,BR,20%,Sano,19,1,0,0,1,0,0.9,41,2.2,1,3,0
Alexander-Arnold,Trent,20400,2025/26,33,Real Madrid,Defensa,8.0,27,EN,50%,Sano,15,0,4,0,1,0,0.8,63,4.2,0,6,7
Alexis,Alexis Sánchez,20397,2025/26,33,Sevilla,Delantero,8.0,37,CL,30%,Sano,22,3,1,0,1,0,0.6,75,3.4,2,0,1
Aleñá,Aleñá,20400,2025/26,33,Alavés,Mediocampista,9.0,28,ES,50%,Sano,31,0,4,0,4,0,0.9,120,3.9,2,2,0
Alfon,Alfon,20401,2025/26,33,Villarreal,Delantero,6.0,26,ES,50%,Sano,6,1,0,0,0,0,1.6,50,3.1,10,2,3
Alhassane,A. Rahim,20401,2025/26,33,Real Oviedo,Defensa,8.0,24,NE,30%,Sano,22,0,0,0,2,0,0.9,61,2.8,0,2,2
Almada,Almada,20395,2025/26,33,Atlético,Mediocampista,9.0,24,AR,50%,Sano,22,3,1,0,1,0,0.9,103,4.7,4,1,0
Almeida,Almeida,20398,2025/26,33,Valencia,Mediocampista,8.0,25,PT,30%,Sano,19,0,1,0,0,0,1.2,81,4.3,0,3,7
Altimira,Altimira,20396,2025/26,33,Betis,Mediocampista,8.0,24,ES,50%,Sano,22,1,1,0,3,0,1.6,79,3.6,1,7,4
Alvarez,Julián Alvarez,20395,2025/26,33,Atlético,Delantero,22.0,26,AR,50%,Sano,29,8,4,0,2,0,1.5,187,6.4,0,0,8
Alvaro R.,Álvaro,20395,2025/26,33,Elche,Delantero,10.0,21,UY,50%,Sano,27,5,4,0,1,0,1,122,4.5,2,2,1
André Silva,André Silva,20395,2025/26,33,Elche,Delantero,10.0,30,PT,50%,Sano,24,7,0,0,2,0,0.7,106,4.4,4,2,0
Antonio,Antonio Sánchez,20398,2025/26,33,Mallorca,Mediocampista,7.0,28,ES,30%,Sano,26,0,0,0,4,1,0.9,52,2,2,1,3
Antony,Antony,20396,2025/26,33,Betis,Delantero,21.0,26,BR,0%,Sano,26,7,5,0,5,1,0.3,164,6.3,0,3,1
Arambarri,Arambarri,20402,2025/26,33,Getafe,Mediocampista,17.0,30,UY,95%,Sano,30,6,2,0,5,0,1.4,167,5.6,0,4,12
Aramburu,Aramburu,20402,2025/26,33,Real Sociedad,Defensa,8.0,23,VE,60%,Sano,29,1,0,0,9,0,1.7,72,2.5,3,9,0
Araújo,R. Araujo,20394,2025/26,33,Barcelona,Defensa,8.0,27,UY,40%,Sano,20,3,0,0,2,0,1.3,76,3.8,5,1,15
Areso,Areso,20393,2025/26,33,Athletic,Defensa,9.0,26,ES,20%,Sano,24,0,1,0,3,0,0.5,75,3.1,0,1,0
Aritz,Aritz,20402,2025/26,33,Real Sociedad,Defensa,5.0,32,ES,50%,Sano,12,0,0,0,0,0,1.2,23,1.9,1,2,2
Arnau,Arnau,20396,2025/26,33,Girona,Defensa,15.0,22,ES,80%,Sano,28,1,2,0,6,0,1.7,148,5.3,8,8,8
Arriaga,Arriaga,20397,2025/26,33,Levante,Mediocampista,8.0,28,HN,20%,Sano,21,1,1,0,6,1,1.1,73,3.5,3,0,2
Artero,Andreev,20396,2025/26,33,Girona,Portero,1.0,23,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Asano,Asano,20398,2025/26,33,Mallorca,Delantero,5.0,31,JP,20%,Sano,16,1,0,0,2,0,1,33,2.1,3,0,0
Asencio,Asencio,20400,2025/26,33,Real Madrid,Defensa,12.0,23,ES,0%,Lesionado/Duda,20,2,0,0,3,0,1,98,4.9,5,0,0
Aspas,Iago Aspas,20394,2025/26,33,Celta,Delantero,8.0,38,ES,30%,Sano,25,4,3,0,3,0,0.7,115,4.6,2,0,3
Ayoze,Ayoze,20401,2025/26,33,Villarreal,Delantero,7.0,32,ES,20%,Sano,18,2,3,0,3,0,-1,66,3.7,0,0,0
Azpilicueta,Azpilicueta,20397,2025/26,33,Sevilla,Defensa,8.0,36,ES,0%,Lesionado/Duda,15,0,1,0,4,0,1,51,3.4,0,0,3
Baena,Álex Baena,20395,2025/26,33,Atlético,Mediocampista,10.0,24,ES,70%,Sano,22,2,2,0,4,0,1,110,5,0,3,2
Bailly,E. Bailly,20401,2025/26,33,Real Oviedo,Defensa,9.0,32,CI,60%,Sano,11,1,0,0,3,0,1.6,58,5.3,14,6,-3
Bakambu,Bakambu,20396,2025/26,33,Betis,Delantero,6.0,35,CD,10%,Sano,15,3,0,0,0,0,1.5,47,3.1,0,0,1
Balde,Álex Balde,20394,2025/26,33,Barcelona,Defensa,10.0,22,ES,30%,Sano,22,0,2,0,2,0,1,101,4.6,3,0,0
Balliu,Balliu,20399,2025/26,33,Rayo,Defensa,4.0,34,AL,10%,Sano,11,0,0,0,2,0,-1,16,1.5,0,0,0
Bardghji,Bardghji,20394,2025/26,33,Barcelona,Delantero,6.0,20,SE,10%,Sano,16,1,1,0,0,0,-1,51,3.2,0,0,0
Barrenetxea,Barrenetxea,20402,2025/26,33,Real Sociedad,Mediocampista,14.0,24,ES,40%,Sano,25,3,4,0,3,0,1.2,130,5.2,6,5,4
Barrios,Barrios,20395,2025/26,33,Atlético,Mediocampista,18.0,22,ES,30%,Sano,21,1,1,0,0,0,-1,123,5.9,0,0,0
Bartra,Bartra,20396,2025/26,33,Betis,Defensa,19.0,35,ES,80%,Sano,23,1,0,0,3,0,1.5,135,5.9,0,10,0
Batalla,A. Batalla,20399,2025/26,33,Rayo,Portero,20.0,29,AR,70%,Lesionado/Duda,30,0,0,0,4,0,1.7,181,6,0,13,4
Bellerín,Bellerín,20396,2025/26,33,Betis,Defensa,11.0,31,ES,50%,Sano,20,1,3,0,2,0,1.5,96,4.8,5,7,4
Bellingham,Bellingham,20400,2025/26,33,Real Madrid,Mediocampista,26.0,22,EN,70%,Sano,21,4,3,0,1,0,0.8,147,7,6,2,2
Beltrán,Fran Beltrán,20396,2025/26,33,Girona,Mediocampista,9.0,27,ES,60%,Sano,11,1,0,0,3,0,1.3,81,3.9,2,4,5
Beltrán,Lucas Beltrán,20398,2025/26,33,Valencia,Mediocampista,9.0,25,AR,70%,Sano,25,1,2,0,1,0,0.8,85,3.4,3,2,0
Benito,I. Benito,20393,2025/26,33,Osasuna,Delantero,5.0,23,ES,0%,Lesionado/Duda,5,1,0,0,1,0,-1,19,3.8,0,0,0
Berenguer,Berenguer,20393,2025/26,33,Athletic,Delantero,13.0,30,ES,50%,Sano,26,2,3,0,4,0,1,131,5,2,0,6
Bergstrom,Bergstrom,20398,2025/26,33,Mallorca,Portero,9.0,23,FI,0%,Lesionado/Duda,5,0,0,0,1,0,-1,36,7.2,0,0,0
Bernal,Marc Bernal,20394,2025/26,33,Barcelona,Mediocampista,6.0,18,ES,0%,Lesionado/Duda,17,2,1,0,4,0,1,64,3.8,0,2,6
Bigas,R.P. Bigas,20395,2025/26,33,Elche,Defensa,10.0,35,ES,50%,Sano,22,0,2,0,5,1,0.5,93,4.2,0,1,3
Birmancevic,Birma,20402,2025/26,33,Getafe,Delantero,3.0,28,RS,10%,Sano,4,0,0,0,0,0,1,7,1.8,1,2,0
Blanco,Blanco,20400,2025/26,33,Alavés,Mediocampista,10.0,25,ES,90%,Sano,29,1,2,0,7,0,1.5,125,4.3,4,7,1
Blind,Daley Blind,20396,2025/26,33,Girona,Defensa,13.0,36,NL,80%,Sano,28,0,0,0,1,0,1.6,140,5,0,8,5
Boiro,Maroan,20393,2025/26,33,Athletic,Defensa,4.0,23,ES,10%,Sano,9,0,0,0,1,0,-1,18,2,0,0,0
Borbas,T. Borbas,20401,2025/26,33,Real Oviedo,Delantero,3.0,24,UY,20%,Sano,7,0,0,0,1,0,1,9,1.3,1,2,0
Boselli,Boselli,20402,2025/26,33,Getafe,Defensa,5.0,22,UY,60%,Sano,8,0,0,0,2,0,1.9,23,2.9,2,7,0
Boyomo,Boyomo,20393,2025/26,33,Osasuna,Defensa,10.0,24,CM,95%,Sano,23,1,1,0,5,0,1.9,97,4.2,0,0,9
Boyé,Lucas Boyé,20400,2025/26,33,Alavés,Delantero,19.0,30,AR,60%,Sano,25,11,1,0,4,1,1.3,147,5.9,8,8,1
Boñar,J. Boñar,20395,2025/26,33,Atlético,Defensa,9.0,20,ES,50%,Sano,1,1,0,0,0,0,2.5,9,9,9,0,0
Brahim,Brahim,20400,2025/26,33,Real Madrid,Mediocampista,8.0,26,MA,30%,Sano,23,0,5,0,1,0,1.1,100,4.3,11,3,4
