ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20393,2025/26,33,Athletic,1,Valverde,20%,40%,86.8%
20393,2025/26,33,Osasuna,0,Alessio Lisci,20%,80%,92.1%
20398,2025/26,33,Mallorca,1,Demichelis,20%,80%,88.8%
20398,2025/26,33,Valencia,0,Corberán,20%,60%,94.9%
20396,2025/26,33,Girona,1,Míchel,20%,80%,92.4%
20396,2025/26,33,Betis,0,Manuel Pellegrini,20%,60%,87.8%
20400,2025/26,33,Real Madrid,1,Arbeloa,40%,60%,86.9%
20400,2025/26,33,Alavés,0,Quique,20%,60%,90.7%
20395,2025/26,33,Elche,1,Éder Sarabia,20%,40%,79.5%
20395,2025/26,33,Atlético,0,Simeone,60%,40%,83.8%
20402,2025/26,33,Real Sociedad,1,Matarazzo,40%,40%,84.6%
20402,2025/26,33,Getafe,0,Pepe Bordalás,20%,80%,92.6%
20394,2025/26,33,Barcelona,1,Flick,40%,60%,87.3%
20394,2025/26,33,Celta,0,Giráldez,100%,40%,76.7%
20397,2025/26,33,Levante,1,Luis Castro,20%,60%,89.1%
20397,2025/26,33,Sevilla,0,Luis García,20%,60%,46.8%
20399,2025/26,33,Rayo,1,Íñigo Pérez,60%,60%,84.6%
20399,2025/26,33,Espanyol,0,Manolo González,20%,60%,87.2%
20401,2025/26,33,Real Oviedo,1,Almada,20%,60%,94.8%
20401,2025/26,33,Villarreal,0,Marcelino,20%,60%,84.5%
