Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20415,2025/26,35,Barcelona,Defensa,5.0,30,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20415,2025/26,35,Real Madrid,Defensa,20.0,23,ES,50%,Sano,26,2,2,0,5,1,1,162,6.2,0,0,6
Aarón,Aarón,20420,2025/26,35,Real Oviedo,Portero,25.0,30,ES,95%,Sano,34,0,1,2,3,0,1.3,241,7.1,4,10,3
Abde,Ez Abde,20421,2025/26,35,Betis,Delantero,29.0,24,MA,90%,Sano,25,8,8,0,3,0,2.6,193,7.7,15,6,15
Abdon,Abdón,20418,2025/26,35,Mallorca,Delantero,3.0,33,ES,5%,Sano,12,0,0,0,0,0,1,17,1.4,0,1,0
Abed,Huseini,20417,2025/26,35,Levante,Defensa,1.0,21,IL,10%,Sano,5,0,0,0,0,0,-1,0,0,0,N/A,0
Abel Ruiz,Abel Ruiz,20419,2025/26,35,Girona,Delantero,4.0,26,ES,0%,Lesionado/Duda,9,0,0,0,0,0,-1,18,2,0,0,0
Abqar,A. abqar,20420,2025/26,35,Getafe,Defensa,8.0,27,MA,30%,Sano,20,0,2,0,9,1,0.8,66,3.3,-1,2,5
Adam Boayar,Adam B.,20416,2025/26,35,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20422,2025/26,35,Sevilla,Delantero,10.0,26,NG,30%,Sano,28,8,3,0,2,0,0.7,122,4.4,0,2,1
Adrián,Adrián,20421,2025/26,35,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20416,2025/26,35,Elche,Defensa,10.0,25,AT,80%,Sano,32,1,1,0,6,1,1.3,143,4.5,1,6,17
Agirrezabala,Agirrezabala,20413,2025/26,35,Valencia,Portero,17.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20422,2025/26,35,Sevilla,Mediocampista,9.0,24,FR,80%,Sano,30,1,2,0,11,0,1.1,117,3.9,7,4,5
Aguado,M. Aguado,20416,2025/26,35,Elche,Mediocampista,9.0,26,ES,60%,Sano,31,1,2,0,2,0,1.4,125,4,2,10,0
Ahijado,Lucas,20420,2025/26,35,Real Oviedo,Defensa,7.0,31,ES,10%,Sano,16,0,1,0,2,0,-1,44,2.8,2,0,0
Aidoo,Aidoo Jr,20414,2025/26,35,Celta,Defensa,6.0,30,GH,30%,Sano,8,0,0,0,0,0,-1,26,3.3,0,0,0
Aihen,Aihen,20421,2025/26,35,Real Sociedad,Defensa,6.0,28,ES,40%,Sano,19,0,0,0,1,0,0.9,35,1.8,0,1,4
Aitor Mañas,Mañas,20416,2025/26,35,Alavés,Delantero,3.0,23,ES,25%,Sano,6,0,0,0,0,0,-1,9,1.5,0,0,0
Aitor,Aitor Fdez,20417,2025/26,35,Osasuna,Portero,1.0,35,ES,10%,Sano,0,0,0,0,2,0,-1,-2,0,0,0,0
Akhomach,I. Akhomach,20419,2025/26,35,Rayo,Delantero,7.0,22,MA,30%,Lesionado/Duda,11,0,1,0,2,0,1.6,62,3.1,0,4,8
Alaba,Alaba,20415,2025/26,35,Real Madrid,Defensa,4.0,33,AT,20%,Sano,9,0,0,0,1,0,0,19,2.1,0,1,0
Alemão,Alemao,20419,2025/26,35,Rayo,Delantero,7.0,28,BR,30%,Sano,22,2,0,0,3,0,1.7,56,2.5,4,6,5
Alexander-Arnold,Trent,20415,2025/26,35,Real Madrid,Defensa,8.0,27,EN,90%,Sano,18,0,4,0,3,0,1.2,79,4.4,6,0,10
Alexis,Alexis Sánchez,20422,2025/26,35,Sevilla,Delantero,8.0,37,CL,50%,Sano,24,4,1,0,2,0,1.6,83,3.5,6,0,2
Aleñá,Aleñá,20416,2025/26,35,Alavés,Mediocampista,9.0,28,ES,0%,Sano,34,0,4,0,5,0,1,127,3.7,-1,5,3
Alfon,Alfon,20418,2025/26,35,Villarreal,Delantero,6.0,27,ES,50%,Sano,8,1,0,0,0,0,1,55,3.1,0,2,3
Alhassane,A. Rahim,20420,2025/26,35,Real Oviedo,Defensa,8.0,24,NE,20%,Sano,24,0,0,0,2,0,0.5,61,2.5,0,-2,2
Almada,Almada,20414,2025/26,35,Atlético,Mediocampista,9.0,25,AR,50%,Sano,24,3,1,0,2,1,0.3,105,4.4,6,0,-4
Almeida,Almeida,20413,2025/26,35,Valencia,Mediocampista,8.0,25,PT,30%,Sano,20,0,1,0,0,0,-1,82,4.1,0,1,0
Altimira,Altimira,20421,2025/26,35,Betis,Mediocampista,8.0,24,ES,10%,Sano,22,1,1,0,3,0,-1,79,3.6,0,0,0
Alvarez,Julián Alvarez,20414,2025/26,35,Atlético,Delantero,21.0,26,AR,0%,Lesionado/Duda,29,8,4,0,2,0,-1,187,6.4,0,0,0
Alvaro R.,Álvaro,20416,2025/26,35,Elche,Delantero,10.0,21,UY,60%,Sano,30,5,5,0,1,0,1.1,132,4.4,1,8,1
André Silva,André Silva,20416,2025/26,35,Elche,Delantero,12.0,30,PT,70%,Sano,27,10,0,0,2,0,1.5,135,5,10,5,14
Antonio,Antonio Sánchez,20418,2025/26,35,Mallorca,Mediocampista,6.0,29,ES,50%,Sano,28,0,0,0,4,1,1,56,2,2,0,2
Antony,Antony,20421,2025/26,35,Betis,Delantero,21.0,26,BR,90%,Sano,28,7,6,0,5,1,2,179,6.4,10,5,0
Arambarri,Arambarri,20420,2025/26,35,Getafe,Mediocampista,14.0,30,UY,95%,Sano,33,6,2,0,6,0,1.1,173,5.2,-1,1,6
Aramburu,Aramburu,20421,2025/26,35,Real Sociedad,Defensa,8.0,23,VE,0%,Sano,32,1,0,0,10,0,1.2,76,2.4,0,0,4
Araújo,R. Araujo,20415,2025/26,35,Barcelona,Defensa,8.0,27,UY,30%,Sano,22,3,0,0,2,0,0.9,80,3.6,1,3,0
Areso,Areso,20413,2025/26,35,Athletic,Defensa,9.0,26,ES,40%,Sano,25,0,1,0,3,0,1,77,3.1,2,0,0
Arguibide,Arguibide,20417,2025/26,35,Osasuna,Defensa,4.0,21,ES,0%,Sano,6,0,0,0,0,1,-1,17,2.8,0,0,0
Aritz,Aritz,20421,2025/26,35,Real Sociedad,Defensa,5.0,32,ES,90%,Sano,13,0,0,0,0,0,1,26,2,0,0,3
Arnau,Arnau,20419,2025/26,35,Girona,Defensa,13.0,23,ES,80%,Sano,31,1,2,0,6,0,1,159,5.1,7,2,2
Arriaga,Arriaga,20417,2025/26,35,Levante,Mediocampista,9.0,28,HN,0%,Sano,24,1,2,0,7,1,1.3,87,3.6,3,2,9
Artero,Andreev,20419,2025/26,35,Girona,Portero,1.0,23,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Asano,Asano,20418,2025/26,35,Mallorca,Delantero,5.0,31,JP,30%,Sano,17,1,0,0,2,0,1,35,2.1,0,0,2
Asencio,Asencio,20415,2025/26,35,Real Madrid,Defensa,12.0,23,ES,30%,Sano,20,2,0,0,3,0,-1,98,4.9,0,0,0
Aspas,Iago Aspas,20414,2025/26,35,Celta,Delantero,8.0,38,ES,40%,Sano,28,5,3,0,4,0,1.4,129,4.6,10,2,2
Ayoze,Ayoze,20418,2025/26,35,Villarreal,Delantero,7.0,32,ES,40%,Sano,21,2,3,0,3,0,1,72,3.4,3,1,2
Azpilicueta,Azpilicueta,20422,2025/26,35,Sevilla,Defensa,8.0,36,ES,30%,Sano,15,0,1,0,4,0,-1,51,3.4,0,0,0
Baena,Álex Baena,20414,2025/26,35,Atlético,Mediocampista,13.0,24,ES,70%,Sano,24,2,3,0,4,0,1.4,123,5.1,0,11,2
Bailly,E. Bailly,20420,2025/26,35,Real Oviedo,Defensa,9.0,32,CI,50%,Sano,12,1,0,0,3,0,2,63,5.3,0,0,5
Bakambu,Bakambu,20421,2025/26,35,Betis,Delantero,6.0,35,CD,10%,Sano,17,3,1,0,1,0,1.1,54,3.2,0,1,6
Balde,Álex Balde,20415,2025/26,35,Barcelona,Defensa,10.0,22,ES,20%,Sano,24,0,2,0,2,0,0.9,110,4.6,0,2,7
Balliu,Balliu,20419,2025/26,35,Rayo,Defensa,4.0,34,AL,50%,Sano,12,0,0,0,2,0,1.5,23,1.9,7,0,0
Bardghji,Bardghji,20415,2025/26,35,Barcelona,Delantero,6.0,20,SE,50%,Sano,19,1,1,0,0,0,1.2,65,3.4,4,6,4
