ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20417,2025/26,35,Levante,1,Luis Castro,20%,60%,84.7%
20417,2025/26,35,Osasuna,0,Alessio Lisci,20%,60%,92.6%
20416,2025/26,35,Elche,1,Éder Sarabia,20%,40%,82.7%
20416,2025/26,35,Alavés,0,Quique,20%,60%,90.3%
20422,2025/26,35,Sevilla,1,Luis García,20%,60%,83.2%
20422,2025/26,35,Espanyol,0,Manolo González,20%,60%,84.6%
20414,2025/26,35,Atlético,1,Simeone,60%,40%,86.4%
20414,2025/26,35,Celta,0,Giráldez,40%,40%,76.4%
20421,2025/26,35,Real Sociedad,1,Matarazzo,20%,60%,84.8%
20421,2025/26,35,Betis,0,Manuel Pellegrini,20%,80%,87.9%
20418,2025/26,35,Mallorca,1,Demichelis,20%,80%,79.4%
20418,2025/26,35,Villarreal,0,Marcelino,60%,20%,84.5%
20413,2025/26,35,Athletic,1,Valverde,20%,40%,87.0%
20413,2025/26,35,Valencia,0,Corberán,40%,60%,94.8%
20420,2025/26,35,Real Oviedo,1,Almada,20%,60%,93.1%
20420,2025/26,35,Getafe,0,Pepe Bordalás,20%,60%,92.2%
20415,2025/26,35,Barcelona,1,Flick,20%,60%,87.5%
20415,2025/26,35,Real Madrid,0,Arbeloa,20%,60%,87.7%
20419,2025/26,35,Rayo,1,Íñigo Pérez,100%,40%,86.8%
20419,2025/26,35,Girona,0,Míchel,20%,60%,92.5%
