Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,88,34,29,1,4,89,31,+58
Real Madrid,DEVEV,77,34,24,5,5,70,31,+39
Villarreal,DVEVV,68,34,21,5,8,64,39,+25
Atlético de Madrid,DDDVV,63,34,19,6,9,58,37,+21
Real Betis,EEVEV,53,34,13,14,7,52,41,+11
Celta,VDDDV,47,34,12,11,11,48,44,+4
Getafe,VDVDD,44,34,13,5,16,28,36,-8
Athletic,DDVDV,44,34,13,5,16,40,50,-10
Real Sociedad,VEDED,43,34,11,10,13,52,53,-1
Osasuna,EEDVD,42,34,11,9,14,40,42,-2
Rayo Vallecano,VDVEV,42,34,10,12,12,35,41,-6
Valencia,DDEVD,39,34,10,9,15,37,50,-13
Espanyol,EDDED,39,34,10,9,15,37,51,-14
Elche,DVVVD,38,34,9,11,14,45,53,-8
Mallorca,VVEDV,38,34,10,8,16,42,51,-9
Girona FC,VEDDD,38,34,9,11,14,36,51,-15
Sevilla,DVDDV,37,34,10,7,17,41,55,-14
Deportivo Alavés,EEDVD,36,34,9,9,16,40,53,-13
Levante,DVVED,33,34,8,9,17,38,55,-17
Real Oviedo,VVEDD,28,34,6,10,18,26,54,-28
